Date,Estados Unidos,Europa,Reino Unido,Japao,China,Suica,Australia,Canada,Coreia do Sul,Noruega,Suecia,Mexico,India,Brasil
01/02/2010,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01/03/2010,1.000331368,1.010996189,1.004494382,1.002107542,0.992948625,1.001370452,1,1,1.002022848,1.005434783,1.00239515,1.007099413,1,1.00519913
01/04/2010,1.000561485,1.01513337,1.01011236,1.002107542,0.994974873,1.009928644,1.006302494,1.003460219,1.00605685,1.007608696,1.00252826,1.003890371,1,1.010930425
01/05/2010,1.000041421,1.016330974,1.012359551,1.002107542,0.994002241,1.008886786,1.006302494,1.006055383,1.00707412,1.002173913,1.004391178,0.9975649,1.011764827,1.015277639
01/06/2010,0.999622609,1.016330974,1.013483146,1,0.988004483,1.004494059,1.006302494,1.005190328,1.00605685,1.001086957,1.004557436,0.997252464,1.0235295,1.015277639
01/07/2010,1.001491157,1.011976048,1.011235955,0.994731352,0.991975993,0.997154812,1.013655384,1.010380546,1.008079698,0.995652174,1.001463691,0.999417772,1.047058847,1.015378924
01/08/2010,1.002954699,1.013935765,1.015730337,0.995785123,0.997892651,0.997016094,1.013655384,1.009515492,1.013142663,0.993478261,1.001530299,1.002193656,1.047058847,1.015783639
01/09/2010,1.004574721,1.017093087,1.015730337,0.997892561,1.00389041,0.996784898,1.013655384,1.011245601,1.021210668,1,1.009979723,1.007447164,1.052941184,1.020352836
01/10/2010,1.008072496,1.020250408,1.017977528,1.001053771,1.010941785,1.002088636,1.017857084,1.015570874,1.021210668,1.001086957,1.013206577,1.013666327,1.064706011,1.028006567
01/11/2010,1.010626792,1.021121394,1.021348315,0.997892561,1.022045657,1.004495043,1.017857084,1.016435929,1.016171088,1.00326087,1.016566334,1.021787973,1.070588347,1.036537956
01/12/2010,1.014686052,1.027327164,1.030337079,0.995785123,1.027151885,1.004851183,1.017857084,1.016435929,1.020205091,1.014130435,1.023718533,1.026849887,1.088235357,1.043068835
01/01/2011,1.017976721,1.020032662,1.031460674,0.994731352,1.037445326,1.001327164,1.032562978,1.019031093,1.032330484,1.007608696,1.018429251,1.031852341,1.105882367,1.051727674
01/02/2011,1.021248982,1.024278715,1.037078652,0.994731352,1.050708313,1.005101072,1.032562978,1.021626257,1.039392912,1.011956522,1.024649887,1.035723252,1.088235357,1.060141601
01/03/2011,1.026532463,1.038105607,1.040449438,0.99683879,1.048599238,1.011426992,1.032562978,1.032871858,1.043438607,1.015217391,1.031602473,1.037710179,1.088235357,1.068516562
01/04/2011,1.031351108,1.043984758,1.048314607,0.997892561,1.049653775,1.012542636,1.042016775,1.036332076,1.044455877,1.020652174,1.036026798,1.037627776,1.094117694,1.07674452
01/05/2011,1.034632573,1.044093631,1.050561798,0.997892561,1.050708313,1.012609535,1.042016775,1.043252514,1.046467032,1.018478261,1.037956219,1.029978568,1.100000031,1.081806634
01/06/2011,1.034632573,1.043984758,1.050561798,0.99683879,1.053871809,1.010162792,1.042016775,1.036332076,1.04848988,1.015217391,1.035494566,1.029927156,1.111764858,1.083428733
01/07/2011,1.037343348,1.037996734,1.050561798,0.99683879,1.058494884,1.001861375,1.048319382,1.038062186,1.053541153,1.011956522,1.034995585,1.034868709,1.135294204,1.085161823
01/08/2011,1.040615608,1.039956451,1.05505618,0.997892561,1.061501931,0.998932563,1.048319382,1.04065735,1.060615273,1.006521739,1.035328204,1.036505722,1.141176541,1.089176205
01/09/2011,1.042875355,1.047577572,1.061797753,0.997892561,1.06651383,1.001627227,1.048319382,1.043252514,1.059598003,1.015217391,1.042580366,1.039048572,1.158823551,1.094949843
01/10/2011,1.043579512,1.051170386,1.061797753,0.998946332,1.06751614,1.000961186,1.048319382,1.044982623,1.057586848,1.014130435,1.042613722,1.046059455,1.164706042,1.099659572
01/11/2011,1.045507891,1.052150245,1.064044944,0.992623913,1.065511404,0.999213933,1.048319382,1.045847677,1.058592425,1.014130435,1.04507475,1.057373686,1.170588378,1.105377643
01/12/2011,1.045756417,1.055634186,1.06741573,0.99367758,1.068518451,0.997669346,1.048319382,1.039792295,1.062626428,1.015217391,1.047137593,1.066062785,1.158823551,1.110903275
01/01/2012,1.048605262,1.047142079,1.064044944,0.995785123,1.084556341,0.993422224,1.049369779,1.044117568,1.0668709,1.013043478,1.037390735,1.073609049,1.164706042,1.117124111
01/02/2012,1.0508466,1.052367991,1.069662921,0.997892561,1.083553915,0.996221173,1.049369779,1.048442841,1.070916596,1.023913043,1.044276297,1.075791534,1.170588378,1.122150354
01/03/2012,1.053046516,1.065977137,1.071910112,1.002107542,1.085558652,1.001774799,1.049369779,1.052768115,1.071220607,1.022826087,1.047204305,1.076409318,1.182353052,1.124506766
01/04/2012,1.054795403,1.070876429,1.07752809,1.00316121,1.084556341,1.002523481,1.054621876,1.057093388,1.071115372,1.023913043,1.049499596,1.073032466,1.205882398,1.13170345
01/05/2012,1.052613896,1.069461078,1.07752809,1,1.081549179,1.002345411,1.054621876,1.056228333,1.073032985,1.023913043,1.048634432,1.069645524,1.211764735,1.135776634
01/06/2012,1.051744055,1.068590093,1.074157303,0.994731352,1.075535085,0.999517931,1.054621876,1.05190306,1.071512926,1.018478261,1.046039981,1.074576746,1.223529562,1.136683974
01/07/2012,1.052047809,1.063037561,1.075280899,0.991570142,1.076537396,0.994707084,1.069327657,1.051038005,1.069092525,1.014130435,1.041981422,1.080609601,1.247058909,1.141573061
01/08/2012,1.05815971,1.067174741,1.079775281,0.99367758,1.083560702,0.994407021,1.069327657,1.053633169,1.074038563,1.009782609,1.043046304,1.083852638,1.258823582,1.146253388
01/09/2012,1.063208472,1.074904736,1.083146067,0.994731352,1.086886515,0.997506033,1.069327657,1.055363279,1.081720707,1.020652174,1.047237661,1.088629504,1.264705919,1.152787363
01/10/2012,1.066075727,1.077408819,1.087640449,0.994731352,1.085750762,0.998737768,1.071428563,1.057093388,1.079697859,1.025,1.046505919,1.094137309,1.276470746,1.159589038
01/11/2012,1.064285418,1.075231355,1.08988764,0.991570142,1.087563388,0.995463637,1.071428563,1.054498224,1.075862633,1.026086957,1.043943782,1.101570419,1.282353082,1.166547564
01/12/2012,1.064156553,1.079041916,1.093258427,0.991570142,1.095565998,0.993335649,1.071428563,1.048442841,1.077780246,1.029347826,1.046571588,1.104103057,1.288235419,1.175764452
01/01/2013,1.066264423,1.067936854,1.08988764,0.992623913,1.106516756,0.990742317,1.075630264,1.049307896,1.084246343,1.027173913,1.037889716,1.108550431,1.300000092,1.185875597
01/02/2013,1.07205416,1.071856287,1.095505618,0.990516371,1.118684368,0.993669161,1.075630264,1.061418552,1.087871099,1.033695652,1.042513655,1.114006823,1.311764766,1.192990692
01/03/2013,1.069039631,1.084485574,1.098876404,0.992623913,1.10862583,0.995828632,1.075630264,1.063148661,1.086865522,1.036956522,1.046705011,1.122181082,1.317647102,1.198597913
01/04/2013,1.066807498,1.083505716,1.101123596,0.995785123,1.110817615,0.996163128,1.079831964,1.061418552,1.085357155,1.042391304,1.044642168,1.122922351,1.329411929,1.205190689
01/05/2013,1.067249322,1.084703321,1.103370787,0.99683879,1.10416438,0.997259096,1.079831964,1.064013716,1.085357155,1.043478261,1.04633914,1.119185135,1.341176603,1.209649035
01/06/2013,1.069789811,1.085792052,1.101123596,0.99683879,1.10416438,0.998239958,1.079831964,1.064013716,1.084035873,1.040217391,1.044509787,1.118505729,1.358823613,1.212795325
01/07/2013,1.071883874,1.080021775,1.101123596,0.998946332,1.105256189,0.994679538,1.092436951,1.06487877,1.086362733,1.044565217,1.043046304,1.118135154,1.382353113,1.213157558
01/08/2013,1.074442772,1.081328253,1.105617978,1.002107542,1.110816005,0.993963321,1.092436951,1.06487877,1.090209651,1.043478261,1.044010493,1.121316328,1.394117786,1.216068783
01/09/2013,1.074847778,1.086554164,1.108988764,1.005268752,1.119669078,0.99695313,1.092436951,1.06660888,1.092326041,1.047826087,1.048036113,1.125537273,1.400000123,1.220324842
01/10/2013,1.07542307,1.085247686,1.11011236,1.00632242,1.120793327,0.996188707,1.100840351,1.064013716,1.088993604,1.05,1.045873203,1.130890722,1.417647133,1.227279991
01/11/2013,1.077406676,1.084376701,1.11011236,1.00632242,1.119668272,0.996257574,1.100840351,1.064013716,1.088783134,1.051086957,1.045208173,1.141432812,1.42941196,1.233908639
01/12/2013,1.080255522,1.088187262,1.114606742,1.007376294,1.12302733,0.99400169,1.100840351,1.061418552,1.090104416,1.05,1.048002758,1.147980508,1.40588246,1.245260097
01/01/2014,1.08287425,1.076102341,1.108988764,1.00632242,1.134257166,0.99128243,1.107142845,1.06487877,1.09596249,1.05,1.035860437,1.158244638,1.394117786,1.252107632
01/02/2014,1.084066255,1.079368536,1.113483146,1.00632242,1.140008977,0.992267227,1.107142845,1.073529317,1.09888568,1.055434783,1.040218259,1.161178722,1.400000123,1.260746776
01/03/2014,1.086279978,1.08949374,1.115730337,1.008429962,1.134257166,0.995856178,1.107142845,1.079584699,1.100908528,1.057608696,1.040151756,1.164359896,1.40588246,1.272346241
01/04/2014,1.088305006,1.091126837,1.119101124,1.029504866,1.129655717,0.996541896,1.112394942,1.083044918,1.101621786,1.061956522,1.044177272,1.162187621,1.423529623,1.2808713
