Date,Estados Unidos,Europa,Reino Unido,Japao,China,Suica,Australia,Canada,Coreia do Sul,Noruega,Suecia,Mexico,India,Brasil
01/02/2010,0.13,0.6617,0.6331,0.44,1.94,0.09874325,4.16,0.165,2.88,2.27,0.22,5.03,6,8.75
01/03/2010,0.16,0.644956522,0.64549,0.43,1.91,0.095777727,4.3275,0.228,2.83,2.3,0.23,5.03,6,8.75
01/04/2010,0.2,0.6447,0.65592,0.4,1.73,0.0879435,4.545,0.3375,2.51,2.39,0.29,5.03,6,8.8
01/05/2010,0.2,0.68652381,0.69713,0.39,2.02,0.08190975,4.805,0.39,2.45,2.5,0.28,5.04,6,9.5
01/06/2010,0.18,0.727590909,0.72839,0.38,3.69,0.11774075,4.8875,0.522,2.45,2.67,0.27,5.01,6,10.02
01/07/2010,0.18,0.848818182,0.73603,0.37,2.48,0.18285119,4.84,0.575,2.58,2.69,0.39,5.01,6,10.41
01/08/2010,0.19,0.8955,0.73296,0.36,2.44,0.20656935,4.7425,0.66,2.63,2.65,0.45,4.99,6,10.75
01/09/2010,0.19,0.8805,0.72859,0.36,2.56,0.213812095,4.815,0.85,2.66,2.64,0.52,4.98,6,10.75
01/10/2010,0.19,0.997666667,0.7384,0.34,2.75,0.24791775,4.81,0.895,2.66,2.56,0.81,4.95,6,10.75
01/11/2010,0.19,1.042045455,0.73901,0.34,3.38,0.18600105,5.015,0.9525,2.73,2.51,1.11,4.92,6,10.75
01/12/2010,0.18,1.021695652,0.74962,0.34,4.94,0.191368111,5.025,0.994,2.8,2.59,1.28,4.95,6,10.75
01/01/2011,0.17,1.017238095,0.76866,0.34,4.98,0.15081019,4.955,0.9625,2.93,2.59,1.49,4.92,6,10.94
01/02/2011,0.16,1.08675,0.79962,0.34,4.84,0.13954275,4.9175,0.9525,3.13,2.61,1.74,4.88,6,11.25
01/03/2011,0.14,1.175521739,0.80913,0.33615,4.02,0.155124174,4.92,0.926,3.35,2.62,1.74,4.87,6,11.72
01/04/2011,0.1,1.321210526,0.82096,0.33286,3.94,0.139454111,4.9,0.965,3.4,2.69,1.8,4.88,6,11.8
01/05/2011,0.09,1.425090909,0.82344,0.33214,4.24,0.119449864,5.0025,0.9625,3.46,2.72,1.91,4.88,6,12
01/06/2011,0.09,1.488590909,0.82512,0.33214,5.91,0.10205965,4.9925,0.928,3.53,2.85,1.85,4.89,6,12.18
01/07/2011,0.07,1.597619048,0.8289,0.33214,5.89,0.090955476,4.955,0.9225,3.59,2.94,1.8,4.86,6,12.34
01/08/2011,0.1,1.552086957,0.85782,0.32857,5.19,-0.0675968,4.8575,0.874,3.59,3.1,1.71,4.85,6,12.5
01/09/2011,0.08,1.536454545,0.9181,0.32929,5.69,-0.061070273,4.81,0.8725,3.58,3.08,1.58,4.8,6,12
01/10/2011,0.07,1.575857143,0.96991,0.32929,5.67,-0.093359895,4.725,0.8625,3.58,3.08,1.45,4.81,6,11.81
01/11/2011,0.08,1.484681818,1.01182,0.32929,5.73,-0.0653187,4.6225,0.882,3.56,3.16,1.45,4.81,6,11.5
01/12/2011,0.07,1.426095238,1.06148,0.32929,5.57,0.08,4.5075,0.83,3.55,3.02,1.37,4.81,6,11
01/01/2012,0.08,1.222227273,1.08709,0.33077,6.8,0.040293286,4.41,0.825,3.55,2.7,1.56,4.8,9.5,10.79
01/02/2012,0.1,1.048285714,1.07249,0.33167,5.36,0.0178765,4.37,0.918,3.53,2.67,1.59,4.8,9.5,10.5
01/03/2012,0.13,0.858454545,1.03757,0.33167,4.72,0.05129925,4.4425,0.915,3.54,2.43,1.49,4.79,9.5,9.92
01/04/2012,0.14,0.744315789,1.01792,0.33167,4.37,0.013698833,4.2025,0.9825,3.54,2.32,1.44,4.76,9,9.45
01/05/2012,0.16,0.684909091,1.005,0.33167,4.04,-0.015498056,3.655,0.988,3.54,2.32,1.38,4.78,9,8.98
01/06/2012,0.16,0.658857143,0.94978,0.33455,3.7,-0.057311059,3.4925,0.8825,3.54,2.34,1.24,4.78,9,8.5
01/07/2012,0.16,0.497045455,0.81735,0.32727,3.46,-0.173395067,3.545,0.8875,3.34,2.24,1.1,4.79,9,8.18
01/08/2012,0.13,0.332391304,0.70481,0.32727,3.59,-0.207230667,3.6175,1.002,3.19,2.13,1.15,4.8,9,7.97
01/09/2012,0.14,0.2463,0.64803,0.32727,4.12,-0.150658059,3.49,1.0075,3.14,1.96,1.04,4.82,9,7.5
01/10/2012,0.16,0.207913043,0.54397,0.32636,3.78,-0.06339775,3.1625,0.976,2.93,1.92,0.98,4.84,9,7.33
01/11/2012,0.16,0.192,0.52452,0.31818,3.82,-0.144987368,3.2425,0.97,2.85,1.92,1.06,4.86,9,7.25
01/12/2012,0.16,0.185473684,0.51848,0.30818,3.97,-0.051343,3.1125,0.945,2.88,1.87,1.01,4.86,9,7.25
01/01/2013,0.14,0.204909091,0.51228,0.29182,3.77,-0.1080856,3,0.92,2.86,1.86,0.96,4.86,8.65,7.25
01/02/2013,0.15,0.22335,0.50988,0.26909,3.71,-0.063423867,2.94,0.9475,2.83,1.9005,0.98,4.82,8.65,7.25
01/03/2013,0.14,0.20605,0.50688,0.25,3.52,-0.059640737,3.05,0.9625,2.81,1.848947368,0.97,4.49,8.65,7.25
01/04/2013,0.15,0.208904762,0.50557,0.22818,3.63,-0.064725333,3.02,0.9825,2.8,1.821428571,0.95,4.34,8.25,7.36
01/05/2013,0.11,0.201227273,0.50563,0.22818,3.84,-0.05881175,2.82,0.998,2.72,1.763684211,0.92,4.32,8.25,7.53
01/06/2013,0.09,0.21025,0.50794,0.22818,6.65,-0.060211105,2.8,1.025,2.69,1.7335,0.92,4.31,8.25,8
01/07/2013,0.09,0.221434783,0.50944,0.228,5.09,-0.055805826,2.76,1.012,2.68,1.68826087,0.93,4.32,9.875,8.34
01/08/2013,0.08,0.225863636,0.51262,0.228,5.4,-0.06065045,2.6,0.9925,2.66,1.723181818,0.93,4.31,9.875,8.55
01/09/2013,0.08,0.223238095,0.51688,0.228,5.58,-0.051107316,2.58,0.9875,2.66,1.713809524,0.89,4.11,9.875,9
01/10/2013,0.09,0.225826087,0.51663,0.221,5.14,0.0159292,2.58,0.924,2.66,1.685217391,0.92,3.97,8.75,9.35
01/11/2013,0.08,0.223380952,0.52344,0.22,6.43,-0.016954056,2.58,0.925,2.65,1.663333333,0.92,3.79,8.75,9.55
01/12/2013,0.09,0.2735,0.52474,0.22,6.96,0.017434917,2.6,0.9175,2.65,1.658947368,0.82,3.79,8.75,10
01/01/2014,0.07,0.292045455,0.52093,0.22,6.76,-0.0433244,2.62,0.894,2.65,1.649090909,0.73,3.8,9,10.26
