"Date","Price","Open","High","Low","Change %"
"05/01/2026","4.673","4.728","4.752","4.641","-2.52%"
"04/01/2026","4.794","4.597","4.788","4.577","2.88%"
"03/01/2026","4.660","4.154","4.812","4.154","11.11%"
"02/01/2026","4.194","4.181","4.288","4.167","-0.14%"
"01/01/2026","4.200","4.093","4.201","3.961","3.35%"
"12/01/2025","4.064","3.826","4.110","3.826","6.36%"
"11/01/2025","3.821","3.595","3.813","3.572","6.91%"
"10/01/2025","3.574","3.533","3.582","3.284","1.77%"
"09/01/2025","3.512","3.351","3.534","3.332","4.90%"
"08/01/2025","3.348","3.394","3.394","3.305","-0.33%"
"07/01/2025","3.359","3.194","3.439","3.194","4.12%"
"06/01/2025","3.226","3.287","3.369","3.195","-2.89%"
"05/01/2025","3.322","3.281","3.613","3.281","1.59%"
"04/01/2025","3.270","3.674","3.698","3.206","-11.21%"
"03/01/2025","3.683","3.762","3.855","3.683","-1.60%"
"02/01/2025","3.743","3.773","3.944","3.743","-2.14%"
"01/01/2025","3.825","3.888","4.045","3.796","-1.47%"
"12/01/2024","3.882","3.956","4.021","3.765","-2.46%"
"11/01/2024","3.980","4.086","4.225","3.962","-1.95%"
"10/01/2024","4.059","3.618","4.072","3.572","13.38%"
"09/01/2024","3.580","3.646","3.698","3.455","-1.13%"
"08/01/2024","3.621","3.817","3.865","3.479","-6.41%"
"07/01/2024","3.869","4.245","4.271","3.868","-7.71%"
"06/01/2024","4.192","4.115","4.312","3.872","1.95%"
"05/01/2024","4.112","4.146","4.191","3.880","0.29%"
"04/01/2024","4.100","3.679","4.209","3.679","11.08%"
"03/01/2024","3.691","3.745","3.839","3.630","-1.20%"
"02/01/2024","3.736","3.676","3.944","3.612","-0.45%"
"01/01/2024","3.753","3.720","4.007","3.698","0.97%"
"12/01/2023","3.717","4.194","4.194","3.655","-8.96%"
"11/01/2023","4.083","4.526","4.542","4.045","-8.29%"
"10/01/2023","4.452","4.075","4.497","3.910","8.19%"
"09/01/2023","4.115","3.781","4.125","3.756","7.95%"
"08/01/2023","3.812","4.020","4.041","3.750","-5.34%"
"07/01/2023","4.027","4.227","4.451","3.939","-4.07%"
"06/01/2023","4.198","3.551","4.265","3.536","17.23%"
"05/01/2023","3.581","2.918","3.670","2.918","16.15%"
"04/01/2023","3.083","3.084","3.258","2.873","-0.10%"
"03/01/2023","3.086","3.701","3.789","2.905","-15.06%"
"02/01/2023","3.633","3.170","3.749","3.067","15.55%"
"01/01/2023","3.144","3.427","3.453","2.932","-7.96%"
"12/01/2022","3.416","3.068","3.495","2.963","9.21%"
"11/01/2022","3.128","3.313","3.425","2.970","-3.43%"
"10/01/2022","3.239","3.482","3.655","3.090","-8.24%"
"09/01/2022","3.530","3.181","3.712","2.973","12.13%"
"08/01/2022","3.148","2.563","3.305","2.563","23.06%"
"07/01/2022","2.558","2.825","3.069","2.527","-14.59%"
"06/01/2022","2.995","2.726","3.528","2.724","9.79%"
"05/01/2022","2.728","2.578","2.980","2.523","9.51%"
"04/01/2022","2.491","1.848","2.504","1.790","39.01%"
"03/01/2022","1.792","1.094","1.964","0.999","56.64%"
"02/01/2022","1.144","0.927","1.293","0.871","23.28%"
"01/01/2022","0.928","0.378","1.019","0.358","148.79%"
"12/01/2021","0.373","0.375","0.468","0.310","6.88%"
"11/01/2021","0.349","0.570","0.663","0.294","-43.98%"
