"Date","Price","Open","High","Low","Change %"
"05/01/2026","13.815","13.885","14.025","13.528","0.55%"
"04/01/2026","13.740","13.735","13.932","13.208","-0.58%"
"03/01/2026","13.820","12.708","14.130","12.708","9.55%"
"02/01/2026","12.615","12.710","12.710","12.489","-0.83%"
"01/01/2026","12.720","13.174","13.231","12.685","-4.25%"
"12/01/2025","13.284","13.141","13.420","13.045","1.34%"
"11/01/2025","13.108","13.470","13.470","13.033","-2.40%"
"10/01/2025","13.430","13.665","13.800","13.390","-1.54%"
"09/01/2025","13.640","13.555","13.675","13.515","0.40%"
"08/01/2025","13.585","13.805","13.805","13.480","-2.65%"
"07/01/2025","13.955","13.921","14.020","13.725","0.58%"
"06/01/2025","13.875","14.016","14.230","13.875","-1.00%"
"05/01/2025","14.015","13.874","14.025","13.715","1.08%"
"04/01/2025","13.865","14.820","14.835","13.800","-8.08%"
"03/01/2025","15.084","14.910","15.210","14.690","0.33%"
"02/01/2025","15.035","15.045","15.155","14.623","-0.13%"
"01/01/2025","15.055","15.590","15.590","15.012","-4.62%"
"12/01/2024","15.785","15.760","15.785","15.760","12.27%"
"11/01/2024","14.060","14.318","14.318","14.060","9.01%"
"10/01/2024","12.898","12.863","12.898","12.863","3.77%"
"09/01/2024","12.430","12.390","12.430","12.390","4.22%"
"08/01/2024","11.927","11.938","11.938","11.927","1.29%"
"07/01/2024","11.775","11.755","11.775","11.755","1.14%"
"06/01/2024","11.642","11.642","11.642","11.642","6.22%"
"05/01/2024","10.960","10.985","10.985","10.960","1.95%"
"04/01/2024","10.750","10.685","10.750","10.685","8.01%"
"03/01/2024","9.953","9.962","9.962","9.953","1.10%"
"02/01/2024","9.845","9.922","9.922","9.845","1.65%"
"01/01/2024","9.685","9.730","9.730","9.685","-0.43%"
"12/01/2023","9.727","9.743","9.743","9.727","-3.93%"
"11/01/2023","10.125","10.200","10.200","10.125","-8.78%"
"10/01/2023","11.100","11.195","11.195","11.100","3.45%"
"09/01/2023","10.730","10.730","10.730","10.730","4.07%"
"08/01/2023","10.310","10.285","10.310","10.285","0.05%"
"07/01/2023","10.305","10.335","10.335","10.305","-1.00%"
"06/01/2023","10.409","10.425","10.425","10.409","-7.88%"
"05/01/2023","11.300","11.285","11.300","11.285","-5.87%"
"04/01/2023","12.005","11.990","12.005","11.990","-0.46%"
"03/01/2023","12.060","12.060","12.060","12.060","-7.27%"
"02/01/2023","13.005","13.025","13.025","13.005","-1.29%"
"01/01/2023","13.175","13.275","13.275","13.175","0.92%"
"12/01/2022","13.055","12.960","13.055","12.960","-3.55%"
"11/01/2022","13.535","13.690","13.690","13.535","10.44%"
"10/01/2022","12.255","12.410","12.410","12.255","0.91%"
"09/01/2022","12.145","12.210","12.210","12.145","-2.84%"
"08/01/2022","12.500","12.515","12.515","12.500","-4.58%"
"07/01/2022","13.100","13.285","13.285","13.100","-0.42%"
"06/01/2022","13.155","11.000","13.155","11.000","3.58%"
"05/01/2022","12.700","12.700","12.700","12.700","0.12%"
"04/01/2022","12.685","12.690","12.690","12.685","2.38%"
"03/01/2022","12.390","12.275","12.390","12.145","1.18%"
"02/01/2022","12.245","12.030","12.245","11.980","2.04%"
"01/01/2022","12.000","11.875","12.000","11.875","2.43%"
"12/01/2021","11.715","11.670","11.715","11.595","-3.46%"
"11/01/2021","12.135","12.115","12.135","11.980","-3.92%"
"10/01/2021","12.630","12.630","12.630","12.630","27.38%"
"09/01/2021","9.915","9.725","9.915","9.725","8.42%"
"08/01/2021","9.145","9.145","9.145","9.145","9.32%"
"07/01/2021","8.365","8.105","8.370","8.105","8.50%"
"06/01/2021","7.710","7.605","7.945","7.605","4.47%"
"05/01/2021","7.380","7.305","7.410","7.305","4.98%"
"04/01/2021","7.030","7.020","7.115","7.020","-3.23%"
"03/01/2021","7.265","7.340","7.340","7.265","13.34%"
"02/01/2021","6.410","6.375","6.410","6.375","28.46%"
"01/01/2021","4.990","5.190","5.190","4.990","13.15%"
"12/01/2020","4.410","4.430","4.430","4.400","13.95%"
"11/01/2020","3.870","3.840","3.900","3.840","-4.09%"
"10/01/2020","4.035","4.040","4.040","4.025","15.78%"
"09/01/2020","3.485","3.585","3.585","3.485","-3.33%"
"08/01/2020","3.605","3.305","3.605","3.295","9.91%"
