"Date","Price","Open","High","Low","Change %"
"05/01/2026","2.946","2.934","3.057","2.861","-0.51%"
"04/01/2026","2.961","2.825","3.023","2.760","4.78%"
"03/01/2026","2.826","2.481","3.065","2.481","18.09%"
"02/01/2026","2.393","2.572","2.578","2.391","-6.41%"
"01/01/2026","2.557","2.606","2.606","2.532","-1.27%"
"12/01/2025","2.590","2.486","2.692","2.433","6.94%"
"11/01/2025","2.422","2.425","2.493","2.386","0.96%"
"10/01/2025","2.399","2.458","2.474","2.350","-3.03%"
"09/01/2025","2.474","2.659","2.659","2.444","-6.29%"
"08/01/2025","2.640","2.694","2.736","2.638","-4.83%"
"07/01/2025","2.774","2.664","2.835","2.657","6.94%"
"06/01/2025","2.594","2.582","2.719","2.582","0.15%"
"05/01/2025","2.590","2.494","2.704","2.494","4.31%"
"04/01/2025","2.483","2.438","2.684","2.361","0.63%"
"03/01/2025","2.467","2.463","2.636","2.463","-3.99%"
"02/01/2025","2.570","2.645","2.806","2.570","-2.89%"
"01/01/2025","2.647","2.928","3.149","2.647","-9.80%"
"12/01/2024","2.934","3.053","3.115","2.835","-3.33%"
"11/01/2024","3.035","3.088","3.423","3.017","-1.14%"
"10/01/2024","3.070","2.932","3.333","2.917","5.63%"
"09/01/2024","2.907","3.336","3.350","2.845","-12.72%"
"08/01/2024","3.330","3.464","3.503","3.137","-3.53%"
"07/01/2024","3.452","4.058","4.100","3.452","-13.66%"
"06/01/2024","3.998","4.156","4.205","3.815","-4.38%"
"05/01/2024","4.181","4.351","4.420","4.124","-3.80%"
"04/01/2024","4.346","4.178","4.416","4.130","3.80%"
"03/01/2024","4.187","4.160","4.322","3.988","0.05%"
"02/01/2024","4.185","3.988","4.385","3.893","5.47%"
"01/01/2024","3.968","3.925","4.162","3.705","2.03%"
"12/01/2023","3.889","4.158","4.274","3.844","-7.07%"
"11/01/2023","4.185","4.610","4.637","4.143","-9.88%"
"10/01/2023","4.644","4.903","4.995","4.584","-4.74%"
"09/01/2023","4.875","4.656","5.219","4.530","4.93%"
"08/01/2023","4.646","4.674","4.961","4.469","-0.60%"
"07/01/2023","4.674","4.586","4.917","4.467","1.94%"
"06/01/2023","4.585","4.242","4.811","4.187","8.44%"
"05/01/2023","4.228","3.663","4.352","3.475","15.17%"
"04/01/2023","3.671","3.753","3.912","3.467","-2.18%"
"03/01/2023","3.753","4.212","4.370","3.254","-10.88%"
"02/01/2023","4.211","3.763","4.340","3.634","11.91%"
"01/01/2023","3.763","4.072","4.111","3.469","-7.13%"
"12/01/2022","4.052","3.883","4.080","3.632","4.59%"
"11/01/2022","3.874","3.925","4.332","3.714","-0.56%"
"10/01/2022","3.896","3.808","4.325","3.662","2.58%"
"09/01/2022","3.798","3.638","3.927","3.423","3.97%"
"08/01/2022","3.653","2.922","3.697","2.903","23.29%"
"07/01/2022","2.963","3.133","3.418","2.887","-4.20%"
"06/01/2022","3.093","2.670","3.571","2.664","16.15%"
"05/01/2022","2.663","2.634","2.852","2.495","1.56%"
"04/01/2022","2.622","2.331","2.736","2.292","14.45%"
"03/01/2022","2.291","1.459","2.427","1.317","59.54%"
"02/01/2022","1.436","1.266","1.691","1.223","12.45%"
"01/01/2022","1.277","0.987","1.325","0.958","34.42%"
"12/01/2021","0.950","1.000","1.177","0.785","-3.46%"
"11/01/2021","0.984","1.120","1.120","0.893","-10.46%"
"10/01/2021","1.099","0.536","1.262","0.482","108.54%"
"09/01/2021","0.527","0.429","0.562","0.388","20.87%"
"08/01/2021","0.436","0.442","0.503","0.400","-2.90%"
"07/01/2021","0.449","0.454","0.512","0.402","-0.88%"
"06/01/2021","0.453","0.321","0.472","0.309","36.86%"
"05/01/2021","0.331","0.313","0.348","0.275","9.24%"
"04/01/2021","0.303","0.238","0.364","0.194","32.89%"
"03/01/2021","0.228","0.302","0.330","0.170","-25.00%"
"02/01/2021","0.304","0.155","0.409","0.149","92.41%"
"01/01/2021","0.158","0.206","0.216","0.149","-22.17%"
"12/01/2020","0.203","0.253","0.292","0.203","-22.81%"
"11/01/2020","0.263","0.263","0.306","0.250","-5.40%"
"10/01/2020","0.278","0.247","0.285","0.139","12.10%"
"09/01/2020","0.248","0.276","0.403","0.223","-10.14%"
"08/01/2020","0.276","0.260","0.353","0.255","2.22%"
"07/01/2020","0.270","0.298","0.325","0.252","-5.59%"
"06/01/2020","0.286","0.284","0.392","0.250","-6.84%"
"05/01/2020","0.307","0.293","0.460","0.120","-6.69%"
"04/01/2020","0.329","0.404","0.518","0.299","-22.41%"
"03/01/2020","0.424","1.227","1.255","0.163","-63.23%"
"02/01/2020","1.153","1.449","1.523","1.142","-19.54%"
"01/01/2020","1.433","1.707","1.796","1.349","-15.66%"
"12/01/2019","1.699","1.645","1.783","1.539","7.12%"
"11/01/2019","1.586","1.524","1.646","1.478","4.62%"
"10/01/2019","1.516","1.597","1.752","1.404","-4.05%"
"09/01/2019","1.580","1.356","1.641","1.302","16.78%"
"08/01/2019","1.353","1.562","1.572","1.259","-12.48%"
"07/01/2019","1.546","1.504","1.690","1.397","4.88%"
"06/01/2019","1.474","1.429","1.490","1.315","3.08%"
"05/01/2019","1.430","1.558","1.698","1.422","-8.57%"
"04/01/2019","1.564","1.549","1.683","1.500","0.90%"
"03/01/2019","1.550","1.782","1.795","1.423","-12.92%"
"02/01/2019","1.780","1.777","1.848","1.747","0.28%"
"01/01/2019","1.775","1.823","1.997","1.744","-4.67%"
"12/01/2018","1.862","2.183","2.215","1.846","-13.84%"
"11/01/2018","2.161","2.319","2.401","2.153","-7.57%"
"10/01/2018","2.338","2.215","2.373","2.212","5.60%"
"09/01/2018","2.214","2.068","2.310","2.031","6.96%"
"08/01/2018","2.070","2.066","2.211","2.053","0.10%"
"07/01/2018","2.068","1.932","2.084","1.887","8.16%"
"06/01/2018","1.912","1.919","1.957","1.755","-0.36%"
"05/01/2018","1.919","1.894","2.075","1.832","1.32%"
"04/01/2018","1.894","1.777","1.956","1.694","6.64%"
"03/01/2018","1.776","1.790","1.915","1.721","-0.62%"
"02/01/2018","1.787","1.844","1.879","1.756","-2.83%"
"01/01/2018","1.839","1.692","1.849","1.681","9.14%"
"12/01/2017","1.685","1.410","1.709","1.405","17.75%"
"11/01/2017","1.431","1.395","1.483","1.391","2.73%"
"10/01/2017","1.393","1.518","1.578","1.374","-8.23%"
"09/01/2017","1.518","1.270","1.645","1.270","19.06%"
"08/01/2017","1.275","1.315","1.323","1.208","-3.04%"
"07/01/2017","1.315","1.123","1.358","1.096","19.55%"
"06/01/2017","1.100","0.702","1.108","0.670","58.27%"
"05/01/2017","0.695","0.730","0.735","0.649","-4.14%"
"04/01/2017","0.725","0.749","0.765","0.692","-3.07%"
"03/01/2017","0.748","0.779","0.876","0.712","-1.32%"
"02/01/2017","0.758","0.776","0.820","0.715","-1.56%"
"01/01/2017","0.770","0.758","0.851","0.706","3.22%"
"12/01/2016","0.746","0.708","0.843","0.692","6.12%"
"11/01/2016","0.703","0.558","0.711","0.520","27.12%"
"10/01/2016","0.553","0.522","0.626","0.507","5.94%"
"09/01/2016","0.522","0.582","0.610","0.478","-9.84%"
"08/01/2016","0.579","0.551","0.610","0.500","7.22%"
"07/01/2016","0.540","0.517","0.622","0.458","4.45%"
"06/01/2016","0.517","0.619","0.635","0.464","-15.66%"
"05/01/2016","0.613","0.693","0.708","0.518","-11.42%"
"04/01/2016","0.692","0.549","0.705","0.518","27.91%"
"03/01/2016","0.541","0.541","0.622","0.494","3.84%"
"02/01/2016","0.521","0.438","0.545","0.302","24.05%"
"01/01/2016","0.420","0.477","0.491","0.241","-11.76%"
"12/01/2015","0.476","0.631","0.664","0.464","-24.56%"
"11/01/2015","0.631","0.576","0.690","0.576","9.55%"
"10/01/2015","0.576","0.537","0.586","0.454","11.20%"
"09/01/2015","0.518","0.426","0.561","0.405","17.46%"
"08/01/2015","0.441","0.408","0.466","0.294","7.82%"
"07/01/2015","0.409","0.486","0.555","0.387","-15.32%"
"06/01/2015","0.483","0.571","0.721","0.483","-15.41%"
"05/01/2015","0.571","0.683","0.735","0.558","-15.78%"
"04/01/2015","0.678","0.510","0.719","0.441","33.73%"
"03/01/2015","0.507","0.470","0.650","0.443","7.42%"
"02/01/2015","0.472","0.390","0.515","0.369","20.41%"
"01/01/2015","0.392","1.011","1.045","0.392","-61.23%"
"12/01/2014","1.011","0.985","1.070","0.925","6.42%"
"11/01/2014","0.950","1.023","1.088","0.949","-7.14%"
"10/01/2014","1.023","1.127","1.143","0.863","-8.99%"
"09/01/2014","1.124","1.111","1.194","1.102","1.63%"
"08/01/2014","1.106","1.102","1.111","1.044","0.64%"
"07/01/2014","1.099","1.115","1.157","1.060","-0.27%"
"06/01/2014","1.102","1.050","1.149","1.048","4.65%"
"05/01/2014","1.053","1.079","1.094","1.031","-1.03%"
"04/01/2014","1.064","1.073","1.122","1.031","-0.09%"
"03/01/2014","1.065","0.991","1.098","0.975","6.50%"
"02/01/2014","1.000","0.948","1.040","0.927","5.37%"
"01/01/2014","0.949","1.107","1.149","0.923","-16.39%"
"12/01/2013","1.135","1.102","1.161","1.062","3.46%"
"11/01/2013","1.097","1.107","1.152","1.001","-0.45%"
"10/01/2013","1.102","1.198","1.239","1.076","-7.63%"
"09/01/2013","1.193","1.207","1.317","1.173","-0.08%"
"08/01/2013","1.194","1.157","1.240","1.116","3.38%"
"07/01/2013","1.155","1.207","1.244","1.075","-5.64%"
"06/01/2013","1.224","1.084","1.292","1.032","13.23%"
"05/01/2013","1.081","0.927","1.095","0.913","16.99%"
"04/01/2013","0.924","1.005","1.010","0.920","-7.78%"
"03/01/2013","1.002","0.953","1.016","0.905","5.14%"
"02/01/2013","0.953","1.166","1.209","0.947","-18.06%"
"01/01/2013","1.163","1.147","1.244","1.104","1.84%"
