"Date","Price","Open","High","Low","Change %"
"05/01/2026","0.202","0.168","0.243","0.072","43.26%"
"04/01/2026","0.141","0.068","0.150","0.034","78.48%"
"03/01/2026","0.079","-0.122","0.184","-0.122","-152.67%"
"02/01/2026","-0.150","-0.113","-0.108","-0.158","13.64%"
"01/01/2026","-0.132","-0.060","-0.060","-0.137","266.67%"
"12/01/2025","-0.036","-0.144","-0.039","-0.145","-71.20%"
"11/01/2025","-0.125","-0.167","-0.131","-0.176","-15.54%"
"10/01/2025","-0.148","-0.112","-0.112","-0.220","40.95%"
"09/01/2025","-0.105","-0.104","-0.090","-0.147","17.98%"
"08/01/2025","-0.089","-0.192","-0.091","-0.242","-23.93%"
"07/01/2025","-0.117","-0.126","-0.087","-0.162","31.46%"
"06/01/2025","-0.089","-0.234","-0.084","-0.249","-58.60%"
"05/01/2025","-0.215","-0.084","-0.052","-0.225","264.41%"
"04/01/2025","-0.059","0.080","0.127","-0.094","-150.86%"
"03/01/2025","0.116","0.183","0.351","0.116","-23.68%"
"02/01/2025","0.152","0.065","0.264","0.065","52.76%"
"01/01/2025","0.100","0.030","0.177","0.030","2,742.86%"
"12/01/2024","0.004","0.180","0.244","0.014","-97.23%"
"11/01/2024","0.126","0.383","0.426","0.156","-64.76%"
"10/01/2024","0.359","0.470","0.554","0.327","-8.77%"
"09/01/2024","0.394","0.604","0.604","0.395","-28.06%"
"08/01/2024","0.547","0.626","0.626","0.405","-14.93%"
"07/01/2024","0.643","0.798","0.860","0.632","-20.02%"
"06/01/2024","0.804","1.111","1.163","0.756","-27.70%"
"05/01/2024","1.112","1.050","1.142","0.896","11.65%"
"04/01/2024","0.996","0.957","1.146","0.932","3.97%"
"03/01/2024","0.958","1.097","1.249","0.958","-14.39%"
"02/01/2024","1.119","1.092","1.252","1.057","4.19%"
"01/01/2024","1.074","1.133","1.261","1.044","-2.45%"
"12/01/2023","1.101","1.244","1.244","0.986","-15.31%"
"11/01/2023","1.300","1.334","1.634","1.232","-0.31%"
"10/01/2023","1.304","1.262","1.317","1.128","4.65%"
"09/01/2023","1.246","1.138","1.371","1.058","12.56%"
"08/01/2023","1.107","1.175","1.190","1.022","-5.79%"
"07/01/2023","1.175","1.252","1.500","1.075","-3.45%"
"06/01/2023","1.217","1.160","1.455","1.058","5.73%"
"05/01/2023","1.151","1.240","1.240","0.986","0.17%"
"04/01/2023","1.149","1.198","1.249","0.764","-4.73%"
"03/01/2023","1.206","1.249","1.688","0.101","-2.82%"
"02/01/2023","1.241","1.025","1.288","0.994","21.07%"
"01/01/2023","1.025","1.263","1.284","0.959","-20.17%"
"12/01/2022","1.284","0.916","1.424","0.822","44.11%"
"11/01/2022","0.891","0.553","1.249","0.486","53.89%"
"10/01/2022","0.579","0.751","0.800","0.366","-23.01%"
"09/01/2022","0.752","0.633","1.309","0.598","23.68%"
"08/01/2022","0.608","-0.002","0.641","-0.092","-2,863.64%"
"07/01/2022","-0.022","0.110","0.250","-0.190","-143.14%"
"06/01/2022","0.051","0.091","0.766","0.046","-25.00%"
"05/01/2022","0.068","0.111","0.127","-0.205","-20.00%"
"04/01/2022","0.085","-0.099","0.117","-0.170","-176.58%"
"03/01/2022","-0.111","-0.432","-0.016","-0.578","-72.86%"
"02/01/2022","-0.409","-0.720","-0.208","-0.720","-42.15%"
"01/01/2022","-0.707","-0.683","-0.649","-0.752","1.29%"
"12/01/2021","-0.698","-0.761","-0.698","-0.796","-7.92%"
"11/01/2021","-0.758","-0.663","-0.663","-0.833","13.47%"
"10/01/2021","-0.668","-0.637","-0.617","-0.776","-12.11%"
"09/01/2021","-0.760","-0.730","-0.692","-0.773","3.54%"
"08/01/2021","-0.734","-0.762","-0.651","-0.785","-3.42%"
"07/01/2021","-0.760","-0.751","-0.671","-0.785","1.20%"
"06/01/2021","-0.751","-0.746","-0.670","-0.773","1.62%"
"05/01/2021","-0.739","-0.738","-0.667","-0.797","0.27%"
"04/01/2021","-0.737","-0.761","-0.712","-0.783","-5.51%"
"03/01/2021","-0.780","-0.758","-0.700","-0.808","14.71%"
"02/01/2021","-0.680","-0.779","-0.680","-0.805","-13.04%"
"01/01/2021","-0.782","-0.724","-0.714","-0.787","0.39%"
"12/01/2020","-0.779","-0.748","-0.724","-0.825","5.56%"
"11/01/2020","-0.738","-0.757","-0.702","-0.824","-1.86%"
"10/01/2020","-0.752","-0.818","-0.739","-0.846","-5.05%"
"09/01/2020","-0.792","-0.782","-0.749","-0.829","-1.00%"
"08/01/2020","-0.800","-0.793","-0.742","-0.849","1.52%"
"07/01/2020","-0.788","-0.661","-0.646","-0.832","19.94%"
"06/01/2020","-0.657","-0.672","-0.571","-0.717","-3.10%"
"05/01/2020","-0.678","-0.657","-0.416","-0.719","4.47%"
"04/01/2020","-0.649","-0.547","-0.433","-0.727","12.09%"
"03/01/2020","-0.579","-0.851","-0.566","-1.093","-29.30%"
"02/01/2020","-0.819","-0.755","-0.630","-0.894","10.53%"
"01/01/2020","-0.741","-0.713","-0.633","-0.780","1.65%"
"12/01/2019","-0.729","-0.725","-0.655","-0.804","-6.66%"
"11/01/2019","-0.781","-0.749","-0.653","-0.821","1.43%"
"10/01/2019","-0.770","-0.890","-0.698","-0.933","-13.58%"
"09/01/2019","-0.891","-1.052","-0.864","-1.139","-18.93%"
"08/01/2019","-1.099","-0.980","-0.980","-1.168","12.03%"
"07/01/2019","-0.981","-0.845","-0.845","-1.010","10.47%"
"06/01/2019","-0.888","-0.777","-0.777","-0.918","11.84%"
"05/01/2019","-0.794","-0.711","-0.711","-0.848","4.75%"
"04/01/2019","-0.758","-0.751","-0.694","-0.815","-3.32%"
"03/01/2019","-0.784","-0.747","-0.721","-0.819","5.38%"
"02/01/2019","-0.744","-0.686","-0.663","-0.794","-2.49%"
"01/01/2019","-0.763","-0.693","-0.674","-0.827","-3.42%"
"12/01/2018","-0.790","-0.770","-0.647","-0.827","13.02%"
"11/01/2018","-0.699","-0.744","-0.676","-0.804","-3.45%"
"10/01/2018","-0.724","-0.706","-0.668","-0.771","1.69%"
"09/01/2018","-0.712","-0.756","-0.662","-0.771","-3.91%"
"08/01/2018","-0.741","-0.733","-0.684","-0.807","2.77%"
"07/01/2018","-0.721","-0.752","-0.703","-0.776","-4.25%"
"06/01/2018","-0.753","-0.821","-0.708","-0.830","-7.83%"
"05/01/2018","-0.817","-0.747","-0.668","-0.882","11.16%"
"04/01/2018","-0.735","-0.907","-0.718","-0.938","-20.45%"
"03/01/2018","-0.924","-0.887","-0.820","-0.927","4.05%"
"02/01/2018","-0.888","-0.803","-0.774","-0.888","5.84%"
"01/01/2018","-0.839","-0.761","-0.739","-0.867","13.53%"
"12/01/2017","-0.739","-0.830","-0.724","-0.941","-16.21%"
"11/01/2017","-0.882","-0.863","-0.794","-0.917","3.64%"
"10/01/2017","-0.851","-0.819","-0.766","-0.869","4.03%"
