"Date","Price","Open","High","Low","Change %"
"05/01/2026","1.258","1.270","1.280","1.250","-2.10%"
"04/01/2026","1.285","1.250","1.320","1.240","1.34%"
"03/01/2026","1.268","1.350","1.350","1.210","-8.12%"
"02/01/2026","1.380","1.380","1.380","1.290","-0.22%"
"01/01/2026","1.383","1.320","1.440","1.320","2.98%"
"12/01/2025","1.343","1.420","1.420","1.300","-5.62%"
"11/01/2025","1.423","1.410","1.430","1.410","-0.14%"
"10/01/2025","1.425","1.420","1.500","1.400","-0.90%"
"09/01/2025","1.438","1.390","1.430","1.380","1.48%"
"08/01/2025","1.417","1.420","1.430","1.390","-1.73%"
"07/01/2025","1.442","1.370","1.440","1.350","5.18%"
"06/01/2025","1.371","1.470","1.470","1.360","-7.18%"
"05/01/2025","1.477","1.450","1.470","1.410","1.44%"
"04/01/2025","1.456","1.520","1.520","1.390","0.41%"
"03/01/2025","1.450","1.390","1.580","1.370","2.11%"
"02/01/2025","1.420","1.250","1.430","1.230","13.60%"
"01/01/2025","1.250","1.080","1.310","1.000","15.74%"
"12/01/2024","1.080","1.410","1.410","1.035","-21.17%"
"11/01/2024","1.370","1.480","1.480","1.363","-5.52%"
"10/01/2024","1.450","1.417","1.615","1.316","2.84%"
"09/01/2024","1.410","1.560","1.560","1.331","-8.26%"
"08/01/2024","1.537","1.573","1.750","1.502","1.18%"
"07/01/2024","1.519","1.720","1.720","1.503","-8.05%"
"06/01/2024","1.652","1.860","1.860","1.633","-6.98%"
"05/01/2024","1.776","1.968","1.968","1.771","-8.07%"
"04/01/2024","1.932","1.940","1.990","1.821","1.79%"
"03/01/2024","1.898","2.043","2.165","1.893","-6.96%"
"02/01/2024","2.040","2.150","2.253","2.021","-3.45%"
"01/01/2024","2.113","2.315","2.350","2.086","-4.13%"
"12/01/2023","2.204","2.459","2.560","2.175","-9.00%"
"11/01/2023","2.422","2.396","2.550","2.322","2.41%"
"10/01/2023","2.365","2.245","2.430","2.213","5.35%"
"09/01/2023","2.245","2.121","2.313","2.116","5.95%"
"08/01/2023","2.119","2.210","2.210","2.033","0.76%"
"07/01/2023","2.103","2.150","2.212","2.044","-0.57%"
"06/01/2023","2.115","2.240","2.295","2.072","-2.44%"
"05/01/2023","2.168","2.390","2.390","2.162","-5.41%"
"04/01/2023","2.292","2.453","2.465","2.287","-3.29%"
"03/01/2023","2.370","2.586","2.586","2.363","-5.58%"
"02/01/2023","2.510","2.430","2.560","2.295","7.04%"
"01/01/2023","2.345","2.397","2.491","2.285","0.09%"
"12/01/2022","2.343","2.345","2.520","2.315","0.21%"
"11/01/2022","2.338","2.065","2.419","2.045","13.83%"
"10/01/2022","2.054","2.230","2.230","2.044","-6.42%"
"09/01/2022","2.195","2.070","2.195","1.998","6.86%"
"08/01/2022","2.054","2.160","2.285","1.976","-2.38%"
"07/01/2022","2.104","2.290","2.403","2.100","-6.61%"
"06/01/2022","2.253","2.281","2.375","2.222","0.81%"
"05/01/2022","2.235","2.420","2.420","2.177","-4.20%"
"04/01/2022","2.333","2.335","2.398","2.192","1.48%"
"03/01/2022","2.299","2.278","2.430","2.183","3.51%"
"02/01/2022","2.221","2.160","2.320","2.108","3.30%"
"01/01/2022","2.150","2.420","2.440","2.088","-9.28%"
"12/01/2021","2.370","2.570","2.588","2.355","-6.69%"
"11/01/2021","2.540","2.730","2.730","2.517","-2.76%"
"10/01/2021","2.612","2.585","2.720","2.483","4.98%"
"09/01/2021","2.488","2.575","2.603","2.445","0.93%"
"08/01/2021","2.465","2.558","2.605","2.383","1.65%"
"07/01/2021","2.425","2.683","2.730","2.395","-8.70%"
"06/01/2021","2.656","2.767","2.845","2.651","-2.67%"
"05/01/2021","2.729","2.805","2.840","2.669","-0.87%"
"04/01/2021","2.753","2.894","2.960","2.746","-3.54%"
"03/01/2021","2.854","3.000","3.020","2.852","2.88%"
"02/01/2021","2.774","2.883","2.948","2.730","-2.67%"
"01/01/2021","2.850","2.830","2.860","2.548","3.11%"
"12/01/2020","2.764","3.050","3.080","2.735","-7.06%"
"11/01/2020","2.974","2.950","3.195","2.853","3.84%"
"10/01/2020","2.864","2.926","2.980","2.837","1.31%"
"09/01/2020","2.827","2.703","2.865","2.678","4.13%"
"08/01/2020","2.715","2.500","2.750","2.450","11.59%"
"07/01/2020","2.433","2.325","2.530","2.228","7.80%"
"06/01/2020","2.257","1.880","2.390","1.823","22.66%"
"05/01/2020","1.840","1.400","1.860","1.387","38.87%"
"04/01/2020","1.325","2.010","2.010","1.320","-33.01%"
"03/01/2020","1.978","2.375","2.383","1.964","-16.19%"
"02/01/2020","2.360","2.480","2.544","2.350","-7.27%"
"01/01/2020","2.545","2.680","2.694","2.545","-7.29%"
"12/01/2019","2.745","2.843","2.900","2.693","-1.54%"
"11/01/2019","2.788","2.908","2.910","2.766","-3.80%"
"10/01/2019","2.898","2.791","2.935","2.751","4.73%"
"09/01/2019","2.767","2.659","2.814","2.640","3.48%"
"08/01/2019","2.674","2.802","2.802","2.620","-3.71%"
"07/01/2019","2.777","2.838","2.838","2.770","-1.98%"
"06/01/2019","2.833","2.820","2.935","2.787","-0.18%"
"05/01/2019","2.838","2.850","2.916","2.828","-2.91%"
"04/01/2019","2.923","2.670","2.980","2.604","12.29%"
"03/01/2019","2.603","2.746","2.830","2.603","-4.72%"
