"Date","Price","Open","High","Low","Change %"
"06/01/2026","4.103","3.963","4.072","3.963","5.12%"
"05/01/2026","3.903","4.112","4.197","3.901","-5.97%"
"04/01/2026","4.151","4.147","4.234","3.836","-2.76%"
"03/01/2026","4.269","3.456","4.291","3.456","25.93%"
"02/01/2026","3.390","3.295","3.413","3.248","2.02%"
"01/01/2026","3.323","3.441","3.441","3.287","-3.32%"
"12/01/2025","3.437","3.484","3.556","3.397","-1.52%"
"11/01/2025","3.490","3.530","3.620","3.490","-1.11%"
"10/01/2025","3.529","3.460","3.570","3.450","2.02%"
"09/01/2025","3.459","3.400","3.470","3.380","1.26%"
"08/01/2025","3.416","3.540","3.540","3.380","-3.72%"
"07/01/2025","3.548","3.480","3.550","3.460","1.52%"
"06/01/2025","3.495","3.390","3.490","3.390","3.04%"
"05/01/2025","3.392","3.310","3.420","3.310","2.82%"
"04/01/2025","3.299","3.340","3.360","3.250","-1.82%"
"03/01/2025","3.360","3.430","3.530","3.360","-2.04%"
"02/01/2025","3.430","3.480","3.510","3.420","-2.00%"
"01/01/2025","3.500","3.270","3.500","3.220","5.74%"
"12/01/2024","3.310","3.402","3.519","3.255","0.91%"
"11/01/2024","3.280","3.556","3.662","3.252","-4.09%"
"10/01/2024","3.420","3.192","3.612","3.180","7.21%"
"09/01/2024","3.190","3.368","3.661","3.176","-5.59%"
"08/01/2024","3.379","3.505","3.754","3.312","-4.44%"
"07/01/2024","3.536","4.085","4.191","3.536","-11.40%"
"06/01/2024","3.991","4.161","4.350","3.980","-4.36%"
"05/01/2024","4.173","4.202","4.337","3.977","-0.55%"
"04/01/2024","4.196","3.757","4.443","3.757","11.80%"
"03/01/2024","3.753","3.582","3.893","3.541","4.11%"
"02/01/2024","3.605","4.016","4.390","3.493","-10.05%"
"01/01/2024","4.008","4.468","4.946","4.008","-10.11%"
"12/01/2023","4.459","4.972","5.224","4.455","-10.37%"
"11/01/2023","4.975","4.696","5.204","4.635","6.01%"
"10/01/2023","4.693","5.050","5.537","4.669","-6.83%"
"09/01/2023","5.037","5.654","5.838","5.037","-10.69%"
"08/01/2023","5.640","5.908","6.680","5.545","-6.56%"
"07/01/2023","6.036","5.733","6.690","5.653","3.34%"
"06/01/2023","5.841","5.723","6.367","5.683","1.64%"
"05/01/2023","5.747","5.619","6.321","5.459","2.08%"
"04/01/2023","5.630","5.757","6.123","5.470","-2.19%"
"03/01/2023","5.756","5.831","6.325","5.180","-3.29%"
"02/01/2023","5.952","5.673","6.202","5.471","4.94%"
"01/01/2023","5.672","5.580","6.052","5.363","-4.14%"
"12/01/2022","5.917","5.592","5.923","5.484","1.74%"
"11/01/2022","5.816","6.238","6.475","5.564","-6.85%"
"10/01/2022","6.244","6.255","6.536","5.842","0.58%"
"09/01/2022","6.208","6.195","6.316","5.742","-0.06%"
"08/01/2022","6.212","6.153","6.528","5.581","0.10%"
"07/01/2022","6.206","6.234","6.750","6.060","-0.61%"
"06/01/2022","6.244","5.452","6.868","5.452","13.94%"
"05/01/2022","5.480","5.211","6.080","5.179","4.94%"
"04/01/2022","5.222","4.664","5.594","4.580","12.66%"
"03/01/2022","4.635","4.213","5.083","4.112","9.19%"
"02/01/2022","4.245","4.241","4.245","3.693","0.24%"
"01/01/2022","4.235","3.749","4.276","3.694","13.27%"
"12/01/2021","3.739","2.785","3.739","2.767","34.11%"
"11/01/2021","2.788","2.868","3.374","2.748","-2.31%"
"10/01/2021","2.854","1.928","2.859","1.923","47.42%"
"09/01/2021","1.936","1.696","1.947","1.642","13.62%"
"08/01/2021","1.704","1.429","1.715","1.407","19.33%"
"07/01/2021","1.428","0.475","1.440","0.418","196.27%"
"06/01/2021","0.482","0.517","0.527","0.228","-12.04%"
"05/01/2021","0.548","0.631","0.711","0.467","-13.29%"
"04/01/2021","0.632","0.573","0.713","0.416","-3.36%"
"03/01/2021","0.654","0.420","0.874","0.420","7.57%"
"02/01/2021","0.608","0.181","0.697","0.156","130.30%"
"01/01/2021","0.264","0.219","0.399","0.047","33.33%"
"12/01/2020","0.198","-0.014","0.244","-0.067","66.39%"
"11/01/2020","0.119","-0.070","0.188","-0.077","105.17%"
"10/01/2020","0.058","0.034","0.222","-0.063","1.75%"
"09/01/2020","0.057","0.128","0.438","0.010","-58.99%"
"08/01/2020","0.139","-0.010","0.275","-0.039","69.51%"
"07/01/2020","0.082","0.038","0.240","-0.106","51.85%"
"06/01/2020","0.054","0.138","0.399","0.020","-26.03%"
"05/01/2020","0.073","0.646","0.673","0.068","-88.80%"
"04/01/2020","0.652","0.815","1.107","0.562","-18.50%"
"03/01/2020","0.800","1.690","2.185","0.800","-53.46%"
"02/01/2020","1.719","1.731","2.312","1.659","-2.61%"
"01/01/2020","1.765","1.683","1.937","1.568","2.68%"
"12/01/2019","1.719","1.502","1.792","1.448","14.22%"
"11/01/2019","1.505","1.327","1.565","1.176","23.66%"
"10/01/2019","1.217","1.243","1.468","1.217","-6.10%"
"09/01/2019","1.296","1.099","1.382","1.099","18.03%"
"08/01/2019","1.098","1.158","1.200","0.889","1.86%"
"07/01/2019","1.078","1.558","1.616","1.078","-25.91%"
"06/01/2019","1.455","1.612","1.740","1.455","-9.96%"
"05/01/2019","1.616","1.734","1.815","1.494","0.56%"
"04/01/2019","1.607","1.829","1.961","1.516","-9.62%"
"03/01/2019","1.778","1.793","2.075","1.706","-1.71%"
"02/01/2019","1.809","1.878","2.003","1.610","5.17%"
"01/01/2019","1.720","1.529","1.945","1.468","16.45%"
"12/01/2018","1.477","1.761","1.813","1.432","-14.08%"
"11/01/2018","1.719","1.537","1.792","1.398","2.57%"
"10/01/2018","1.676","1.533","1.732","1.350","15.67%"
"09/01/2018","1.449","1.487","1.686","1.259","13.20%"
"08/01/2018","1.280","1.245","1.506","1.164","-1.23%"
"07/01/2018","1.296","1.210","1.425","0.984","6.40%"
"06/01/2018","1.218","0.958","1.245","0.856","22.04%"
"05/01/2018","0.998","0.773","1.047","0.646","13.15%"
"04/01/2018","0.882","0.743","0.902","0.653","4.38%"
"03/01/2018","0.845","0.591","0.979","0.571","40.83%"
"02/01/2018","0.600","0.713","0.827","0.482","12.36%"
"01/01/2018","0.534","0.531","0.818","0.413","-4.47%"
"12/01/2017","0.559","0.170","0.866","-0.028","521.11%"
"11/01/2017","0.090","0.318","0.570","0.090","-72.22%"
"10/01/2017","0.324","0.231","0.501","-0.063","64.47%"
"09/01/2017","0.197","-0.054","0.230","-0.227","-464.81%"
"08/01/2017","-0.054","-0.031","0.104","-0.218","-307.69%"
"07/01/2017","0.026","0.148","0.224","-0.202","-76.99%"
"06/01/2017","0.113","-0.061","0.148","-0.186","-196.58%"
"05/01/2017","-0.117","0.036","0.047","-0.211","-3,025.00%"
"04/01/2017","0.004","-0.505","0.068","-0.505","-100.70%"
"03/01/2017","-0.573","-0.509","-0.370","-0.761","14.60%"
"02/01/2017","-0.500","-0.701","-0.361","-0.786","-24.47%"
"01/01/2017","-0.662","-1.073","-0.609","-1.268","-26.44%"
"12/01/2016","-0.900","-0.752","-0.632","-1.136","15.98%"
"11/01/2016","-0.776","-0.799","-0.622","-0.937","-8.71%"
"10/01/2016","-0.850","-0.498","-0.487","-0.998","50.44%"
"09/01/2016","-0.565","-0.266","-0.241","-0.700","112.41%"
"08/01/2016","-0.266","-0.123","-0.107","-0.286","97.04%"
"07/01/2016","-0.135","-0.060","-0.060","-0.253","64.63%"
"06/01/2016","-0.082","0.020","0.046","-0.126","-1,011.11%"
"05/01/2016","0.009","-0.041","0.041","-0.122","-120.45%"
"04/01/2016","-0.044","-0.016","0.028","-0.096","300.00%"
"03/01/2016","-0.011","-0.199","0.039","-0.262","-94.24%"
"02/01/2016","-0.191","-0.089","-0.049","-0.250","114.61%"
"01/01/2016","-0.089","-0.210","-0.048","-0.261","-60.09%"
"12/01/2015","-0.223","-0.212","-0.182","-0.309","7.21%"
"11/01/2015","-0.208","-0.366","-0.181","-0.564","-47.21%"
"10/01/2015","-0.394","-0.261","-0.146","-0.487","28.34%"
"09/01/2015","-0.307","-0.175","-0.053","-0.677","95.54%"
"08/01/2015","-0.157","-0.206","-0.013","-0.379","-34.03%"
"07/01/2015","-0.238","0.085","0.136","-0.238","-981.48%"
"06/01/2015","0.027","0.118","0.154","0.000","-77.31%"
"05/01/2015","0.119","0.060","0.157","-0.049","83.08%"
"04/01/2015","0.065","0.037","0.102","-0.168","1,200.00%"
"03/01/2015","0.005","0.045","0.099","-0.013","-94.74%"
"02/01/2015","0.095","0.062","0.166","0.034","41.79%"
"01/01/2015","0.067","0.114","0.294","0.035","-63.98%"
"12/01/2014","0.186","0.133","0.319","0.110","73.83%"
"11/01/2014","0.107","0.121","0.198","0.089","-13.71%"
"10/01/2014","0.124","0.113","0.177","0.055","42.53%"
"09/01/2014","0.087","0.204","0.271","0.081","-52.72%"
"08/01/2014","0.184","0.259","0.352","0.116","-23.97%"
"07/01/2014","0.242","0.306","0.353","0.222","-20.92%"
"06/01/2014","0.306","0.196","0.476","0.175","4.08%"
"05/01/2014","0.294","0.285","0.368","0.119","-31.94%"
"04/01/2014","0.432","0.380","0.456","0.241","9.09%"
"03/01/2014","0.396","0.420","0.858","0.340","-13.73%"
"02/01/2014","0.459","0.409","0.809","0.409","6.50%"
"01/01/2014","0.431","0.194","0.646","0.106","63.26%"
"12/01/2013","0.264","0.130","1.018","0.043","-24.14%"
"11/01/2013","0.348","0.282","0.544","0.071","31.32%"
"10/01/2013","0.265","0.257","0.361","0.121","6.43%"
"09/01/2013","0.249","0.425","0.483","0.224","-42.63%"
"08/01/2013","0.434","0.480","0.558","0.333","-10.14%"
"07/01/2013","0.483","0.638","0.701","0.368","-20.30%"
"06/01/2013","0.606","0.427","0.817","0.347","40.60%"
"05/01/2013","0.431","0.321","0.431","0.219","18.73%"
"04/01/2013","0.363","0.456","0.470","0.266","-16.17%"
"03/01/2013","0.433","0.215","0.491","0.134","39.23%"
"02/01/2013","0.311","0.264","0.455","0.164","36.40%"
"01/01/2013","0.228","0.223","0.532","0.057","-55.81%"
"12/01/2012","0.516","0.310","0.516","0.150","63.81%"
"11/01/2012","0.315","0.416","0.419","0.156","-16.89%"
"10/01/2012","0.379","0.420","0.588","0.300","-24.50%"
"09/01/2012","0.502","0.532","0.698","0.424","16.74%"
"08/01/2012","0.430","0.858","0.938","0.430","-57.30%"
