"Date","Price","Open","High","Low","Change %"
"05/01/2026","2.648","2.718","2.743","2.556","0.59%"
"04/01/2026","2.632","2.603","2.724","2.419","0.40%"
"03/01/2026","2.622","2.080","2.710","2.080","30.53%"
"02/01/2026","2.009","2.089","2.095","2.004","-2.84%"
"01/01/2026","2.067","2.138","2.138","2.054","-2.61%"
"12/01/2025","2.123","2.060","2.176","2.049","4.55%"
"11/01/2025","2.030","2.002","2.037","1.986","2.26%"
"10/01/2025","1.985","2.012","2.015","1.912","-1.74%"
"09/01/2025","2.021","1.952","2.042","1.920","3.96%"
"08/01/2025","1.944","1.903","1.974","1.888","-0.17%"
"07/01/2025","1.947","1.840","1.944","1.789","4.85%"
"06/01/2025","1.857","1.788","1.872","1.772","3.92%"
"05/01/2025","1.787","1.762","1.934","1.718","5.30%"
"04/01/2025","1.697","2.019","2.037","1.653","-16.24%"
"03/01/2025","2.026","2.064","2.272","2.010","0.90%"
"02/01/2025","2.008","2.033","2.168","2.008","-4.86%"
"01/01/2025","2.111","2.085","2.307","2.085","1.91%"
"12/01/2024","2.071","1.943","2.119","1.891","6.40%"
"11/01/2024","1.946","2.297","2.333","1.946","-15.92%"
"10/01/2024","2.315","2.077","2.392","1.987","11.94%"
"09/01/2024","2.068","2.399","2.441","2.046","-13.26%"
"08/01/2024","2.384","2.504","2.524","2.151","-5.88%"
"07/01/2024","2.533","2.874","2.950","2.514","-10.34%"
"06/01/2024","2.825","1.534","3.099","1.534","-9.25%"
"05/01/2024","3.113","3.030","3.121","2.863","2.60%"
"04/01/2024","3.034","2.823","3.039","2.771","7.46%"
"03/01/2024","2.823","2.880","2.937","2.709","-2.14%"
"02/01/2024","2.885","2.425","2.980","2.401","19.87%"
"01/01/2024","2.407","2.436","2.736","2.363","0.27%"
"12/01/2023","2.400","2.820","2.828","2.354","-14.71%"
"11/01/2023","2.814","3.094","3.193","2.761","-8.46%"
"10/01/2023","3.074","3.213","3.277","3.031","-4.12%"
"09/01/2023","3.206","2.970","3.331","2.926","7.55%"
"08/01/2023","2.981","3.226","3.231","2.920","-7.02%"
"07/01/2023","3.206","3.274","3.393","3.097","-1.87%"
"06/01/2023","3.267","2.752","3.295","2.720","19.28%"
"05/01/2023","2.739","2.796","2.991","2.520","0.37%"
"04/01/2023","2.729","2.710","2.988","2.466","1.26%"
"03/01/2023","2.695","3.181","3.385","2.089","-13.95%"
"02/01/2023","3.132","2.630","3.191","2.452","18.23%"
"01/01/2023","2.649","2.755","2.756","2.426","-3.00%"
"12/01/2022","2.731","2.071","2.736","1.958","27.68%"
"11/01/2022","2.139","1.919","2.252","1.835","9.75%"
"10/01/2022","1.949","1.805","2.220","1.444","9.62%"
"09/01/2022","1.778","1.195","2.031","0.958","48.41%"
"08/01/2022","1.198","0.272","1.238","0.152","338.83%"
"07/01/2022","0.273","0.647","0.779","0.205","-59.79%"
"06/01/2022","0.679","0.511","1.309","0.490","33.66%"
"05/01/2022","0.508","0.256","0.527","0.020","96.90%"
"04/01/2022","0.258","-0.043","0.291","-0.117","-468.57%"
"03/01/2022","-0.070","-0.551","0.066","-0.813","-86.19%"
"02/01/2022","-0.507","-0.539","-0.214","-0.561","-5.06%"
"01/01/2022","-0.534","-0.605","-0.527","-0.685","-16.17%"
"12/01/2021","-0.637","-0.745","-0.602","-0.752","-14.84%"
"11/01/2021","-0.748","-0.581","-0.577","-0.789","28.97%"
"10/01/2021","-0.580","-0.696","-0.572","-0.712","-15.82%"
"09/01/2021","-0.689","-0.714","-0.658","-0.730","-3.91%"
"08/01/2021","-0.717","-0.755","-0.710","-0.790","-5.28%"
"07/01/2021","-0.757","-0.659","-0.645","-0.763","15.22%"
"06/01/2021","-0.657","-0.662","-0.626","-0.692","-0.90%"
"05/01/2021","-0.663","-0.683","-0.630","-0.710","-3.35%"
"04/01/2021","-0.686","-0.692","-0.669","-0.716","-1.29%"
"03/01/2021","-0.695","-0.662","-0.649","-0.721","4.67%"
"02/01/2021","-0.664","-0.731","-0.625","-0.739","-8.67%"
"01/01/2021","-0.727","-0.696","-0.686","-0.754","2.68%"
"12/01/2020","-0.708","-0.746","-0.678","-0.794","-4.45%"
"11/01/2020","-0.741","-0.799","-0.704","-0.818","-6.68%"
"10/01/2020","-0.794","-0.696","-0.683","-0.809","13.75%"
"09/01/2020","-0.698","-0.659","-0.640","-0.739","7.38%"
"08/01/2020","-0.650","-0.704","-0.630","-0.740","-9.09%"
"07/01/2020","-0.715","-0.682","-0.637","-0.729","3.92%"
"06/01/2020","-0.688","-0.641","-0.570","-0.708","6.50%"
"05/01/2020","-0.646","-0.782","-0.615","-0.810","-15.56%"
"04/01/2020","-0.765","-0.703","-0.587","-0.769","12.83%"
"03/01/2020","-0.678","-0.810","-0.571","-1.038","-11.60%"
"02/01/2020","-0.767","-0.671","-0.617","-0.797","14.82%"
"01/01/2020","-0.668","-0.599","-0.564","-0.680","12.46%"
"12/01/2019","-0.594","-0.623","-0.588","-0.703","-5.56%"
"11/01/2019","-0.629","-0.663","-0.596","-0.669","-4.84%"
"10/01/2019","-0.661","-0.755","-0.616","-0.775","-12.10%"
"09/01/2019","-0.752","-0.913","-0.641","-0.938","-18.53%"
"08/01/2019","-0.923","-0.769","-0.749","-0.928","17.88%"
"07/01/2019","-0.783","-0.735","-0.699","-0.807","6.68%"
"06/01/2019","-0.734","-0.677","-0.619","-0.757","11.21%"
"05/01/2019","-0.660","-0.598","-0.584","-0.680","11.11%"
"04/01/2019","-0.594","-0.605","-0.558","-0.615","-2.14%"
"03/01/2019","-0.607","-0.530","-0.495","-0.616","13.67%"
"02/01/2019","-0.534","-0.559","-0.521","-0.588","-4.47%"
"01/01/2019","-0.559","-0.609","-0.542","-0.660","-5.25%"
"12/01/2018","-0.590","-0.581","-0.545","-0.662","-0.84%"
"11/01/2018","-0.595","-0.661","-0.571","-0.673","-8.91%"
"10/01/2018","-0.653","-0.551","-0.522","-0.684","20.32%"
"09/01/2018","-0.543","-0.625","-0.501","-0.632","-12.45%"
"08/01/2018","-0.620","-0.579","-0.552","-0.669","6.66%"
"07/01/2018","-0.581","-0.694","-0.573","-0.708","-16.18%"
"06/01/2018","-0.694","-0.667","-0.566","-0.712","1.06%"
"05/01/2018","-0.686","-0.574","-0.517","-0.850","19.81%"
"04/01/2018","-0.573","-0.598","-0.516","-0.599","-2.60%"
"03/01/2018","-0.588","-0.529","-0.497","-0.616","10.11%"
"02/01/2018","-0.534","-0.526","-0.473","-0.591","0.96%"
"01/01/2018","-0.529","-0.635","-0.506","-0.636","-16.30%"
"12/01/2017","-0.632","-0.671","-0.585","-0.765","-7.60%"
"11/01/2017","-0.684","-0.744","-0.649","-0.770","-8.80%"
"10/01/2017","-0.750","-0.682","-0.662","-0.771","10.13%"
"09/01/2017","-0.681","-0.734","-0.655","-0.775","-7.09%"
"08/01/2017","-0.733","-0.676","-0.654","-0.764","7.79%"
"07/01/2017","-0.680","-0.573","-0.562","-0.706","18.67%"
"06/01/2017","-0.573","-0.723","-0.533","-0.751","-19.97%"
"05/01/2017","-0.716","-0.727","-0.616","-0.735","-1.78%"
"04/01/2017","-0.729","-0.748","-0.663","-0.877","-1.49%"
"03/01/2017","-0.740","-0.878","-0.677","-0.898","-17.41%"
"02/01/2017","-0.896","-0.693","-0.687","-0.964","28.37%"
"01/01/2017","-0.698","-0.787","-0.635","-0.811","-10.74%"
"12/01/2016","-0.782","-0.741","-0.632","-0.841","7.42%"
"11/01/2016","-0.728","-0.615","-0.573","-0.769","17.80%"
"10/01/2016","-0.618","-0.685","-0.595","-0.697","-10.17%"
"09/01/2016","-0.688","-0.613","-0.609","-0.717","11.33%"
"08/01/2016","-0.618","-0.622","-0.582","-0.643","-1.28%"
"07/01/2016","-0.626","-0.627","-0.593","-0.706","-3.54%"
"06/01/2016","-0.649","-0.512","-0.503","-0.721","27.50%"
"05/01/2016","-0.509","-0.478","-0.467","-0.527","6.93%"
"04/01/2016","-0.476","-0.488","-0.467","-0.523","-1.86%"
"03/01/2016","-0.485","-0.574","-0.433","-0.581","-14.91%"
"02/01/2016","-0.570","-0.474","-0.458","-0.575","17.77%"
"01/01/2016","-0.484","-0.347","-0.342","-0.490","42.35%"
"12/01/2015","-0.340","-0.411","-0.276","-0.452","-17.87%"
"11/01/2015","-0.414","-0.320","-0.276","-0.426","32.69%"
"10/01/2015","-0.312","-0.252","-0.231","-0.354","26.32%"
"09/01/2015","-0.247","-0.191","-0.186","-0.267","27.32%"
"08/01/2015","-0.194","-0.230","-0.191","-0.288","-14.54%"
"07/01/2015","-0.227","-0.228","-0.191","-0.276","2.25%"
"06/01/2015","-0.222","-0.220","-0.134","-0.233","0.91%"
"05/01/2015","-0.220","-0.211","-0.178","-0.232","-1.79%"
"04/01/2015","-0.224","-0.238","-0.205","-0.284","-9.31%"
"03/01/2015","-0.247","-0.222","-0.167","-0.253","12.27%"
"02/01/2015","-0.220","-0.188","-0.166","-0.232","19.57%"
"01/01/2015","-0.184","-0.103","-0.093","-0.187","75.24%"
"12/01/2014","-0.105","-0.025","-0.004","-0.110","228.12%"
"11/01/2014","-0.032","-0.056","0.005","-0.063","-42.86%"
"10/01/2014","-0.056","-0.073","-0.029","-0.086","-25.33%"
"09/01/2014","-0.075","-0.022","-0.009","-0.092","158.62%"
"08/01/2014","-0.029","0.026","0.040","-0.046","-176.32%"
"07/01/2014","0.038","0.032","0.045","0.012","22.58%"
"06/01/2014","0.031","0.063","0.074","0.025","-53.03%"
"05/01/2014","0.066","0.135","0.171","0.048","-54.17%"
"04/01/2014","0.144","0.160","0.210","0.127","-12.73%"
"03/01/2014","0.165","0.118","0.233","0.100","26.92%"
"02/01/2014","0.130","0.076","0.148","0.065","78.08%"
"01/01/2014","0.073","0.240","0.247","0.060","-64.73%"
"12/01/2013","0.207","0.122","0.269","0.114","73.95%"
"11/01/2013","0.119","0.109","0.155","0.052","-4.80%"
"10/01/2013","0.125","0.169","0.236","0.116","-27.33%"
"09/01/2013","0.172","0.255","0.343","0.156","-30.65%"
"08/01/2013","0.248","0.144","0.326","0.107","64.24%"
"07/01/2013","0.151","0.214","0.233","0.065","-21.76%"
"06/01/2013","0.193","0.067","0.341","0.064","150.65%"
"05/01/2013","0.077","0.008","0.108","-0.046","1,000.00%"
"04/01/2013","0.007","-0.035","0.052","-0.037","-130.43%"
"03/01/2013","-0.023","0.046","0.116","-0.047","-146.94%"
"02/01/2013","0.049","0.274","0.290","0.040","-81.58%"
"01/01/2013","0.266","0.000","0.324","-0.016","-1,050.00%"
"12/01/2012","-0.028","0.011","0.053","-0.095","-380.00%"
"11/01/2012","0.010","0.033","0.045","-0.057","-73.68%"
"10/01/2012","0.038","0.032","0.147","0.020","80.95%"
"09/01/2012","0.021","-0.031","0.113","-0.064","-165.62%"
"08/01/2012","-0.032","-0.075","0.023","-0.097","-63.64%"
"07/01/2012","-0.088","0.116","0.134","-0.097","-170.97%"
"06/01/2012","0.124","0.003","0.193","-0.017","1,966.67%"
"05/01/2012","0.006","0.104","0.125","0.002","-92.77%"
"04/01/2012","0.083","0.229","0.255","0.073","-60.29%"
"03/01/2012","0.209","0.195","0.367","0.147","11.17%"
"02/01/2012","0.188","0.162","0.307","0.153","13.94%"
"01/01/2012","0.165","0.139","0.255","0.131","8.55%"
"12/01/2011","0.152","0.331","0.432","0.136","-54.63%"
"11/01/2011","0.335","0.484","0.542","0.270","-38.42%"
"10/01/2011","0.544","0.495","0.744","0.412","-1.81%"
"09/01/2011","0.554","0.741","0.752","0.329","-24.11%"
"08/01/2011","0.730","1.199","1.229","0.532","-37.34%"
"07/01/2011","1.165","1.627","1.669","1.054","-27.46%"
"06/01/2011","1.606","1.642","1.723","1.339","-0.19%"
"05/01/2011","1.609","1.802","1.959","1.563","-9.30%"
"04/01/2011","1.774","1.822","1.949","1.731","-1.17%"
"03/01/2011","1.795","1.545","1.818","1.453","17.70%"
"02/01/2011","1.525","1.397","1.585","1.310","11.31%"
"01/01/2011","1.370","0.822","1.444","0.795","60.42%"
"12/01/2010","0.854","0.864","1.143","0.813","-1.73%"
"11/01/2010","0.869","0.995","1.130","0.855","-14.72%"
"10/01/2010","1.019","0.864","1.084","0.744","21.60%"
"09/01/2010","0.838","0.600","0.862","0.558","39.43%"
"08/01/2010","0.601","0.815","0.842","0.563","-26.71%"
"07/01/2010","0.820","0.640","0.905","0.624","39.69%"
"06/01/2010","0.587","0.478","0.638","0.434","15.10%"
"05/01/2010","0.510","0.816","0.858","0.441","-35.77%"
"04/01/2010","0.794","0.972","1.045","0.724","-18.65%"
"03/01/2010","0.976","0.864","0.990","0.820","13.89%"
"02/01/2010","0.857","1.113","1.178","0.825","-24.63%"
"01/01/2010","1.137","1.402","1.447","1.082","-15.02%"
