"Date","Price","Open","High","Low","Change %"
"05/01/2026","4.3660","4.4150","4.5520","4.3555","-2.24%"
"04/01/2026","4.4660","4.2900","4.5445","4.1095","1.25%"
"03/01/2026","4.4110","3.6295","4.5670","3.6295","25.31%"
"02/01/2026","3.5200","3.6975","3.7105","3.5085","-5.43%"
"01/01/2026","3.7220","3.7290","3.7380","3.6200","0.22%"
"12/01/2025","3.7140","3.7460","3.8000","3.7045","-0.80%"
"11/01/2025","3.7440","3.7915","3.8445","3.7235","-0.66%"
"10/01/2025","3.7690","3.9615","4.0070","3.7585","-5.56%"
"09/01/2025","3.9910","3.9580","4.0175","3.8905","1.01%"
"08/01/2025","3.9510","3.7855","3.9710","3.7855","2.09%"
"07/01/2025","3.8700","3.8280","3.9055","3.8125","1.31%"
"06/01/2025","3.8200","4.0235","4.0285","3.8115","-5.09%"
"05/01/2025","4.0250","3.8245","4.0715","3.8000","5.81%"
"04/01/2025","3.8040","4.1770","4.1770","3.7955","-9.19%"
"03/01/2025","4.1890","4.1990","4.2940","4.1690","0.35%"
"02/01/2025","4.1745","4.1570","4.2705","4.1330","-0.84%"
"01/01/2025","4.2100","4.4050","4.5895","4.2100","-3.58%"
"12/01/2024","4.3665","4.2290","4.5600","4.1750","3.21%"
"11/01/2024","4.2305","4.4560","4.5450","4.2280","-4.40%"
"10/01/2024","4.4250","3.9880","4.5390","3.9220","11.08%"
"09/01/2024","3.9835","4.1360","4.1440","3.7610","-3.15%"
"08/01/2024","4.1130","3.7840","4.1360","3.4710","7.95%"
"07/01/2024","3.8100","4.2510","4.2620","3.8050","-9.69%"
"06/01/2024","4.2190","4.3990","4.4290","4.1000","-4.53%"
"05/01/2024","4.4190","4.5310","4.5710","4.1590","-1.91%"
"04/01/2024","4.5050","4.2560","4.5360","4.1410","8.37%"
"03/01/2024","4.1570","4.3200","4.3560","4.1000","-3.51%"
"02/01/2024","4.3080","4.2560","4.6800","4.1960","1.92%"
"01/01/2024","4.2270","4.0340","4.4590","4.0160","6.29%"
"12/01/2023","3.9770","4.6140","4.6230","3.9600","-13.37%"
"11/01/2023","4.5910","4.8140","4.8250","4.4200","-4.05%"
