"Date","Price","Open","High","Low","Change %"
"06/01/2026","54.54","52.53","55.03","52.53","3.32%"
"05/01/2026","52.78","45.69","54.05","42.36","15.09%"
"04/01/2026","45.86","48.20","48.36","40.86","-10.42%"
"03/01/2026","51.20","46.01","52.03","42.88","16.31%"
"02/01/2026","44.02","40.03","44.02","39.19","31.28%"
"01/01/2026","33.53","34.20","39.49","33.19","-1.96%"
"12/01/2025","34.20","37.36","37.53","34.20","-8.04%"
"11/01/2025","37.19","37.06","41.69","37.03","0.38%"
"10/01/2025","37.05","41.04","42.80","37.05","-6.92%"
"09/01/2025","39.80","32.78","43.29","29.53","25.24%"
"08/01/2025","31.78","34.09","35.09","26.61","-0.97%"
"07/01/2025","32.09","37.61","37.61","31.09","-15.75%"
"06/01/2025","38.09","39.07","42.07","33.06","-1.24%"
"05/01/2025","38.57","52.09","52.11","37.56","-25.97%"
"04/01/2025","52.10","51.59","86.52","47.09","0.95%"
"03/01/2025","51.61","36.04","51.61","35.55","39.30%"
"02/01/2025","37.05","36.05","37.05","27.56","5.59%"
"01/01/2025","35.09","40.08","41.06","33.09","-12.49%"
"12/01/2024","40.10","35.56","40.10","32.07","11.11%"
"11/01/2024","36.09","32.58","36.09","30.08","17.98%"
"10/01/2024","30.59","30.06","31.58","29.06","-2.98%"
"09/01/2024","31.53","26.54","33.06","24.42","18.85%"
"08/01/2024","26.53","34.05","41.64","26.53","-22.13%"
"07/01/2024","34.07","38.05","38.05","31.55","-10.44%"
"06/01/2024","38.04","32.04","46.07","32.01","16.94%"
"05/01/2024","32.53","35.59","44.20","22.26","-8.60%"
"04/01/2024","35.59","35.10","42.08","35.08","1.40%"
"03/01/2024","35.10","29.03","35.10","27.03","18.94%"
"02/01/2024","29.51","33.57","33.57","27.00","-6.58%"
"01/01/2024","31.59","26.07","34.56","26.03","21.17%"
"12/01/2023","26.07","28.08","31.57","26.06","-3.62%"
"11/01/2023","27.05","47.09","48.74","27.05","-43.76%"
"10/01/2023","48.10","40.57","52.09","40.56","15.60%"
"09/01/2023","41.61","28.02","42.60","25.51","40.91%"
"08/01/2023","29.53","22.07","40.01","22.07","36.90%"
"07/01/2023","21.57","28.07","30.60","21.56","-28.22%"
"06/01/2023","30.05","31.53","32.60","25.05","-1.70%"
"05/01/2023","30.57","36.07","46.17","29.07","-15.39%"
"04/01/2023","36.13","33.05","39.10","28.11","2.99%"
"03/01/2023","35.08","34.51","65.09","31.03","-2.58%"
"02/01/2023","36.01","30.05","44.02","22.06","12.32%"
"01/01/2023","32.06","40.07","40.08","28.05","-19.93%"
"12/01/2022","40.04","30.38","46.07","26.06","33.11%"
"11/01/2022","30.08","57.11","62.08","30.08","-47.29%"
"10/01/2022","57.07","73.06","78.06","56.07","-21.86%"
"09/01/2022","73.04","61.03","87.02","38.97","35.16%"
"08/01/2022","54.04","47.08","58.03","34.08","19.85%"
"07/01/2022","45.09","76.05","87.02","45.09","-40.72%"
"06/01/2022","76.06","40.09","76.06","39.09","116.57%"
"05/01/2022","35.12","55.08","71.07","35.11","-36.18%"
"04/01/2022","55.03","32.33","62.08","29.59","108.45%"
"03/01/2022","26.40","47.73","61.15","24.37","-49.42%"
"02/01/2022","52.19","37.17","52.19","37.12","40.48%"
"01/01/2022","37.15","25.20","39.64","23.22","47.30%"
"12/01/2021","25.22","40.17","40.18","25.22","-30.41%"
"11/01/2021","36.24","36.21","39.22","28.24","3.01%"
"10/01/2021","35.18","36.21","48.16","33.68","-2.82%"
"09/01/2021","36.20","22.19","40.19","21.69","63.14%"
"08/01/2021","22.19","34.66","34.66","22.19","-35.98%"
"07/01/2021","34.66","27.69","36.66","27.69","25.13%"
"06/01/2021","27.70","26.15","29.68","25.15","5.93%"
"05/01/2021","26.15","27.19","31.17","25.69","-3.82%"
"04/01/2021","27.19","37.18","37.19","27.19","-29.71%"
"03/01/2021","38.68","27.66","39.64","25.91","32.65%"
"02/01/2021","29.16","28.68","29.17","19.19","1.67%"
"01/01/2021","28.68","19.73","29.68","19.73","45.36%"
"12/01/2020","19.73","24.24","25.18","19.73","-18.27%"
"11/01/2020","24.14","38.97","40.10","21.77","-39.80%"
"10/01/2020","40.10","52.22","52.22","32.30","-22.59%"
"09/01/2020","51.80","33.30","58.20","29.29","48.94%"
"08/01/2020","34.78","47.23","47.23","32.32","-26.37%"
"07/01/2020","47.23","60.23","65.22","31.40","-20.42%"
"06/01/2020","59.35","61.77","65.22","28.42","-13.50%"
"05/01/2020","68.61","106.93","111.54","59.30","-33.71%"
"04/01/2020","103.50","124.69","149.38","83.10","-2.93%"
"03/01/2020","106.62","39.37","166.62","27.33","179.99%"
"02/01/2020","38.08","22.76","41.31","16.27","73.41%"
"01/01/2020","21.96","16.37","23.69","15.83","24.35%"
"12/01/2019","17.66","24.84","26.62","16.38","-30.61%"
"11/01/2019","25.45","24.43","27.90","23.39","0.12%"
"10/01/2019","25.42","34.59","37.86","23.94","-27.31%"
"09/01/2019","34.97","33.32","34.97","20.34","2.82%"
"08/01/2019","34.01","28.31","42.81","28.31","27.81%"
"07/01/2019","26.61","34.71","34.71","23.38","-23.16%"
"06/01/2019","34.63","51.80","51.80","29.42","-28.76%"
"05/01/2019","48.61","35.85","48.79","35.85","31.70%"
"04/01/2019","36.91","41.81","42.05","32.85","-15.75%"
"03/01/2019","43.81","40.29","47.78","37.31","0.74%"
"02/01/2019","43.49","46.34","51.30","42.29","-5.62%"
"01/01/2019","46.08","57.30","62.26","44.87","-19.54%"
"12/01/2018","57.27","62.28","75.12","56.30","-16.19%"
"11/01/2018","68.33","78.66","78.94","61.28","-10.88%"
"10/01/2018","76.67","53.82","80.14","53.82","28.79%"
"09/01/2018","59.53","59.22","72.25","56.31","3.66%"
"08/01/2018","57.43","42.35","59.48","41.85","19.45%"
"07/01/2018","48.08","60.27","60.27","35.40","-13.07%"
"06/01/2018","55.31","55.31","66.24","49.61","17.96%"
"05/01/2018","46.89","44.91","61.30","39.65","16.09%"
"04/01/2018","40.39","45.92","47.41","35.17","-0.64%"
"03/01/2018","40.65","31.40","47.91","30.68","34.83%"
"02/01/2018","30.15","30.49","41.30","28.89","-1.12%"
"01/01/2018","30.49","30.34","32.83","26.11","2.52%"
"12/01/2017","29.74","33.78","38.28","29.74","-13.29%"
"11/01/2017","34.30","35.79","47.24","33.78","-3.79%"
"10/01/2017","35.65","42.29","42.29","33.81","-12.47%"
"09/01/2017","40.73","31.30","42.30","27.30","17.01%"
"08/01/2017","34.81","37.31","42.83","30.82","-10.74%"
"07/01/2017","39.00","43.62","48.75","35.83","-10.59%"
"06/01/2017","43.62","43.79","45.81","35.81","-5.27%"
"05/01/2017","46.05","45.85","53.80","43.81","-1.77%"
"04/01/2017","46.88","46.90","60.80","44.85","-4.89%"
"03/01/2017","49.29","50.83","55.23","46.33","-6.31%"
"02/01/2017","52.61","62.30","63.14","46.37","-14.68%"
"01/01/2017","61.66","66.40","66.40","59.32","-7.14%"
"12/01/2016","66.40","78.19","80.17","65.89","-10.12%"
"11/01/2016","73.88","65.81","97.02","65.81","10.86%"
"10/01/2016","66.64","63.44","66.80","60.37","5.04%"
"09/01/2016","63.44","58.35","63.44","48.42","9.08%"
"08/01/2016","58.16","63.32","66.46","47.47","-12.21%"
"07/01/2016","66.25","79.71","79.71","53.17","-13.35%"
"06/01/2016","76.46","80.19","85.19","74.77","-5.23%"
"05/01/2016","80.68","80.15","82.25","75.26","0.66%"
"04/01/2016","80.15","88.50","93.77","78.97","-10.44%"
"03/01/2016","89.49","114.65","114.65","79.61","-23.60%"
"02/01/2016","117.13","117.37","145.67","117.13","1.08%"
"01/01/2016","115.88","121.11","147.92","115.88","-4.32%"
"12/01/2015","121.11","111.42","144.76","109.44","9.18%"
"11/01/2015","110.93","111.67","113.16","96.27","-1.97%"
"10/01/2015","113.16","146.88","152.33","101.49","-18.43%"
"09/01/2015","138.73","119.38","152.33","103.11","21.25%"
"08/01/2015","114.42","82.08","141.72","82.08","37.71%"
"07/01/2015","83.09","79.86","86.07","69.15","4.04%"
"06/01/2015","79.86","70.64","81.09","70.64","15.49%"
"05/01/2015","69.15","69.41","72.89","67.17","-0.37%"
"04/01/2015","69.41","64.19","69.41","58.21","12.48%"
"03/01/2015","61.71","46.24","72.14","45.74","30.63%"
"02/01/2015","47.24","60.69","63.68","47.24","-19.52%"
"01/01/2015","58.70","63.20","77.62","54.73","-7.12%"
"12/01/2014","63.20","48.73","82.09","45.23","32.38%"
"11/01/2014","47.74","57.69","60.18","47.24","-18.64%"
"10/01/2014","58.68","73.09","77.63","58.68","-17.56%"
"09/01/2014","71.18","47.78","73.09","41.36","48.98%"
"08/01/2014","47.78","61.72","76.09","46.79","-10.29%"
"07/01/2014","53.26","68.69","68.69","50.28","-22.46%"
"06/01/2014","68.69","50.19","69.19","48.19","36.86%"
"05/01/2014","50.19","72.15","72.15","50.19","-25.90%"
"04/01/2014","67.73","67.75","74.14","61.78","-1.47%"
"03/01/2014","68.74","77.67","89.06","62.34","-7.35%"
"02/01/2014","74.19","111.92","112.90","74.19","-31.27%"
"01/01/2014","107.94","107.92","126.26","99.00","0.03%"
"12/01/2013","107.91","114.39","119.84","95.53","-9.59%"
"11/01/2013","119.35","95.53","128.75","95.53","34.72%"
"10/01/2013","88.59","144.52","144.52","79.65","-38.70%"
"09/01/2013","144.52","158.89","172.78","92.57","-5.54%"
"08/01/2013","152.99","113.39","168.78","108.43","32.61%"
"07/01/2013","115.37","97.03","129.71","88.10","15.38%"
"06/01/2013","99.99","89.08","148.53","89.08","16.82%"
"05/01/2013","85.60","46.90","85.60","44.10","82.50%"
"04/01/2013","46.90","78.20","78.69","46.90","-40.02%"
"03/01/2013","78.20","52.25","78.20","50.77","40.93%"
"02/01/2013","55.49","55.49","55.49","55.49","-19.61%"
"01/01/2013","69.03","69.03","69.03","69.03","31.77%"
"12/01/2012","52.38","52.38","52.38","52.38","27.52%"
"11/01/2012","41.08","41.08","41.08","41.08","-13.79%"
"10/01/2012","47.65","47.65","47.65","47.65","-14.58%"
"09/01/2012","55.78","55.78","55.78","55.78","-21.79%"
"08/01/2012","71.33","71.33","71.33","71.33","18.47%"
"07/01/2012","60.21","60.21","60.21","60.21","-32.27%"
"06/01/2012","88.90","88.90","88.90","88.90","-36.39%"
"05/01/2012","139.75","139.75","139.75","139.75","67.11%"
"04/01/2012","83.63","83.63","83.63","83.63","9.36%"
"03/01/2012","76.47","76.47","76.47","76.47","4.32%"
"02/01/2012","73.30","73.30","73.30","73.30","-14.19%"
"01/01/2012","85.42","85.42","85.42","85.42","-25.51%"
"12/01/2011","114.68","114.68","114.68","114.68","-30.94%"
"11/01/2011","166.05","166.05","166.05","166.05","56.77%"
"10/01/2011","105.92","105.92","105.92","105.92","-50.91%"
"09/01/2011","215.77","215.77","215.77","215.77","120.18%"
"08/01/2011","98.00","98.00","98.00","98.00","68.80%"
"07/01/2011","58.06","58.06","58.06","58.06","-13.81%"
"06/01/2011","67.36","67.36","67.36","67.36","12.29%"
"05/01/2011","59.99","59.99","59.99","59.99","3.70%"
"04/01/2011","57.85","57.85","57.85","57.85","-14.48%"
"03/01/2011","67.64","67.64","67.64","67.64","-18.92%"
"02/01/2011","83.42","83.42","83.42","83.42","-14.88%"
"01/01/2011","98.00","98.00","98.00","98.00","44.12%"
"12/01/2010","68.00","68.00","68.00","68.00","-20.93%"
"11/01/2010","86.00","86.00","86.00","86.00","24.64%"
"10/01/2010","69.00","69.00","69.00","69.00","-14.81%"
"09/01/2010","81.00","81.00","81.00","81.00","-25.00%"
"08/01/2010","108.00","108.00","108.00","108.00","24.14%"
"07/01/2010","87.00","87.00","87.00","87.00","-30.40%"
"06/01/2010","125.00","125.00","125.00","125.00","5.04%"
"05/01/2010","119.00","119.00","119.00","119.00","11.21%"
"04/01/2010","107.00","107.00","107.00","107.00","1.90%"
"03/01/2010","105.00","105.00","105.00","105.00","-25.11%"
"02/01/2010","140.20","140.20","140.20","140.20","0.89%"
"01/01/2010","138.97","138.97","138.97","138.97","-3.51%"
