"Date","Price","Open","High","Low","Change %"
"05/01/2026","1.447","1.384","1.454","1.369","4.93%"
"04/01/2026","1.379","1.354","1.403","1.352","2.07%"
"03/01/2026","1.351","1.225","1.386","1.225","9.75%"
"02/01/2026","1.231","1.263","1.313","1.223","-0.16%"
"01/01/2026","1.233","1.197","1.281","1.128","5.03%"
"12/01/2025","1.174","1.023","1.173","1.011","20.66%"
"11/01/2025","0.973","0.939","0.974","0.927","6.11%"
"10/01/2025","0.917","0.955","0.955","0.894","-2.86%"
"09/01/2025","0.944","0.880","0.943","0.825","8.13%"
"08/01/2025","0.873","0.814","0.873","0.752","6.08%"
"07/01/2025","0.823","0.739","0.859","0.734","9.73%"
"06/01/2025","0.750","0.756","0.779","0.722","0.27%"
"05/01/2025","0.748","0.628","0.756","0.611","10.81%"
"04/01/2025","0.675","0.855","0.855","0.584","-19.16%"
"03/01/2025","0.835","0.829","0.884","0.810","3.34%"
"02/01/2025","0.808","0.725","0.824","0.725","11.76%"
"01/01/2025","0.723","0.650","0.723","0.644","19.50%"
"12/01/2024","0.605","0.625","0.630","0.550","2.72%"
"11/01/2024","0.589","0.448","0.596","0.443","35.40%"
"10/01/2024","0.435","0.403","0.462","0.360","12.11%"
"09/01/2024","0.388","0.367","0.400","0.311","7.48%"
"08/01/2024","0.361","0.447","0.470","0.245","-20.66%"
"07/01/2024","0.455","0.365","0.440","0.301","28.17%"
"06/01/2024","0.355","0.398","0.404","0.280","-12.35%"
"05/01/2024","0.405","0.281","0.411","0.273","46.74%"
"04/01/2024","0.276","0.195","0.318","0.188","52.49%"
"03/01/2024","0.181","0.194","0.213","0.171","0.56%"
"02/01/2024","0.180","0.092","0.191","0.077","97.80%"
"01/01/2024","0.091","0.061","0.100","0.000","85.71%"
"12/01/2023","0.049","0.068","0.114","0.027","68.97%"
"11/01/2023","0.029","0.154","0.166","0.027","-81.41%"
"10/01/2023","0.156","0.055","0.161","0.043","205.88%"
"09/01/2023","0.051","0.029","0.058","0.003","64.52%"
"08/01/2023","0.031","0.008","0.033","0.000","342.86%"
"07/01/2023","0.007","-0.067","0.010","-0.069","-110.61%"
"06/01/2023","-0.066","-0.054","-0.051","-0.080","26.92%"
"05/01/2023","-0.052","-0.041","-0.028","-0.066","44.44%"
"04/01/2023","-0.036","-0.047","-0.021","-0.060","-34.55%"
"03/01/2023","-0.055","-0.025","-0.012","-0.088","48.65%"
"02/01/2023","-0.037","-0.008","-0.003","-0.059","105.56%"
"01/01/2023","-0.018","0.041","0.063","-0.024","-156.25%"
"12/01/2022","0.032","-0.027","0.053","-0.030","-233.33%"
"11/01/2022","-0.024","-0.036","-0.005","-0.073","-38.46%"
"10/01/2022","-0.039","-0.046","0.001","-0.075","-18.75%"
"09/01/2022","-0.048","-0.077","-0.034","-0.083","-42.86%"
"08/01/2022","-0.084","-0.084","-0.073","-0.104","0.00%"
"07/01/2022","-0.084","-0.059","-0.056","-0.086","44.83%"
"06/01/2022","-0.058","-0.065","-0.019","-0.092","-20.55%"
"05/01/2022","-0.073","-0.054","-0.040","-0.076","35.19%"
"04/01/2022","-0.054","-0.034","-0.032","-0.087","35.00%"
"03/01/2022","-0.040","-0.042","-0.016","-0.054","33.33%"
"02/01/2022","-0.030","-0.049","-0.009","-0.053","-38.78%"
"01/01/2022","-0.049","-0.089","-0.045","-0.090","-44.94%"
"12/01/2021","-0.089","-0.112","-0.088","-0.119","-28.80%"
"11/01/2021","-0.125","-0.100","-0.095","-0.130","23.76%"
"10/01/2021","-0.101","-0.119","-0.098","-0.124","-18.55%"
"09/01/2021","-0.124","-0.124","-0.119","-0.130","-6.06%"
"08/01/2021","-0.132","-0.125","-0.120","-0.144","6.45%"
"07/01/2021","-0.124","-0.111","-0.109","-0.134","10.71%"
"06/01/2021","-0.112","-0.119","-0.109","-0.125","-12.50%"
"05/01/2021","-0.128","-0.126","-0.122","-0.133","3.23%"
"04/01/2021","-0.124","-0.111","-0.111","-0.133","0.81%"
"03/01/2021","-0.123","-0.119","-0.106","-0.146","9.82%"
"02/01/2021","-0.112","-0.120","-0.085","-0.130","-10.40%"
"01/01/2021","-0.125","-0.120","-0.116","-0.138","2.46%"
"12/01/2020","-0.122","-0.121","-0.118","-0.139","-0.81%"
"11/01/2020","-0.123","-0.123","-0.113","-0.156","0.82%"
"10/01/2020","-0.122","-0.131","-0.118","-0.144","-10.29%"
"09/01/2020","-0.136","-0.111","-0.109","-0.155","20.35%"
"08/01/2020","-0.113","-0.135","-0.102","-0.136","-18.12%"
"07/01/2020","-0.138","-0.138","-0.125","-0.148","-3.50%"
"06/01/2020","-0.143","-0.158","-0.131","-0.168","-12.27%"
"05/01/2020","-0.163","-0.170","-0.146","-0.179","-8.43%"
"04/01/2020","-0.178","-0.147","-0.115","-0.187","26.24%"
"03/01/2020","-0.141","-0.256","-0.121","-0.337","-44.27%"
"02/01/2020","-0.253","-0.170","-0.123","-0.254","66.45%"
"01/01/2020","-0.152","-0.142","-0.112","-0.158","19.69%"
"12/01/2019","-0.127","-0.170","-0.088","-0.171","-26.59%"
"11/01/2019","-0.173","-0.248","-0.152","-0.273","-25.11%"
"10/01/2019","-0.231","-0.318","-0.191","-0.337","-28.26%"
"09/01/2019","-0.322","-0.306","-0.235","-0.347","5.57%"
"08/01/2019","-0.305","-0.203","-0.185","-0.321","48.78%"
"07/01/2019","-0.205","-0.224","-0.179","-0.228","-5.96%"
"06/01/2019","-0.218","-0.175","-0.174","-0.248","26.01%"
"05/01/2019","-0.173","-0.157","-0.149","-0.174","16.11%"
"04/01/2019","-0.149","-0.177","-0.144","-0.177","-16.29%"
"03/01/2019","-0.178","-0.143","-0.136","-0.183","17.11%"
"02/01/2019","-0.152","-0.170","-0.148","-0.184","-8.98%"
"01/01/2019","-0.167","-0.148","-0.132","-0.179","21.01%"
"12/01/2018","-0.138","-0.129","-0.111","-0.159","6.98%"
"11/01/2018","-0.129","-0.113","-0.112","-0.147","4.88%"
"10/01/2018","-0.123","-0.107","-0.104","-0.123","9.82%"
"09/01/2018","-0.112","-0.113","-0.101","-0.115","-0.88%"
"08/01/2018","-0.113","-0.101","-0.082","-0.131","1.80%"
"07/01/2018","-0.111","-0.122","-0.102","-0.131","-9.02%"
"06/01/2018","-0.122","-0.144","-0.120","-0.144","-14.08%"
"05/01/2018","-0.142","-0.135","-0.123","-0.148","7.58%"
