"Date","Price","Open","High","Low","Change %"
"05/01/2026","3.597","3.521","3.604","3.454","3.48%"
"04/01/2026","3.476","3.324","3.502","3.192","-0.14%"
"03/01/2026","3.481","2.974","3.517","2.968","23.35%"
"02/01/2026","2.822","2.953","3.014","2.822","-3.95%"
"01/01/2026","2.938","2.792","2.943","2.792","5.15%"
"12/01/2025","2.794","2.842","2.912","2.776","-1.83%"
"11/01/2025","2.846","2.678","2.864","2.670","8.01%"
"10/01/2025","2.635","2.529","2.659","2.472","4.36%"
"09/01/2025","2.525","2.372","2.525","2.370","7.26%"
"08/01/2025","2.354","2.423","2.423","2.337","-1.96%"
"07/01/2025","2.401","2.442","2.461","2.386","-0.29%"
"06/01/2025","2.408","2.331","2.503","2.331","2.38%"
"05/01/2025","2.352","2.327","2.393","2.299","1.25%"
"04/01/2025","2.323","2.652","2.653","2.323","-12.47%"
"03/01/2025","2.654","2.654","2.700","2.633","-0.11%"
"02/01/2025","2.657","2.665","2.718","2.656","0.49%"
"01/01/2025","2.644","2.681","2.726","2.606","-4.38%"
"12/01/2024","2.765","2.655","2.830","2.609","3.64%"
"11/01/2024","2.668","2.985","2.996","2.668","-10.14%"
"10/01/2024","2.969","2.801","2.999","2.793","5.47%"
"09/01/2024","2.815","3.085","3.222","2.804","-8.07%"
"08/01/2024","3.062","3.051","3.073","2.415","-0.81%"
"07/01/2024","3.087","3.274","3.280","3.047","-4.84%"
"06/01/2024","3.244","3.451","3.457","3.233","-6.16%"
"05/01/2024","3.457","3.497","3.511","3.409","-1.71%"
"04/01/2024","3.517","3.368","3.557","3.333","4.42%"
"03/01/2024","3.368","3.414","3.451","3.313","-2.91%"
"02/01/2024","3.469","3.275","3.532","3.275","4.36%"
"01/01/2024","3.324","3.307","3.418","3.260","2.56%"
"12/01/2023","3.241","3.603","3.621","3.240","-10.42%"
"11/01/2023","3.618","3.992","4.009","3.577","-9.62%"
"10/01/2023","4.003","4.005","4.062","3.880","2.98%"
"09/01/2023","3.887","3.711","3.964","3.697","4.46%"
"08/01/2023","3.721","3.681","3.805","3.672","0.19%"
"07/01/2023","3.714","3.718","3.850","3.599","-0.70%"
"06/01/2023","3.740","3.562","3.755","3.535","4.59%"
"05/01/2023","3.576","3.397","3.663","3.301","6.33%"
"04/01/2023","3.363","3.351","3.435","3.243","0.69%"
"03/01/2023","3.340","3.919","3.999","3.227","-14.32%"
"02/01/2023","3.898","3.421","3.899","3.235","12.89%"
"01/01/2023","3.453","3.854","3.857","3.315","-8.92%"
"12/01/2022","3.791","3.778","3.818","3.658","-0.66%"
"11/01/2022","3.816","4.195","4.339","3.750","-9.74%"
"10/01/2022","4.228","4.145","4.695","4.047","0.43%"
"09/01/2022","4.210","3.786","4.530","3.520","13.91%"
"08/01/2022","3.696","3.088","3.754","3.000","22.14%"
"07/01/2022","3.026","3.502","3.503","2.995","-14.54%"
"06/01/2022","3.541","2.784","3.708","2.784","27.47%"
"05/01/2022","2.778","2.830","3.000","2.658","-0.07%"
"04/01/2022","2.780","2.366","3.074","2.366","17.25%"
"03/01/2022","2.371","1.952","2.466","1.927","19.09%"
"02/01/2022","1.991","1.941","2.185","1.941","-0.75%"
"01/01/2022","2.006","1.659","2.035","1.659","19.98%"
"12/01/2021","1.672","1.699","1.773","1.636","1.09%"
"11/01/2021","1.654","1.843","1.872","1.652","-9.86%"
"10/01/2021","1.835","1.442","1.857","1.436","27.08%"
"09/01/2021","1.444","1.251","1.487","1.247","15.61%"
"08/01/2021","1.249","1.261","1.315","1.203","-0.56%"
"07/01/2021","1.256","1.295","1.345","1.181","-3.38%"
"06/01/2021","1.300","0.982","1.337","0.974","30.65%"
"05/01/2021","0.995","0.960","1.017","0.896","5.07%"
"04/01/2021","0.947","0.915","0.962","0.884","3.95%"
"03/01/2021","0.911","0.847","1.035","0.843","5.44%"
"02/01/2021","0.864","0.862","0.866","0.826","-0.58%"
"01/01/2021","0.869","0.865","0.902","0.847","-1.81%"
"12/01/2020","0.885","0.877","0.906","0.862","0.57%"
"11/01/2020","0.880","0.892","0.900","0.862","2.09%"
"10/01/2020","0.862","0.825","0.890","0.802","8.84%"
"09/01/2020","0.792","0.860","0.897","0.792","-5.94%"
"08/01/2020","0.842","0.710","0.842","0.702","18.26%"
"07/01/2020","0.712","0.785","0.788","0.712","-9.87%"
"06/01/2020","0.790","0.775","0.841","0.772","3.95%"
"05/01/2020","0.760","0.912","0.912","0.760","-20.17%"
"04/01/2020","0.952","1.085","1.085","0.952","-10.36%"
"03/01/2020","1.062","1.120","1.190","1.020","-4.07%"
"02/01/2020","1.107","1.275","1.315","1.107","-15.30%"
"01/01/2020","1.307","1.335","1.440","1.288","-4.25%"
"12/01/2019","1.365","1.420","1.441","1.365","-1.16%"
"11/01/2019","1.381","1.466","1.553","1.381","-5.54%"
"10/01/2019","1.462","1.342","1.527","1.242","11.35%"
"09/01/2019","1.313","1.255","1.376","1.242","7.71%"
"08/01/2019","1.219","1.320","1.320","1.112","-6.37%"
"07/01/2019","1.302","1.502","1.502","1.302","-12.32%"
"06/01/2019","1.485","1.575","1.575","1.442","-7.25%"
"05/01/2019","1.601","1.743","1.748","1.601","-6.48%"
"04/01/2019","1.712","1.724","1.789","1.712","0.88%"
"03/01/2019","1.697","1.845","1.850","1.695","-7.12%"
"02/01/2019","1.827","1.812","1.832","1.785","1.11%"
"01/01/2019","1.807","1.805","1.820","1.765","-1.53%"
"12/01/2018","1.835","1.910","1.920","1.800","-2.50%"
"11/01/2018","1.882","1.953","1.971","1.882","-2.13%"
"10/01/2018","1.923","1.995","2.063","1.899","-2.73%"
"09/01/2018","1.977","1.815","1.999","1.810","9.89%"
"08/01/2018","1.799","2.024","2.024","1.799","-11.34%"
"07/01/2018","2.029","2.030","2.041","1.947","0.00%"
"06/01/2018","2.029","2.092","2.133","2.027","-3.84%"
"05/01/2018","2.110","2.160","2.243","2.100","-1.49%"
"04/01/2018","2.142","2.162","2.174","2.086","-0.19%"
"03/01/2018","2.146","2.162","2.255","2.145","0.89%"
"02/01/2018","2.127","2.179","2.190","2.117","-3.14%"
"01/01/2018","2.196","2.072","2.225","2.059","5.48%"
"12/01/2017","2.082","2.020","2.129","2.017","2.36%"
"11/01/2017","2.034","2.146","2.153","2.034","-4.51%"
"10/01/2017","2.130","1.895","2.206","1.847","14.70%"
"09/01/2017","1.857","1.721","1.886","1.707","12.27%"
"08/01/2017","1.654","1.624","1.731","1.615","2.41%"
"07/01/2017","1.615","1.646","1.695","1.615","-1.10%"
"06/01/2017","1.633","1.604","1.659","1.575","1.62%"
"05/01/2017","1.607","1.641","1.670","1.607","-1.05%"
"04/01/2017","1.624","1.632","1.670","1.608","-0.67%"
"03/01/2017","1.635","1.639","1.742","1.621","2.19%"
"02/01/2017","1.600","1.649","1.649","1.575","-1.96%"
"01/01/2017","1.632","1.636","1.661","1.560","-0.18%"
"12/01/2016","1.635","1.710","1.732","1.621","-5.33%"
"11/01/2016","1.727","1.482","1.820","1.419","17.48%"
"10/01/2016","1.470","1.320","1.487","1.318","13.60%"
"09/01/2016","1.294","1.325","1.365","1.293","-2.19%"
"08/01/2016","1.323","1.232","1.323","1.230","6.61%"
"07/01/2016","1.241","1.263","1.263","1.225","-3.20%"
"06/01/2016","1.282","1.450","1.452","1.270","-14.82%"
"05/01/2016","1.505","1.471","1.513","1.417","2.66%"
"04/01/2016","1.466","1.470","1.521","1.458","-0.54%"
"03/01/2016","1.474","1.465","1.550","1.465","0.96%"
"02/01/2016","1.460","1.522","1.522","1.429","-6.53%"
"01/01/2016","1.562","1.625","1.655","1.560","-5.51%"
"12/01/2015","1.653","1.752","1.752","1.650","-6.61%"
"11/01/2015","1.770","1.637","1.775","1.637","8.39%"
"10/01/2015","1.633","1.570","1.635","1.545","5.70%"
"09/01/2015","1.545","1.680","1.680","1.545","-7.93%"
"08/01/2015","1.678","1.695","1.731","1.660","-1.58%"
"07/01/2015","1.705","1.756","1.772","1.657","-2.57%"
"06/01/2015","1.750","1.747","1.781","1.715","0.00%"
"05/01/2015","1.750","1.840","1.878","1.750","-2.72%"
