"Date","Price","Open","High","Low","Change %"
"06/01/2026","4.505","4.457","4.503","4.426","2.74%"
"05/01/2026","4.385","4.606","4.741","4.382","-4.03%"
"04/01/2026","4.569","4.313","4.566","4.134","1.17%"
"03/01/2026","4.516","3.599","4.707","3.599","25.55%"
"02/01/2026","3.597","3.499","3.583","3.366","1.32%"
"01/01/2026","3.550","3.724","3.724","3.500","-5.81%"
"12/01/2025","3.769","3.960","4.010","3.717","-5.89%"
"11/01/2025","4.005","4.114","4.273","4.000","-4.80%"
"10/01/2025","4.207","4.242","4.371","4.038","-0.61%"
"09/01/2025","4.233","4.347","4.396","4.233","-2.69%"
"08/01/2025","4.350","4.298","4.353","4.217","0.09%"
"07/01/2025","4.346","4.482","4.482","4.251","-3.76%"
"06/01/2025","4.516","4.478","4.660","4.478","0.49%"
"05/01/2025","4.494","4.383","4.701","4.383","3.24%"
"04/01/2025","4.353","4.988","5.000","4.283","-14.65%"
"03/01/2025","5.100","5.303","5.374","5.092","-3.13%"
"02/01/2025","5.265","5.310","5.319","5.220","-0.27%"
"01/01/2025","5.279","5.128","5.376","5.128","3.45%"
"12/01/2024","5.103","4.848","5.318","4.781","5.81%"
"11/01/2024","4.823","5.156","5.309","4.810","-4.57%"
"10/01/2024","5.054","4.756","5.227","4.695","7.53%"
"09/01/2024","4.700","4.820","5.035","4.596","-2.08%"
"08/01/2024","4.800","4.930","5.189","4.632","-2.87%"
"07/01/2024","4.942","5.162","5.457","4.926","-4.35%"
"06/01/2024","5.167","5.270","5.376","5.086","-1.58%"
"05/01/2024","5.250","5.353","5.594","5.243","-3.06%"
"04/01/2024","5.416","5.180","5.566","5.140","4.96%"
"03/01/2024","5.160","5.102","5.333","4.995","2.24%"
"02/01/2024","5.047","4.901","5.210","4.850","3.44%"
"01/01/2024","4.879","5.058","5.304","4.740","-3.58%"
"12/01/2023","5.060","5.484","5.534","4.924","-6.12%"
"11/01/2023","5.390","5.217","5.624","5.096","3.75%"
"10/01/2023","5.195","5.163","5.567","4.971","3.36%"
"09/01/2023","5.026","5.366","5.490","4.669","-6.46%"
"08/01/2023","5.373","5.410","5.667","5.258","0.00%"
"07/01/2023","5.373","5.813","6.041","5.085","-8.14%"
"06/01/2023","5.849","6.064","6.155","5.757","-1.71%"
"05/01/2023","5.951","6.122","6.263","5.689","1.57%"
"04/01/2023","5.859","6.174","6.361","5.817","-3.17%"
"03/01/2023","6.051","6.391","6.538","5.755","-4.23%"
"02/01/2023","6.318","6.159","6.751","5.763","4.19%"
"01/01/2023","6.064","6.801","6.828","5.779","-9.87%"
"12/01/2022","6.728","6.998","7.137","6.613","-3.47%"
"11/01/2022","6.970","8.597","9.010","6.896","-20.19%"
"10/01/2022","8.733","7.508","9.484","7.225","16.60%"
"09/01/2022","7.490","7.295","7.591","6.206","4.77%"
"08/01/2022","7.149","6.834","7.532","6.441","4.38%"
"07/01/2022","6.849","7.674","8.193","6.731","-9.19%"
"06/01/2022","7.542","6.722","8.574","6.522","14.03%"
"05/01/2022","6.614","6.678","6.983","6.125","0.58%"
"04/01/2022","6.576","5.596","6.934","5.589","17.60%"
"03/01/2022","5.592","4.085","5.889","3.948","37.03%"
"02/01/2022","4.081","3.698","4.114","3.495","10.24%"
"01/01/2022","3.702","3.356","3.712","2.903","10.64%"
"12/01/2021","3.346","2.909","3.425","2.715","17.90%"
"11/01/2021","2.838","1.974","3.172","1.974","36.84%"
"10/01/2021","2.074","0.821","2.075","0.737","151.70%"
"09/01/2021","0.824","0.485","0.825","0.401","69.55%"
"08/01/2021","0.486","0.441","0.531","0.336","9.21%"
"07/01/2021","0.445","0.389","0.573","0.291","13.23%"
"06/01/2021","0.393","0.329","0.569","0.286","25.96%"
"05/01/2021","0.312","0.154","0.375","0.102","176.11%"
"04/01/2021","0.113","0.071","0.182","0.050","32.94%"
"03/01/2021","0.085","0.084","0.399","-0.016","-46.54%"
"02/01/2021","0.159","0.018","0.361","0.001","160.66%"
"01/01/2021","0.061","0.080","0.287","0.005","-40.20%"
"12/01/2020","0.102","0.071","0.358","0.004","96.15%"
"11/01/2020","0.052","0.008","0.154","-0.057","372.73%"
"10/01/2020","0.011","0.065","0.123","-0.046","-87.64%"
"09/01/2020","0.089","0.121","0.171","0.001","-39.86%"
"08/01/2020","0.148","0.117","0.196","0.106","20.33%"
"07/01/2020","0.123","0.146","0.225","0.111","-27.65%"
"06/01/2020","0.170","0.235","0.397","0.150","-6.59%"
"05/01/2020","0.182","0.610","0.803","0.171","-68.99%"
"04/01/2020","0.587","0.920","1.439","0.559","-36.33%"
"03/01/2020","0.922","1.437","1.525","0.860","-35.88%"
"02/01/2020","1.438","1.474","1.693","1.405","-3.23%"
"01/01/2020","1.486","1.492","1.745","1.359","0.07%"
"12/01/2019","1.485","1.383","1.576","1.296","6.15%"
"11/01/2019","1.399","1.424","1.573","1.243","-2.58%"
"10/01/2019","1.436","1.513","1.670","1.346","-5.40%"
"09/01/2019","1.518","1.570","1.721","1.440","-3.00%"
"08/01/2019","1.565","1.614","1.727","1.326","0.45%"
"07/01/2019","1.558","1.664","1.724","1.514","-4.00%"
"06/01/2019","1.623","1.665","1.774","1.448","-2.58%"
"05/01/2019","1.666","1.743","1.879","1.636","-1.54%"
"04/01/2019","1.692","1.725","1.810","1.525","0.06%"
"03/01/2019","1.691","1.691","1.817","1.432","-3.26%"
"02/01/2019","1.748","1.518","1.876","1.459","17.00%"
"01/01/2019","1.494","1.363","1.605","1.272","11.00%"
"12/01/2018","1.346","1.558","1.751","1.313","-12.77%"
"11/01/2018","1.543","1.566","1.784","1.449","-0.84%"
"10/01/2018","1.556","1.589","1.773","1.431","-1.21%"
"09/01/2018","1.575","1.574","1.753","1.407","0.25%"
"08/01/2018","1.571","1.627","1.699","1.571","-4.21%"
"07/01/2018","1.640","1.636","1.689","1.601","0.55%"
"06/01/2018","1.631","1.574","1.671","1.537","3.36%"
"05/01/2018","1.578","1.525","1.654","1.489","4.50%"
"04/01/2018","1.510","1.497","1.587","1.449","0.53%"
"03/01/2018","1.502","1.657","1.682","1.489","-9.08%"
"02/01/2018","1.652","1.749","1.782","1.642","0.49%"
"01/01/2018","1.644","1.690","1.816","1.521","-3.97%"
"12/01/2017","1.712","1.627","1.887","1.541","6.34%"
"11/01/2017","1.610","1.620","1.759","1.511","-1.17%"
"10/01/2017","1.629","1.766","1.868","1.606","-7.60%"
"09/01/2017","1.763","1.736","1.890","1.651","2.38%"
"08/01/2017","1.722","1.835","1.876","1.678","-6.31%"
"07/01/2017","1.838","1.901","1.906","1.796","-3.92%"
"06/01/2017","1.913","1.927","1.998","1.862","-0.57%"
"05/01/2017","1.924","2.010","2.050","1.905","-3.07%"
"04/01/2017","1.985","2.022","2.080","1.971","-0.90%"
"03/01/2017","2.003","2.229","2.312","2.003","-9.61%"
"02/01/2017","2.216","2.214","2.311","2.174","1.33%"
"01/01/2017","2.187","2.074","2.269","1.962","7.42%"
"12/01/2016","2.036","1.966","2.051","1.945","3.98%"
"11/01/2016","1.958","1.811","1.969","1.811","8.24%"
"10/01/2016","1.809","1.754","1.860","1.746","2.09%"
"09/01/2016","1.772","1.617","1.843","1.617","7.79%"
"08/01/2016","1.644","1.669","1.746","1.543","0.24%"
"07/01/2016","1.640","1.637","1.917","1.622","-1.15%"
"06/01/2016","1.659","1.610","1.932","1.597","3.30%"
"05/01/2016","1.606","1.516","1.647","1.478","5.80%"
"04/01/2016","1.518","1.462","1.556","1.444","4.83%"
"03/01/2016","1.448","1.449","1.498","1.416","-0.62%"
"02/01/2016","1.457","1.535","1.549","1.430","-5.57%"
"01/01/2016","1.543","1.614","1.711","1.291","-2.22%"
"12/01/2015","1.578","1.631","2.008","1.544","-2.17%"
"11/01/2015","1.613","1.585","1.741","1.492","-2.36%"
"10/01/2015","1.652","1.798","1.808","1.482","-7.92%"
"09/01/2015","1.794","1.840","1.952","1.675","-4.12%"
"08/01/2015","1.871","1.824","1.894","1.718","3.31%"
"07/01/2015","1.811","1.980","1.980","1.770","-8.67%"
"06/01/2015","1.983","1.753","2.120","1.745","11.09%"
"05/01/2015","1.785","1.681","1.930","1.583","5.31%"
"04/01/2015","1.695","1.653","1.743","1.562","5.94%"
"03/01/2015","1.600","1.626","1.807","1.536","-0.74%"
"02/01/2015","1.612","1.524","1.778","1.479","3.13%"
"01/01/2015","1.563","1.802","1.862","1.483","-13.50%"
"12/01/2014","1.807","1.767","2.008","1.741","4.75%"
"11/01/2014","1.725","1.706","1.996","1.666","-1.26%"
"10/01/2014","1.747","2.049","2.064","1.663","-13.47%"
"09/01/2014","2.019","2.233","2.248","1.877","-8.31%"
"08/01/2014","2.202","2.067","2.655","2.067","-10.27%"
"07/01/2014","2.454","2.515","3.016","2.373","-1.88%"
"06/01/2014","2.501","2.719","3.020","2.454","-8.49%"
"05/01/2014","2.733","2.952","2.978","2.699","-5.73%"
"04/01/2014","2.899","3.061","3.189","2.810","-3.66%"
"03/01/2014","3.009","3.148","3.226","2.813","-1.21%"
"02/01/2014","3.046","3.246","3.246","2.955","-6.25%"
"01/01/2014","3.249","3.006","3.623","2.898","7.30%"
"12/01/2013","3.028","2.852","3.058","2.719","6.58%"
"11/01/2013","2.841","3.024","3.024","2.762","-2.61%"
"10/01/2013","2.917","3.063","3.100","2.786","-4.89%"
"09/01/2013","3.067","3.149","3.284","2.857","-2.54%"
"08/01/2013","3.147","2.808","3.152","2.764","11.67%"
"07/01/2013","2.818","3.054","3.079","2.763","-8.54%"
"06/01/2013","3.081","2.707","3.173","2.658","12.90%"
"05/01/2013","2.729","2.594","2.729","2.474","3.96%"
