"Date","Price","Open","High","Low","Change %"
"05/01/2026","2.341","2.402","2.420","2.194","-2.78%"
"04/01/2026","2.408","2.381","2.461","2.159","0.00%"
"03/01/2026","2.408","1.924","2.510","1.924","29.05%"
"02/01/2026","1.866","2.002","2.016","1.859","-6.65%"
"01/01/2026","1.999","2.109","2.132","1.988","-4.95%"
"12/01/2025","2.103","2.098","2.211","2.085","2.24%"
"11/01/2025","2.057","1.933","2.045","1.933","6.14%"
"10/01/2025","1.938","1.888","1.933","1.788","1.47%"
"09/01/2025","1.910","1.846","1.934","1.781","2.58%"
"08/01/2025","1.862","1.871","1.871","1.796","-4.46%"
"07/01/2025","1.949","1.658","1.936","1.658","14.65%"
"06/01/2025","1.700","1.833","1.861","1.685","-9.09%"
"05/01/2025","1.870","1.883","1.970","1.842","1.30%"
"04/01/2025","1.846","2.185","2.191","1.763","-15.55%"
"03/01/2025","2.186","1.985","2.272","1.952","11.39%"
"02/01/2025","1.962","1.788","2.010","1.788","5.77%"
"01/01/2025","1.855","1.964","2.052","1.855","-10.01%"
"12/01/2024","2.062","1.654","2.096","1.627","23.73%"
"11/01/2024","1.666","1.829","1.946","1.645","-9.38%"
"10/01/2024","1.839","1.677","1.961","1.630","10.02%"
"09/01/2024","1.671","1.898","1.930","1.646","-10.21%"
"08/01/2024","1.862","2.133","2.133","1.849","-12.13%"
"07/01/2024","2.118","2.468","2.550","2.104","-12.55%"
"06/01/2024","2.422","2.805","2.805","2.411","-12.12%"
"05/01/2024","2.757","2.883","2.901","2.637","-3.53%"
"04/01/2024","2.858","2.696","2.916","2.690","6.98%"
"03/01/2024","2.671","2.816","2.832","2.526","-4.13%"
"02/01/2024","2.786","2.402","2.878","2.359","16.94%"
"01/01/2024","2.382","2.320","2.537","2.242","5.19%"
"12/01/2023","2.265","3.289","3.293","2.225","-31.11%"
"11/01/2023","3.288","3.490","3.546","3.230","-4.67%"
"10/01/2023","3.449","3.517","3.610","3.391","-1.41%"
"09/01/2023","3.499","3.449","3.633","3.398","1.85%"
"08/01/2023","3.435","3.324","3.600","3.310","2.94%"
"07/01/2023","3.337","3.462","3.589","3.281","-3.81%"
"06/01/2023","3.469","3.002","3.503","2.965","16.70%"
"05/01/2023","2.973","2.959","3.109","2.814","2.91%"
"04/01/2023","2.888","2.889","3.146","2.748","1.40%"
"03/01/2023","2.849","3.267","3.348","2.560","-11.54%"
"02/01/2023","3.220","2.496","3.292","2.303","29.14%"
"01/01/2023","2.493","2.820","2.827","2.381","-10.95%"
"12/01/2022","2.800","2.390","2.869","2.273","14.75%"
"11/01/2022","2.440","2.415","2.527","2.295","1.10%"
"10/01/2022","2.414","2.217","2.579","2.039","8.11%"
"09/01/2022","2.233","2.201","2.525","2.095","2.93%"
"08/01/2022","2.169","1.704","2.302","1.608","27.18%"
"07/01/2022","1.706","1.619","1.999","1.369","5.80%"
"06/01/2022","1.612","1.174","1.940","1.164","39.51%"
"05/01/2022","1.156","1.166","1.411","1.148","0.22%"
"04/01/2022","1.153","0.701","1.167","0.636","69.43%"
"03/01/2022","0.680","-0.082","0.778","-0.206","-1,019.59%"
"02/01/2022","-0.074","-0.066","0.117","-0.077","-6.92%"
"01/01/2022","-0.079","-0.189","-0.063","-0.197","-60.45%"
"12/01/2021","-0.201","-0.275","-0.183","-0.297","-34.10%"
"11/01/2021","-0.305","-0.082","-0.076","-0.305","222.75%"
"10/01/2021","-0.094","-0.294","-0.070","-0.317","-68.18%"
"09/01/2021","-0.297","-0.293","-0.250","-0.312","-2.30%"
"08/01/2021","-0.304","-0.325","-0.288","-0.345","-9.12%"
"07/01/2021","-0.335","-0.240","-0.240","-0.342","31.18%"
"06/01/2021","-0.255","-0.272","-0.233","-0.321","-8.60%"
"05/01/2021","-0.279","-0.284","-0.254","-0.303","-3.12%"
"04/01/2021","-0.288","-0.273","-0.273","-0.312","0.35%"
"03/01/2021","-0.287","-0.257","-0.214","-0.302","9.96%"
"02/01/2021","-0.261","-0.361","-0.236","-0.370","-30.12%"
"01/01/2021","-0.373","-0.385","-0.318","-0.397","-5.20%"
"12/01/2020","-0.394","-0.384","-0.352","-0.440","1.03%"
"11/01/2020","-0.390","-0.409","-0.378","-0.434","-5.11%"
"10/01/2020","-0.411","-0.354","-0.332","-0.428","14.17%"
"09/01/2020","-0.360","-0.349","-0.333","-0.387","1.69%"
"08/01/2020","-0.354","-0.316","-0.297","-0.376","18.00%"
"07/01/2020","-0.300","-0.344","-0.283","-0.382","-15.25%"
"06/01/2020","-0.354","-0.286","-0.227","-0.367","19.19%"
"05/01/2020","-0.297","-0.356","-0.274","-0.389","-18.63%"
"04/01/2020","-0.365","-0.441","-0.313","-0.466","-15.51%"
"03/01/2020","-0.432","-0.501","-0.341","-0.707","-15.13%"
"02/01/2020","-0.509","-0.345","-0.283","-0.525","45.01%"
"01/01/2020","-0.351","-0.318","-0.264","-0.349","9.69%"
"12/01/2019","-0.320","-0.304","-0.283","-0.371","1.59%"
"11/01/2019","-0.315","-0.419","-0.310","-0.434","-25.71%"
"10/01/2019","-0.424","-0.630","-0.381","-0.751","-33.44%"
"09/01/2019","-0.637","-0.648","-0.552","-0.699","-4.14%"
"08/01/2019","-0.664","-0.617","-0.601","-0.660","3.18%"
"07/01/2019","-0.644","-0.609","-0.529","-0.629","2.79%"
"06/01/2019","-0.627","-0.564","-0.559","-0.649","7.92%"
"05/01/2019","-0.581","-0.565","-0.537","-0.626","2.11%"
"04/01/2019","-0.568","-0.498","-0.453","-0.578","10.71%"
"03/01/2019","-0.513","-0.376","-0.357","-0.515","34.25%"
"02/01/2019","-0.382","-0.422","-0.366","-0.462","-11.15%"
"01/01/2019","-0.431","-0.395","-0.361","-0.431","10.24%"
"12/01/2018","-0.391","-0.447","-0.363","-0.472","-15.57%"
"11/01/2018","-0.463","-0.426","-0.389","-0.471","5.96%"
"10/01/2018","-0.437","-0.450","-0.388","-0.475","-4.59%"
"09/01/2018","-0.458","-0.521","-0.420","-0.534","-14.08%"
"08/01/2018","-0.533","-0.483","-0.469","-0.568","7.47%"
"07/01/2018","-0.495","-0.556","-0.476","-0.587","-11.44%"
"06/01/2018","-0.559","-0.535","-0.519","-0.624","-3.28%"
"05/01/2018","-0.578","-0.545","-0.467","-0.659","5.28%"
"04/01/2018","-0.549","-0.469","-0.457","-0.551","16.05%"
"03/01/2018","-0.474","-0.452","-0.412","-0.483","3.50%"
"02/01/2018","-0.458","-0.294","-0.294","-0.460","45.47%"
"01/01/2018","-0.315","-0.773","-0.291","-0.798","-59.94%"
"12/01/2017","-0.785","-0.848","-0.765","-0.875","-8.56%"
"11/01/2017","-0.859","-0.777","-0.765","-0.902","9.36%"
"10/01/2017","-0.785","-0.683","-0.638","-0.783","15.44%"
"09/01/2017","-0.680","-0.686","-0.641","-0.725","-2.02%"
"08/01/2017","-0.694","-0.676","-0.613","-0.720","0.87%"
"07/01/2017","-0.688","-0.630","-0.627","-0.739","9.90%"
"06/01/2017","-0.626","-0.710","-0.621","-0.754","-12.87%"
"05/01/2017","-0.719","-0.650","-0.591","-0.745","6.13%"
"04/01/2017","-0.677","-0.596","-0.590","-0.690","10.08%"
"03/01/2017","-0.615","-0.658","-0.520","-0.671","-8.89%"
"02/01/2017","-0.675","-0.530","-0.509","-0.688","23.40%"
"01/01/2017","-0.547","-0.635","-0.523","-0.675","-13.72%"
"12/01/2016","-0.634","-0.709","-0.599","-0.737","-12.13%"
"11/01/2016","-0.721","-0.723","-0.641","-0.759","-3.02%"
"10/01/2016","-0.744","-0.684","-0.628","-0.762","9.57%"
"09/01/2016","-0.679","-0.634","-0.573","-0.702","5.60%"
"08/01/2016","-0.643","-0.664","-0.614","-0.678","-4.10%"
"07/01/2016","-0.670","-0.622","-0.615","-0.679","5.34%"
"06/01/2016","-0.637","-0.431","-0.428","-0.687","47.17%"
"05/01/2016","-0.433","-0.400","-0.395","-0.450","8.12%"
"04/01/2016","-0.400","-0.454","-0.373","-0.471","-12.47%"
"03/01/2016","-0.457","-0.598","-0.356","-0.658","-24.53%"
"02/01/2016","-0.605","-0.556","-0.541","-0.638","8.12%"
"01/01/2016","-0.560","-0.451","-0.450","-0.558","22.67%"
"12/01/2015","-0.456","-0.460","-0.390","-0.519","-4.50%"
"11/01/2015","-0.478","-0.451","-0.397","-0.502","3.69%"
"10/01/2015","-0.461","-0.487","-0.421","-0.505","-7.06%"
"09/01/2015","-0.496","-0.515","-0.418","-0.516","-6.33%"
"08/01/2015","-0.530","-0.388","-0.385","-0.557","31.72%"
"07/01/2015","-0.402","-0.270","-0.265","-0.468","46.72%"
"06/01/2015","-0.274","-0.258","-0.127","-0.290","-1.08%"
"05/01/2015","-0.277","-0.246","-0.164","-0.343","0.00%"
"04/01/2015","-0.277","-0.303","-0.256","-0.346","-13.57%"
"03/01/2015","-0.320","-0.144","-0.084","-0.333","100.31%"
"02/01/2015","-0.160","-0.128","-0.128","-0.375","26.98%"
"01/01/2015","-0.126","0.005","0.007","-0.115","833.33%"
"12/01/2014","-0.014","-0.012","0.038","-0.014","-52.63%"
"11/01/2014","-0.029","-0.017","0.025","-0.038","-8.06%"
"10/01/2014","-0.031","0.157","0.162","-0.054","-121.02%"
"09/01/2014","0.147","0.173","0.212","0.138","-15.23%"
"08/01/2014","0.174","0.287","0.297","0.165","-37.86%"
"07/01/2014","0.280","0.451","0.474","0.272","-36.29%"
"06/01/2014","0.440","0.529","0.558","0.428","-16.84%"
"05/01/2014","0.529","0.638","0.670","0.533","-16.97%"
"04/01/2014","0.637","0.795","0.812","0.629","-17.66%"
"03/01/2014","0.773","0.911","0.925","0.747","-13.05%"
"02/01/2014","0.889","0.958","1.000","0.831","-5.02%"
"01/01/2014","0.936","1.096","1.100","0.960","-14.13%"
"12/01/2013","1.090","0.900","1.115","0.820","27.19%"
"11/01/2013","0.857","1.030","1.065","0.815","-15.48%"
"10/01/2013","1.014","1.150","1.195","0.982","-8.65%"
"09/01/2013","1.110","1.258","1.330","1.107","-10.12%"
"08/01/2013","1.235","1.012","1.310","1.000","19.21%"
"07/01/2013","1.036","1.145","1.172","1.005","-7.83%"
"06/01/2013","1.124","0.955","1.203","0.905","21.78%"
"05/01/2013","0.923","0.809","0.937","0.758","14.09%"
"04/01/2013","0.809","1.035","1.045","0.749","-18.78%"
"03/01/2013","0.996","1.032","1.245","0.985","-3.58%"
"02/01/2013","1.033","1.024","1.162","0.980","1.87%"
"01/01/2013","1.014","0.835","1.065","0.835","22.32%"
"12/01/2012","0.829","0.725","0.880","0.661","17.26%"
"11/01/2012","0.707","0.765","0.770","0.635","-6.61%"
"10/01/2012","0.757","0.675","0.835","0.593","13.32%"
"09/01/2012","0.668","0.855","0.876","0.664","-21.13%"
"08/01/2012","0.847","0.970","1.025","0.815","-11.77%"
"07/01/2012","0.960","0.995","1.020","0.735","-2.54%"
"06/01/2012","0.985","0.770","1.027","0.689","29.10%"
"05/01/2012","0.763","1.150","1.180","0.765","-33.07%"
"04/01/2012","1.140","1.280","1.320","1.056","-10.38%"
"03/01/2012","1.272","1.165","1.420","1.066","11.87%"
"02/01/2012","1.137","1.005","1.270","0.987","15.31%"
"01/01/2012","0.986","0.910","1.150","0.878","9.56%"
"12/01/2011","0.900","0.840","0.965","0.754","8.43%"
"11/01/2011","0.830","1.315","1.315","0.808","-36.20%"
"10/01/2011","1.301","1.190","1.440","1.093","10.07%"
"09/01/2011","1.182","1.470","1.505","0.960","-19.04%"
"08/01/2011","1.460","2.005","2.059","1.290","-26.56%"
"07/01/2011","1.988","2.315","2.435","1.930","-14.05%"
"06/01/2011","2.313","2.510","2.565","2.170","-7.29%"
"05/01/2011","2.495","2.770","2.810","2.416","-9.60%"
"04/01/2011","2.760","2.790","2.950","2.740","-0.76%"
"03/01/2011","2.781","2.205","2.849","2.195","26.70%"
"02/01/2011","2.195","1.965","2.210","1.965","12.45%"
"01/01/2011","1.952","1.845","2.042","1.780","6.38%"
"12/01/2010","1.835","1.580","1.885","1.405","16.66%"
"11/01/2010","1.573","1.385","1.645","1.340","14.40%"
"10/01/2010","1.375","1.410","1.560","1.350","-1.93%"
"09/01/2010","1.402","1.295","1.480","1.265","9.11%"
"08/01/2010","1.285","1.445","1.475","1.213","-10.95%"
"07/01/2010","1.443","1.420","1.485","1.332","2.20%"
"06/01/2010","1.412","1.270","1.475","1.185","12.06%"
"05/01/2010","1.260","1.370","1.518","1.036","-7.35%"
"04/01/2010","1.360","1.535","1.610","1.276","-10.82%"
"03/01/2010","1.525","1.580","1.701","1.512","-3.05%"
"02/01/2010","1.573","1.615","1.759","1.500","-1.99%"
"01/01/2010","1.605","1.715","1.790","1.537","-6.03%"
