"Date","Price","Open","High","Low","Change %"
"06/01/2026","39.740","39.705","39.710","39.440","-1.05%"
"05/01/2026","40.160","38.010","40.310","37.500","6.22%"
"04/01/2026","37.810","37.400","37.680","36.055","-1.97%"
"03/01/2026","38.570","34.270","38.845","34.270","14.49%"
"02/01/2026","33.690","31.875","33.530","31.875","5.15%"
"01/01/2026","32.040","33.870","34.160","31.600","-6.64%"
"12/01/2025","34.320","35.510","35.510","34.265","-3.16%"
"11/01/2025","35.440","36.470","36.670","35.390","-3.38%"
"10/01/2025","36.680","35.990","37.280","35.990","1.21%"
"09/01/2025","36.240","35.770","37.510","35.770","1.31%"
"08/01/2025","35.770","36.860","36.970","35.750","-3.48%"
"07/01/2025","37.060","36.260","38.050","36.050","0.73%"
"06/01/2025","36.790","41.220","41.290","36.770","-10.79%"
"05/01/2025","41.240","44.530","44.660","40.930","-8.19%"
"04/01/2025","44.920","43.490","45.940","43.200","1.72%"
"03/01/2025","44.160","35.050","45.680","34.970","25.88%"
"02/01/2025","35.080","35.550","36.360","34.990","-0.03%"
"01/01/2025","35.090","36.670","36.870","35.010","-5.47%"
"12/01/2024","37.120","37.760","42.400","37.070","-0.46%"
"11/01/2024","37.290","39.160","39.860","37.020","-4.73%"
"10/01/2024","39.140","37.640","39.410","37.640","4.10%"
"09/01/2024","37.600","38.430","39.050","37.520","-2.16%"
"08/01/2024","38.430","42.565","43.445","38.410","-0.88%"
"07/01/2024","38.770","37.810","41.750","35.920","2.03%"
"06/01/2024","38.000","38.360","39.650","37.870","-0.05%"
"05/01/2024","38.020","40.580","41.230","37.920","-6.31%"
"04/01/2024","40.580","41.270","41.410","39.530","-1.58%"
"03/01/2024","41.230","40.930","45.250","40.930","0.88%"
"02/01/2024","40.870","39.430","40.930","38.870","3.65%"
"01/01/2024","39.430","36.820","40.400","36.080","8.00%"
"12/01/2023","36.510","35.820","41.640","33.790","1.78%"
"11/01/2023","35.870","32.540","39.200","32.540","10.00%"
"10/01/2023","32.610","28.030","32.610","25.010","17.18%"
"09/01/2023","27.830","19.230","28.120","19.230","49.78%"
"08/01/2023","18.580","14.340","20.820","14.230","29.57%"
"07/01/2023","14.340","13.370","15.070","8.710","8.14%"
"06/01/2023","13.260","11.600","15.750","10.940","14.02%"
"05/01/2023","11.630","16.620","20.730","8.460","-31.18%"
"04/01/2023","16.900","11.420","18.580","10.840","47.99%"
"03/01/2023","11.420","10.360","14.280","10.140","10.98%"
"02/01/2023","10.290","10.350","11.160","10.230","0.19%"
"01/01/2023","10.270","9.730","10.790","9.080","5.55%"
"12/01/2022","9.730","10.530","18.490","1.730","-6.98%"
"11/01/2022","10.460","14.570","14.680","10.260","-28.21%"
"10/01/2022","14.570","14.730","15.650","14.000","0.28%"
"09/01/2022","14.530","14.090","14.530","13.050","3.12%"
"08/01/2022","14.090","21.680","21.680","13.880","-35.01%"
"07/01/2022","21.680","23.040","23.040","20.950","-7.19%"
"06/01/2022","23.360","24.470","27.060","23.140","-4.54%"
"05/01/2022","24.470","21.850","26.750","21.850","18.33%"
"04/01/2022","20.680","23.600","23.730","20.600","-12.37%"
"03/01/2022","23.600","21.670","25.340","21.670","7.08%"
"02/01/2022","22.040","20.590","55.010","19.690","5.91%"
"01/01/2022","20.810","22.240","23.400","20.750","-4.15%"
"12/01/2021","21.710","19.950","22.960","19.950","8.82%"
"11/01/2021","19.950","21.580","21.580","16.960","13.48%"
"10/01/2021","17.580","17.440","19.110","17.430","0.80%"
"09/01/2021","17.440","17.850","19.730","9.990","-2.08%"
"08/01/2021","17.810","18.130","18.240","17.790","-1.98%"
"07/01/2021","18.170","17.580","18.180","16.880","3.36%"
"06/01/2021","17.580","18.130","18.940","17.480","-3.03%"
"05/01/2021","18.130","17.620","18.130","17.520","4.38%"
"04/01/2021","17.370","18.170","19.110","17.200","-5.19%"
"03/01/2021","18.320","16.290","20.600","14.970","23.04%"
"02/01/2021","14.890","14.240","15.080","14.190","4.49%"
"01/01/2021","14.250","14.820","14.820","14.150","-2.20%"
"12/01/2020","14.570","13.350","16.000","13.340","9.14%"
"11/01/2020","13.350","14.540","17.420","13.090","-8.44%"
"10/01/2020","14.580","12.730","14.740","12.460","13.02%"
"09/01/2020","12.900","12.970","14.200","12.800","-0.54%"
"08/01/2020","12.970","11.570","14.040","10.780","16.95%"
"07/01/2020","11.090","9.290","11.090","9.290","19.38%"
"06/01/2020","9.290","7.980","9.290","7.960","3.57%"
"05/01/2020","8.970","8.780","9.310","8.300","2.05%"
"04/01/2020","8.790","12.120","13.420","8.560","-22.01%"
"03/01/2020","11.270","12.110","12.570","10.500","-6.94%"
"02/01/2020","12.110","10.080","12.390","10.000","21.34%"
"01/01/2020","9.980","11.510","11.740","9.720","-13.29%"
"12/01/2019","11.510","11.900","12.170","11.360","-2.79%"
"11/01/2019","11.840","12.210","13.060","7.240","-3.03%"
"10/01/2019","12.210","13.550","15.910","12.140","-9.22%"
"09/01/2019","13.450","15.830","15.830","13.410","-16.30%"
"08/01/2019","16.070","15.640","16.550","14.630","3.54%"
"07/01/2019","15.520","18.400","19.900","15.390","-17.88%"
"06/01/2019","18.900","22.710","22.890","18.490","-21.02%"
"05/01/2019","23.930","22.190","25.650","21.830","7.84%"
"04/01/2019","22.190","20.630","23.800","19.890","10.01%"
"03/01/2019","20.170","18.210","22.460","17.350","10.76%"
"02/01/2019","18.210","17.610","18.840","17.430","3.41%"
"01/01/2019","17.610","19.110","19.400","17.270","-6.53%"
"12/01/2018","18.840","19.310","20.840","18.780","-2.89%"
"11/01/2018","19.400","23.610","23.710","19.030","-17.83%"
"10/01/2018","23.610","24.660","26.490","23.090","-3.55%"
"09/01/2018","24.480","23.130","26.280","22.990","5.84%"
"08/01/2018","23.130","19.800","30.790","19.800","16.82%"
"07/01/2018","19.800","18.630","21.160","18.310","6.80%"
"06/01/2018","18.540","16.800","19.080","16.800","10.36%"
"05/01/2018","16.800","13.840","17.060","13.840","21.39%"
"04/01/2018","13.840","13.790","14.420","13.610","1.54%"
"03/01/2018","13.630","12.730","13.960","12.630","7.07%"
"02/01/2018","12.730","12.710","13.160","12.470","0.16%"
"01/01/2018","12.710","12.980","13.290","12.650","-2.31%"
"12/01/2017","13.010","13.350","13.350","12.870","-2.55%"
"11/01/2017","13.350","12.560","14.040","12.350","7.23%"
"10/01/2017","12.450","11.600","12.630","11.290","7.24%"
"09/01/2017","11.610","11.290","11.770","11.250","2.38%"
"08/01/2017","11.340","11.230","11.560","11.200","0.98%"
"07/01/2017","11.230","10.900","11.390","10.840","3.31%"
"06/01/2017","10.870","10.760","11.090","10.600","1.02%"
"05/01/2017","10.760","11.240","12.490","10.750","-3.32%"
"04/01/2017","11.130","11.180","11.930","10.840","0.18%"
"03/01/2017","11.110","10.860","11.560","10.780","2.87%"
"02/01/2017","10.800","11.000","11.150","10.720","-1.10%"
"01/01/2017","10.920","10.700","11.630","10.360","2.06%"
"12/01/2016","10.700","10.200","11.180","10.050","3.08%"
"11/01/2016","10.380","9.040","10.840","8.960","14.82%"
"10/01/2016","9.040","8.560","9.320","8.410","4.87%"
"09/01/2016","8.620","8.870","8.990","8.410","-2.93%"
"08/01/2016","8.880","9.020","9.830","8.810","-1.44%"
"07/01/2016","9.010","8.590","9.700","8.270","5.01%"
"06/01/2016","8.580","9.640","9.640","8.540","-6.54%"
"05/01/2016","9.180","9.100","10.320","9.030","1.10%"
"04/01/2016","9.080","9.740","9.850","8.870","-6.87%"
"03/01/2016","9.750","10.680","10.720","9.730","-8.71%"
"02/01/2016","10.680","10.790","11.230","10.630","-0.65%"
"01/01/2016","10.750","10.810","11.180","10.500","-2.01%"
"12/01/2015","10.970","10.350","11.100","10.180","6.61%"
"11/01/2015","10.290","9.480","10.670","9.380","3.63%"
"10/01/2015","9.930","11.290","11.290","9.750","-11.65%"
"09/01/2015","11.240","10.700","11.560","10.700","5.05%"
"08/01/2015","10.700","9.780","11.470","9.720","9.86%"
"07/01/2015","9.740","9.600","9.910","9.350","2.31%"
"06/01/2015","9.520","9.770","10.600","9.510","-1.35%"
"05/01/2015","9.650","10.200","10.280","8.940","-1.53%"
"04/01/2015","9.800","8.590","10.330","8.330","14.09%"
"03/01/2015","8.590","8.670","9.300","8.140","-0.35%"
"02/01/2015","8.620","7.400","9.150","6.830","27.33%"
"01/01/2015","6.770","8.190","8.190","6.480","-14.30%"
"12/01/2014","7.900","7.640","9.060","7.250","6.33%"
"11/01/2014","7.430","8.510","8.680","7.340","-12.38%"
"10/01/2014","8.480","11.360","11.360","8.250","-13.03%"
"09/01/2014","9.750","8.870","9.900","8.660","9.92%"
"08/01/2014","8.870","8.370","9.790","8.370","5.97%"
"07/01/2014","8.370","8.070","8.390","7.950","3.46%"
"06/01/2014","8.090","8.470","8.740","7.890","-3.23%"
"05/01/2014","8.360","9.160","9.760","8.310","-6.59%"
"04/01/2014","8.950","10.450","10.630","8.920","-14.11%"
"03/01/2014","10.420","10.870","11.870","10.400","-4.67%"
"02/01/2014","10.930","10.850","11.060","10.350","-0.27%"
"01/01/2014","10.960","10.090","11.110","9.490","8.62%"
"12/01/2013","10.090","9.040","10.230","8.380","12.36%"
"11/01/2013","8.980","7.840","9.480","7.790","14.54%"
"10/01/2013","7.840","8.400","8.430","7.380","-6.67%"
"09/01/2013","8.400","9.550","10.260","7.520","-12.04%"
"08/01/2013","9.550","9.010","10.400","8.550","5.99%"
"07/01/2013","9.010","7.920","9.690","7.210","19.18%"
"06/01/2013","7.560","6.670","8.530","5.910","24.96%"
"05/01/2013","6.050","5.180","6.380","4.580","17.70%"
"04/01/2013","5.140","6.280","6.490","4.630","-17.63%"
"03/01/2013","6.240","5.690","6.490","5.610","11.23%"
"02/01/2013","5.610","5.770","5.930","5.550","-2.77%"
"01/01/2013","5.770","6.020","6.430","5.710","-5.41%"
"12/01/2012","6.100","5.840","6.270","5.600","4.45%"
"11/01/2012","5.840","6.920","6.980","5.810","-16.09%"
"10/01/2012","6.960","7.500","7.670","6.950","-6.45%"
"09/01/2012","7.440","7.480","7.680","7.030","-0.67%"
"08/01/2012","7.490","7.480","8.150","7.350","-1.71%"
"07/01/2012","7.620","8.540","8.540","7.470","-10.46%"
"06/01/2012","8.510","9.470","9.520","8.510","-9.95%"
"05/01/2012","9.450","9.350","9.840","9.290","1.29%"
"04/01/2012","9.330","9.380","9.820","9.270","0.11%"
"03/01/2012","9.320","9.220","9.860","9.110","2.08%"
"02/01/2012","9.130","9.600","9.760","8.880","-3.39%"
"01/01/2012","9.450","11.490","11.820","9.290","-17.75%"
"12/01/2011","11.490","10.410","11.860","10.070","10.48%"
"11/01/2011","10.400","10.510","11.210","9.020","6.56%"
"10/01/2011","9.760","8.480","10.600","8.280","15.91%"
"09/01/2011","8.420","7.890","8.900","7.660","5.51%"
"08/01/2011","7.980","8.890","8.900","7.770","-10.14%"
"07/01/2011","8.880","9.220","9.630","8.550","-3.48%"
"06/01/2011","9.200","9.020","9.700","8.740","2.56%"
"05/01/2011","8.970","8.330","9.180","8.320","7.43%"
"04/01/2011","8.350","9.260","9.260","8.260","-7.43%"
"03/01/2011","9.020","9.030","9.270","8.850","2.50%"
"02/01/2011","8.800","8.180","8.960","8.200","6.67%"
"01/01/2011","8.250","7.190","8.600","6.900","15.71%"
"12/01/2010","7.130","7.970","8.020","7.130","-9.52%"
"11/01/2010","7.880","7.660","8.150","7.760","3.14%"
"10/01/2010","7.640","8.160","8.160","7.600","-5.56%"
"09/01/2010","8.090","8.260","8.360","8.270","-0.74%"
"08/01/2010","8.150","8.500","8.650","8.280","-2.04%"
"07/01/2010","8.320","8.760","8.760","8.350","-4.91%"
"06/01/2010","8.750","9.130","9.130","8.630","-2.89%"
"05/01/2010","9.010","9.310","10.460","8.880","-2.70%"
"04/01/2010","9.260","9.030","9.430","8.890","4.16%"
"03/01/2010","8.890","9.200","9.500","9.010","-1.44%"
"02/01/2010","9.020","9.330","9.310","9.130","0.67%"
"01/01/2010","8.960","9.350","9.360","8.510","2.52%"
