"Date","Price","Open","High","Low","Change %"
"05/01/2026","4.057","3.879","4.125","3.868","4.43%"
"04/01/2026","3.885","3.806","3.945","3.704","2.26%"
"03/01/2026","3.799","3.476","3.980","3.476","12.43%"
"02/01/2026","3.379","3.572","3.572","3.381","-4.20%"
"01/01/2026","3.527","3.476","3.611","3.452","1.67%"
"12/01/2025","3.469","3.531","3.614","3.450","-0.63%"
"11/01/2025","3.491","3.603","3.633","3.456","-3.19%"
"10/01/2025","3.606","3.536","3.607","3.421","0.06%"
"09/01/2025","3.604","3.640","3.660","3.487","-0.52%"
"08/01/2025","3.623","3.679","3.791","3.614","-8.30%"
"07/01/2025","3.951","3.771","3.960","3.771","6.18%"
"06/01/2025","3.721","3.936","4.036","3.718","-4.93%"
"05/01/2025","3.914","3.696","4.058","3.696","8.09%"
"04/01/2025","3.621","3.874","3.971","3.611","-6.82%"
"03/01/2025","3.886","3.957","4.046","3.886","-2.47%"
"02/01/2025","3.985","4.249","4.356","3.985","-5.24%"
"01/01/2025","4.205","4.244","4.390","4.195","-0.73%"
"12/01/2024","4.236","4.184","4.367","4.077","1.83%"
"11/01/2024","4.160","4.176","4.381","4.065","-0.19%"
"10/01/2024","4.168","3.639","4.218","3.572","14.38%"
"09/01/2024","3.644","3.935","3.941","3.506","-7.00%"
"08/01/2024","3.919","4.278","4.299","3.654","-8.00%"
"07/01/2024","4.260","4.749","4.795","4.257","-10.31%"
"06/01/2024","4.749","4.873","4.897","4.656","-2.61%"
"05/01/2024","4.877","5.035","5.044","4.705","-3.18%"
"04/01/2024","5.037","4.603","5.045","4.595","8.83%"
"03/01/2024","4.628","4.623","4.751","4.409","0.12%"
"02/01/2024","4.623","4.233","4.759","4.135","9.84%"
"01/01/2024","4.209","4.254","4.494","4.119","-0.97%"
"12/01/2023","4.250","4.668","4.775","4.231","-9.47%"
"11/01/2023","4.695","5.083","5.087","4.608","-7.64%"
"10/01/2023","5.083","5.091","5.259","4.926","0.62%"
"09/01/2023","5.052","4.869","5.202","4.760","3.89%"
"08/01/2023","4.863","4.879","5.106","4.718","-0.45%"
"07/01/2023","4.885","4.918","5.120","4.607","-0.39%"
"06/01/2023","4.904","4.394","4.935","4.316","11.23%"
"05/01/2023","4.409","4.050","4.639","3.657","9.65%"
"04/01/2023","4.021","4.104","4.286","3.646","-0.42%"
"03/01/2023","4.038","4.834","5.084","3.555","-16.20%"
"02/01/2023","4.818","4.209","4.857","4.036","14.57%"
"01/01/2023","4.205","4.461","4.519","4.041","-5.03%"
"12/01/2022","4.428","4.325","4.447","4.139","2.29%"
"11/01/2022","4.329","4.491","4.883","4.290","-3.52%"
"10/01/2022","4.486","4.235","4.639","3.996","5.01%"
"09/01/2022","4.273","3.499","4.360","3.387","22.25%"
"08/01/2022","3.495","2.917","3.503","2.819","20.91%"
"07/01/2022","2.891","2.984","3.276","2.729","-2.20%"
"06/01/2022","2.955","2.575","3.456","2.561","15.33%"
"05/01/2022","2.563","2.745","2.858","2.438","-6.16%"
"04/01/2022","2.731","2.343","2.789","2.274","16.98%"
"03/01/2022","2.335","1.456","2.453","1.261","62.54%"
"02/01/2022","1.436","1.185","1.643","1.132","21.25%"
"01/01/2022","1.185","0.766","1.228","0.752","61.37%"
"12/01/2021","0.734","0.599","0.764","0.547","29.47%"
"11/01/2021","0.567","0.525","0.687","0.389","13.17%"
"10/01/2021","0.501","0.279","0.564","0.260","78.04%"
"09/01/2021","0.281","0.213","0.321","0.196","33.18%"
"08/01/2021","0.211","0.184","0.250","0.161","12.51%"
"07/01/2021","0.188","0.252","0.269","0.188","-25.62%"
"06/01/2021","0.252","0.143","0.284","0.143","79.59%"
"05/01/2021","0.141","0.164","0.176","0.135","-13.37%"
"04/01/2021","0.162","0.160","0.194","0.145","0.00%"
"03/01/2021","0.162","0.123","0.171","0.117","25.83%"
"02/01/2021","0.129","0.111","0.194","0.105","15.81%"
"01/01/2021","0.111","0.123","0.153","0.111","-9.51%"
"12/01/2020","0.123","0.150","0.174","0.109","-18.27%"
"11/01/2020","0.150","0.154","0.190","0.143","-3.77%"
"10/01/2020","0.156","0.131","0.159","0.123","19.48%"
"09/01/2020","0.131","0.135","0.153","0.121","-1.43%"
"08/01/2020","0.133","0.107","0.170","0.107","21.50%"
"07/01/2020","0.109","0.152","0.180","0.107","-29.21%"
"06/01/2020","0.154","0.156","0.238","0.145","-5.97%"
"05/01/2020","0.164","0.198","0.210","0.105","-18.47%"
"04/01/2020","0.201","0.242","0.304","0.176","-20.52%"
"03/01/2020","0.253","0.834","0.919","0.206","-72.78%"
"02/01/2020","0.931","1.321","1.474","0.852","-29.44%"
"01/01/2020","1.319","1.575","1.611","1.317","-16.03%"
"12/01/2019","1.571","1.622","1.697","1.512","-2.53%"
"11/01/2019","1.612","1.526","1.710","1.514","5.63%"
"10/01/2019","1.526","1.624","1.680","1.368","-6.14%"
"09/01/2019","1.626","1.510","1.809","1.428","7.66%"
"08/01/2019","1.510","1.882","1.904","1.449","-19.17%"
"07/01/2019","1.868","1.803","1.968","1.729","6.33%"
"06/01/2019","1.757","1.916","1.942","1.696","-8.69%"
"05/01/2019","1.924","2.268","2.382","1.916","-15.09%"
"04/01/2019","2.266","2.288","2.429","2.262","0.00%"
"03/01/2019","2.266","2.516","2.567","2.162","-10.02%"
"02/01/2019","2.518","2.468","2.549","2.449","2.21%"
"01/01/2019","2.464","2.530","2.622","2.372","-1.29%"
"12/01/2018","2.496","2.831","2.845","2.488","-10.75%"
"11/01/2018","2.797","2.875","2.977","2.772","-2.59%"
"10/01/2018","2.871","2.827","2.917","2.782","1.70%"
"09/01/2018","2.823","2.629","2.847","2.629","7.38%"
"08/01/2018","2.629","2.669","2.686","2.587","-1.66%"
"07/01/2018","2.674","2.524","2.690","2.508","5.58%"
"06/01/2018","2.532","2.431","2.602","2.427","3.97%"
"05/01/2018","2.435","2.492","2.598","2.299","-2.27%"
"04/01/2018","2.492","2.278","2.508","2.234","9.77%"
"03/01/2018","2.270","2.254","2.366","2.197","0.54%"
"02/01/2018","2.258","2.157","2.286","1.947","5.09%"
"01/01/2018","2.149","1.907","2.165","1.891","13.86%"
"12/01/2017","1.887","1.790","1.927","1.746","5.42%"
"11/01/2017","1.790","1.604","1.798","1.592","11.90%"
"10/01/2017","1.600","1.495","1.639","1.459","7.31%"
"09/01/2017","1.491","1.329","1.499","1.254","12.12%"
"08/01/2017","1.329","1.359","1.371","1.286","-1.89%"
"07/01/2017","1.355","1.398","1.435","1.323","-2.20%"
"06/01/2017","1.386","1.294","1.390","1.266","7.76%"
"05/01/2017","1.286","1.270","1.367","1.225","1.25%"
"04/01/2017","1.270","1.262","1.301","1.160","0.63%"
"03/01/2017","1.262","1.288","1.401","1.228","-0.17%"
"02/01/2017","1.264","1.216","1.280","1.141","4.26%"
"01/01/2017","1.212","1.186","1.256","1.136","1.19%"
"12/01/2016","1.198","1.131","1.304","1.080","7.08%"
"11/01/2016","1.119","0.849","1.170","0.714","32.44%"
"10/01/2016","0.845","0.778","0.900","0.774","10.33%"
"09/01/2016","0.766","0.809","0.848","0.718","-5.38%"
"08/01/2016","0.809","0.663","0.853","0.643","22.75%"
"07/01/2016","0.659","0.586","0.778","0.538","12.59%"
"06/01/2016","0.586","0.879","0.911","0.499","-33.67%"
"05/01/2016","0.883","0.778","0.938","0.686","12.96%"
"04/01/2016","0.782","0.733","0.881","0.688","7.81%"
"03/01/2016","0.725","0.782","1.001","0.725","-7.70%"
"02/01/2016","0.785","0.785","0.821","0.582","1.00%"
"01/01/2016","0.778","1.068","1.072","0.766","-26.05%"
"12/01/2015","1.052","0.942","1.103","0.879","12.55%"
"11/01/2015","0.934","0.732","0.958","0.728","28.33%"
"10/01/2015","0.728","0.641","0.753","0.542","15.77%"
"09/01/2015","0.629","0.735","0.819","0.629","-14.96%"
"08/01/2015","0.739","0.676","0.760","0.544","10.62%"
"07/01/2015","0.669","0.653","0.751","0.541","3.69%"
