"Date","Price","Open","High","Low","Change %"
"03/01/2023","7.575","7.575","7.575","7.575","0.00%"
"02/01/2023","7.575","7.550","100.005","7.525","0.33%"
"01/01/2023","7.550","7.425","7.775","7.400","2.03%"
"12/01/2022","7.400","7.275","7.425","7.240","1.72%"
"11/01/2022","7.275","7.200","7.340","7.165","1.04%"
"10/01/2022","7.200","7.220","7.290","7.065","-0.28%"
"09/01/2022","7.220","6.895","7.300","6.880","4.94%"
"08/01/2022","6.880","6.840","7.100","6.800","0.58%"
"07/01/2022","6.840","6.355","6.915","6.355","15.93%"
"06/01/2022","5.900","5.570","5.925","5.515","5.92%"
"05/01/2022","5.570","5.500","5.745","5.375","1.27%"
"04/01/2022","5.500","5.415","5.580","5.415","1.57%"
"03/01/2022","5.415","5.320","5.645","5.295","0.46%"
"02/01/2022","5.390","5.395","5.435","5.210","-0.09%"
"01/01/2022","5.395","5.090","5.455","5.070","5.99%"
"12/01/2021","5.090","5.075","5.155","4.900","2.31%"
"11/01/2021","4.975","5.600","5.620","4.975","-11.16%"
"10/01/2021","5.600","5.140","5.675","5.130","8.95%"
"09/01/2021","5.140","4.895","5.235","4.850","5.01%"
"08/01/2021","4.895","4.965","5.130","4.895","-0.71%"
"07/01/2021","4.930","5.250","5.385","4.910","-6.10%"
"06/01/2021","5.250","5.000","5.310","4.920","5.00%"
"05/01/2021","5.000","4.700","5.000","4.550","6.38%"
"04/01/2021","4.700","5.305","5.360","4.630","-11.40%"
"03/01/2021","5.305","5.240","5.550","5.145","-0.09%"
"02/01/2021","5.310","4.655","5.515","4.290","14.07%"
"01/01/2021","4.655","4.530","4.705","4.316","2.76%"
"12/01/2020","4.530","4.425","4.805","4.325","4.74%"
"11/01/2020","4.325","4.210","4.445","3.810","2.49%"
"10/01/2020","4.220","4.540","4.615","4.165","-7.35%"
"09/01/2020","4.555","4.590","4.735","4.360","-0.76%"
"08/01/2020","4.590","4.665","4.785","4.370","-1.61%"
"07/01/2020","4.665","5.040","5.145","4.620","-7.26%"
"06/01/2020","5.030","5.240","5.255","4.915","-4.01%"
"05/01/2020","5.240","5.575","5.640","4.545","-5.33%"
"04/01/2020","5.535","6.960","7.575","5.500","-20.47%"
"03/01/2020","6.960","6.560","8.415","-2.945","5.61%"
"02/01/2020","6.590","6.590","6.590","6.590","-1.35%"
"01/01/2020","6.680","6.680","6.680","6.680","-0.52%"
"12/01/2019","6.715","6.715","6.715","6.715","0.00%"
"11/01/2019","6.715","6.715","6.715","6.715","0.83%"
"10/01/2019","6.660","6.660","6.660","6.660","0.15%"
"09/01/2019","6.650","6.650","6.650","6.650","0.99%"
"08/01/2019","6.585","6.585","6.585","6.585","2.09%"
"07/01/2019","6.450","6.450","6.450","6.450","1.65%"
"06/01/2019","6.345","6.345","6.345","6.345","-3.79%"
"05/01/2019","6.595","6.595","6.595","6.595","-2.94%"
"04/01/2019","6.795","6.795","6.795","6.795","-2.09%"
"03/01/2019","6.940","6.940","6.940","6.940","-2.12%"
"02/01/2019","7.090","7.090","7.090","7.090","1.50%"
"01/01/2019","6.985","6.985","6.985","6.985","17.00%"
"12/01/2018","5.970","5.970","5.970","5.970","-3.86%"
"11/01/2018","6.210","6.210","6.210","6.210","-5.55%"
"10/01/2018","6.575","6.575","6.575","6.575","-13.14%"
"09/01/2018","7.570","7.570","7.570","7.570","-1.43%"
"08/01/2018","7.680","7.680","7.680","7.680","3.99%"
"07/01/2018","7.385","7.385","7.385","7.385","-1.93%"
"06/01/2018","7.530","7.530","7.530","7.530","1.62%"
"05/01/2018","7.410","7.410","7.410","7.410","4.44%"
"04/01/2018","7.095","7.095","7.095","7.095","4.65%"
"03/01/2018","6.780","6.780","6.780","6.780","0.74%"
"02/01/2018","6.730","6.730","6.730","6.730","-4.74%"
"01/01/2018","7.065","7.065","7.065","7.065","-2.95%"
"12/01/2017","7.280","7.280","7.280","7.280","-9.96%"
"11/01/2017","8.085","8.085","8.085","8.085","9.33%"
"10/01/2017","7.395","7.395","7.395","7.395","6.02%"
"09/01/2017","6.975","6.975","6.975","6.975","-0.21%"
"08/01/2017","6.990","6.990","6.990","6.990","-2.31%"
"07/01/2017","7.155","7.155","7.155","7.155","-5.61%"
"06/01/2017","7.580","7.580","7.580","7.580","1.88%"
"05/01/2017","7.440","7.440","7.440","7.440","-0.47%"
"04/01/2017","7.475","7.475","7.475","7.475","-1.58%"
"03/01/2017","7.595","7.595","7.595","7.595","0.46%"
"02/01/2017","7.560","7.560","7.560","7.560","-3.51%"
"01/01/2017","7.835","7.835","7.835","7.835","-1.20%"
"12/01/2016","7.930","7.930","7.930","7.930","-0.94%"
"11/01/2016","8.005","8.005","8.005","8.005","3.02%"
"10/01/2016","7.770","7.770","7.770","7.770","1.37%"
"09/01/2016","7.665","7.665","7.665","7.665","-1.79%"
"08/01/2016","7.805","7.805","7.805","7.805","4.00%"
"07/01/2016","7.505","7.505","7.505","7.505","-0.27%"
"06/01/2016","7.525","7.525","7.525","7.525","-6.17%"
"05/01/2016","8.020","8.020","8.020","8.020","2.49%"
"04/01/2016","7.825","7.825","7.825","7.825","-2.37%"
"03/01/2016","8.015","8.015","8.015","8.015","-3.78%"
"02/01/2016","8.330","8.330","8.330","8.330","3.80%"
"01/01/2016","8.025","8.025","8.025","8.025","-6.20%"
"12/01/2015","8.555","8.555","8.555","8.555","16.32%"
"11/01/2015","7.355","7.355","7.355","7.355","4.47%"
"10/01/2015","7.040","7.040","7.040","7.040","-2.83%"
"09/01/2015","7.245","7.245","7.245","7.245","-0.41%"
"08/01/2015","7.275","7.275","7.275","7.275","0.21%"
"07/01/2015","7.260","7.260","7.260","7.260","0.41%"
"06/01/2015","7.230","7.230","7.230","7.230","0.91%"
"05/01/2015","7.165","7.165","7.165","7.165","2.65%"
"04/01/2015","6.980","6.980","6.980","6.980","1.60%"
"03/01/2015","6.870","6.870","6.870","6.870","3.23%"
"02/01/2015","6.655","6.655","6.655","6.655","9.73%"
"01/01/2015","6.065","6.065","6.065","6.065","-8.25%"
"12/01/2014","6.610","6.610","6.610","6.610","5.93%"
"11/01/2014","6.240","6.240","6.240","6.240","-4.88%"
"10/01/2014","6.560","6.560","6.560","6.560","-5.88%"
"09/01/2014","6.970","6.970","6.970","6.970","5.45%"
"08/01/2014","6.610","6.610","6.610","6.610","-1.49%"
"07/01/2014","6.710","6.710","6.710","6.710","0.07%"
"06/01/2014","6.705","6.705","6.705","6.705","0.68%"
"05/01/2014","6.660","6.660","6.660","6.660","-1.77%"
"04/01/2014","6.780","6.780","6.780","6.780","-0.37%"
"03/01/2014","6.805","6.805","6.805","6.805","-4.42%"
