Date,CPINOK,CPIMXN,CPIZAR,CPITRY,CPIIDR,CPICZK,CPIPLN,CPIHUF
2010-01-01,90.9,82.77041,75.3046,66.7997,73.73624000000001,92.5,91.41229,88.0829
2010-02-01,92.0,83.24914,75.77624,67.76675,73.96743000000001,92.5,91.57509,88.30496
2010-03-01,92.5,83.84016,76.40508,68.16202,73.84872,92.7,91.81929000000001,88.89711
2010-04-01,92.7,83.57301,76.40508,68.56879,73.96119,93.1,92.2263,89.41525
2010-05-01,92.2,83.04642,76.56229,68.3232,74.17363,93.2,92.47049,90.22946
2010-06-01,92.1,83.02041,76.56229,67.93945,74.89218000000001,93.2,92.71469,90.37749000000001
2010-07-01,91.6,83.20067,77.19115,67.61326,76.06685999999999,93.5,92.5519,90.52554
2010-08-01,91.4,83.43176,77.19115,67.88571999999999,76.64796,93.2,92.14489,90.0074
2010-09-01,92.0,83.86910999999999,77.19115,68.71846,76.98536999999999,93.0,92.71469,89.85936
2010-10-01,92.1,84.38685,77.34836,69.97717,77.03535,92.8,93.20309,90.22946
2010-11-01,92.3,85.06296999999999,77.50556999999999,69.99635,77.49773,93.0,93.28449,90.52554
2010-12-01,93.3,85.48437,77.66278,69.78529,78.21003,93.5,93.69149,90.89563000000001
2011-01-01,92.7,85.90082,78.13441,70.0731,78.90984,94.1,94.83109,91.56181
2011-02-01,93.1,86.22306999999999,78.44884,70.5835,79.01607,94.2,94.9939,91.9319
2011-03-01,93.4,86.38848,79.39211,70.87898,78.75988000000001,94.3,95.8893,92.96817
2011-04-01,93.9,86.38162,79.70654,71.49299,78.5162,94.5,96.37769,93.56033000000001
2011-05-01,93.7,85.74483000000001,80.02096,73.22371,78.60991999999999,95.0,96.94749,93.78239
2011-06-01,93.4,85.74055,80.4926,72.17605999999999,79.04105,94.9,96.5405,93.56033000000001
2011-07-01,93.1,86.15193000000001,81.12144,71.88058000000001,79.57217,95.1,96.2149,93.26425
2011-08-01,92.6,86.28820999999999,81.12144,72.40248000000001,80.31571,94.9,96.2149,93.19023
2011-09-01,93.4,86.4999,81.7503,72.94740999999999,80.5344,94.7,96.2963,93.11621
2011-10-01,93.3,87.08355,82.22193,75.33434,80.44068,94.9,96.94749,93.78239
2011-11-01,93.3,88.02545,82.22193,76.63526,80.71561,95.3,97.59869,94.37453000000001
2011-12-01,93.4,88.74880999999999,82.53635,77.07658,81.17173000000001,95.7,98.0057,94.5966
2012-01-01,93.2,89.37703,82.85078,77.51021999999999,81.79030999999999,97.4,98.6569,96.5211
2012-02-01,94.2,89.55872,83.32242,77.94769000000001,81.8278,97.7,99.0639,97.3353
2012-03-01,94.1,89.61015,84.26569,78.27005,81.88403000000001,97.8,99.5523,98.0755
2012-04-01,94.2,89.32903,84.73733,79.45584000000001,82.05274,97.8,100.1221,98.88971
2012-05-01,94.2,89.04706999999999,84.73733,79.28699,82.10898,98.0,100.2849,98.66766
2012-06-01,93.7,89.45759,85.05175,78.57705,82.62134,98.2,100.4477,98.74168
2012-07-01,93.3,89.95982,85.05175,78.39668,83.20243,98.1,99.9593,98.66766
2012-08-01,92.9,90.2298,85.52338,78.83416,83.99596,98.0,99.6337,98.81569
2012-09-01,93.9,90.62747,86.15224,79.64771,84.00846,97.9,99.7151,99.2598
2012-10-01,94.3,91.08599,86.78108,81.20959,84.14591999999999,98.2,100.1221,99.40784000000001
2012-11-01,94.4,91.70479,86.93829000000001,81.51659000000001,84.20215999999999,97.9,100.2035,99.2598
2012-12-01,94.7,91.91563000000001,87.25272,81.82741999999999,84.65829000000001,98.0,100.2849,99.33381999999999
2013-01-01,94.5,92.28586999999999,87.56715,83.17439,85.1674,99.3,100.3663,100.148
2013-02-01,95.1,92.74011,88.3532,83.42384,85.7653,99.4,100.3663,100.074
2013-03-01,95.4,93.42061,89.45369000000001,83.97644,86.1722,99.5,100.5291,100.2961
2013-04-01,95.9,93.48232,89.6109,84.32949,86.21372,99.5,100.9361,100.5181
2013-05-01,96.0,93.1712,89.45369000000001,84.45229,86.29675999999999,99.3,100.8547,100.4441
2013-06-01,95.7,93.11464000000001,89.6109,85.09699,87.177,99.7,100.8547,100.6662
2013-07-01,96.1,93.08379000000001,90.55418,85.36179,89.80941999999999,99.5,101.1803,100.3701
2013-08-01,96.0,93.34862,90.8686,85.27351999999999,90.69797,99.3,100.8547,100.148
2013-09-01,96.4,93.70000999999999,91.34023,85.9259,90.47375,98.9,100.9361,100.5922
2013-10-01,96.6,94.14568,91.49744,87.47242,90.63983,99.1,101.0989,100.2961
2013-11-01,96.7,95.0233,91.65465999999999,87.48009,90.78931,99.0,100.9361,100.2221
2013-12-01,96.6,95.56839000000001,91.81187,87.88303,91.19621,99.4,101.0175,99.70393
2014-01-01,96.6,96.42286999999999,92.44072,89.62143,92.1678,99.5,101.0989,100.074
2014-02-01,97.1,96.66713,93.54120999999999,90.00518000000001,92.40862,99.6,101.1803,100.148
2014-03-01,97.3,96.93196,94.64169,91.01829000000001,92.48336,99.6,101.2617,100.3701
2014-04-01,97.7,96.75112,95.27054,92.24245,92.46675,99.6,101.2617,100.4441
2014-05-01,97.8,96.44173,95.42775,92.60701999999999,92.61623,99.7,101.1803,100.2961
2014-06-01,97.5,96.60885,95.74217,92.89484,93.01482,99.7,101.1803,100.3701
2014-07-01,98.3,96.87453000000001,96.52824,93.31696,93.87846,100.0,101.0175,100.5181
2014-08-01,97.9,97.2225,96.84266,93.40522,94.31857,99.9,100.6105,100.2961
2014-09-01,98.5,97.65189000000001,96.84266,93.5357,94.57600000000001,99.6,100.6105,100.074
2014-10-01,98.6,98.19183000000001,96.99987,95.31246999999999,95.01612,99.8,100.6105,99.85195999999999
2014-11-01,98.6,98.98375,96.99987,95.48516,96.44444,99.5,100.4477,99.48186
2014-12-01,98.6,99.46884,96.84266,95.06303,98.81943000000001,99.5,100.1221,98.81569
2015-01-01,98.6,99.37885,96.68545,96.11067,98.57861,99.5,99.9593,98.59364000000001
2015-02-01,98.9,99.56741,97.31429,96.79759,98.22153,99.7,99.8779,99.11176999999999
2015-03-01,99.2,99.97279,98.57199,97.94501,98.38761,99.8,100.0407,99.70393
2015-04-01,99.6,99.71396,99.51527,99.54142,98.74469,100.1,100.4477,100.074
2015-05-01,99.8,99.21601,99.67248000000001,100.1017,99.23463000000001,100.4,100.4477,100.8142
2015-06-01,100.1,99.38228000000001,100.1441,99.58746,99.7661,100.5,100.4477,100.9622
2015-07-01,100.1,99.52798,101.0874,99.67573,100.6962,100.4,100.3663,100.9622
2015-08-01,99.9,99.73795,101.0874,100.0748,101.0865,100.2,99.9593,100.3701
2015-09-01,100.6,100.1116,101.0874,100.969,101.0366,100.0,99.6337,99.70393
2015-10-01,101.0,100.6267,101.4018,102.5385,100.9536,100.0,99.7151,100.0
2015-11-01,101.3,101.1761,101.559,103.2216,101.1612,99.6,99.6337,100.0
2015-12-01,100.9,101.5883,101.8734,103.4365,102.1328,99.5,99.4709,99.70393
2016-01-01,101.5,101.9757,102.6595,105.3169,102.6559,100.1,98.9825,99.55589
2016-02-01,102.1,102.4222,104.0744,105.2939,102.5646,100.2,98.9011,99.40784000000001
2016-03-01,102.5,102.5731,105.0177,105.2516,102.7639,100.1,98.9825,99.48186
2016-04-01,102.9,102.2483,105.961,106.0767,102.2989,100.7,99.3081,100.2961
2016-05-01,103.2,101.7923,106.1182,106.6907,102.5397,100.5,99.3895,100.5922
2016-06-01,103.8,101.9046,106.74700000000001,107.1934,103.2123,100.6,99.5523,100.8142
2016-07-01,104.5,102.1703,107.6903,108.4406,103.9265,100.9,99.2267,100.5922
2016-08-01,103.9,102.4582,107.5331,108.1259,103.9099,100.8,99.0639,100.2221
2016-09-01,104.2,103.0839,107.6903,108.3217,104.1424,100.5,99.0639,100.3701
2016-10-01,104.7,103.7095,108.1619,109.8797,104.2919,100.8,99.5523,100.9622
2016-11-01,104.9,104.5203,108.6336,110.4476,104.7818,101.2,99.6337,101.0363
2016-12-01,104.4,105.00200000000001,108.948,112.2628,105.2219,101.5,100.3663,101.4064
2017-01-01,104.3,106.7872,109.734,115.0258,106.2433,102.3,100.7733,101.8505
2017-02-01,104.7,107.4043,110.8345,115.9583,106.4925,102.7,101.0989,102.2206
2017-03-01,105.0,108.0634,111.4634,117.1364,106.4759,102.7,101.0175,102.1466
2017-04-01,105.2,108.1962,111.6206,118.6676,106.5672,102.7,101.3431,102.5167
2017-05-01,105.4,108.0668,111.7778,119.1972,106.9824,102.9,101.3431,102.7387
2017-06-01,105.8,108.3385,112.0922,118.8787,107.7215,102.9,101.1803,102.7239
2017-07-01,106.1,108.7482,112.2494,119.0552,107.954,103.4,101.0175,102.7609
2017-08-01,105.3,109.2855,112.4067,119.67299999999999,107.8793,103.3,100.9361,102.8053
2017-09-01,105.9,109.6275,112.8783,120.4521,108.0204,103.2,101.3431,102.9016
2017-10-01,106.0,110.3174,113.3499,122.9541,108.0287,103.7,101.8315,103.1828
2017-11-01,106.1,111.4547,113.3499,124.7885,108.2446,103.8,102.3199,103.5529
2017-12-01,106.1,112.1138,113.8216,125.6442,109.0169,103.9,102.5641,103.6269
2018-01-01,106.0,112.7095,114.4504,126.926,109.6979,104.5,102.8897,103.92299999999999
2018-02-01,107.0,113.1389,115.0793,127.8546,109.8806,104.5,102.6455,104.1451
2018-03-01,107.3,113.5048,115.5509,129.1248,110.0965,104.4,102.5641,104.2191
2018-04-01,107.7,113.12,116.337,131.5425,110.2044,104.7,103.0525,104.8853
2018-05-01,107.8,112.9366,116.6514,133.6761,110.4369,105.2,103.2967,105.5514
2018-06-01,108.5,113.3728,116.9658,137.1683,111.0847,105.6,103.3781,105.9215
2018-07-01,109.3,113.9805,117.9091,137.9243,111.3919,105.8,103.1339,106.2176
2018-08-01,108.9,114.6455,117.7519,141.0902,111.3338,105.9,103.1339,106.2916
2018-09-01,109.5,115.1303,118.3807,149.9856,111.1345,105.6,103.3781,106.5877
2018-10-01,109.3,115.727,119.0096,153.9881,111.4417,106.0,103.7851,107.1799
2018-11-01,109.8,116.7115,119.1668,151.7662,111.7407,105.9,103.7851,106.8098
2018-12-01,109.8,117.5295,119.0096,151.1522,112.4299,106.0,103.7851,106.4397
2019-01-01,109.3,117.6299,118.8523,152.7601,112.7953,107.1,103.5409,106.7357
2019-02-01,110.2,117.5968,119.7956,153.0057,112.704,107.3,103.9479,107.3279
2019-03-01,110.4,118.0498,120.7389,154.5791,112.8285,107.5,104.2735,108.0681
2019-04-01,110.8,118.1125,121.3677,157.1963,113.3268,107.6,105.4131,109.0303
2019-05-01,110.5,117.7725,121.8394,158.6891,114.0991,108.3,105.6573,109.6965
2019-06-01,110.6,117.8478,122.1538,158.7313,114.7302,108.5,105.9829,109.4745
2019-07-01,111.4,118.2905,122.6254,160.8842,115.0873,108.9,105.9829,109.6965
2019-08-01,110.6,118.2711,122.9399,162.2657,115.2201,109.0,105.9829,109.5485
2019-09-01,111.1,118.5814,123.2543,163.8774,114.9046,108.4,105.9829,109.6225
2019-10-01,111.3,119.2214,123.2543,167.1585,114.9295,108.9,106.2271,110.2887
2019-11-01,111.6,120.1831,123.4115,167.7955,115.0956,109.2,106.3085,110.3627
2019-12-01,111.3,120.8539,123.7259,169.0427,115.4859,109.4,107.1225,110.6588
2020-01-01,111.3,121.4392,124.0404,171.326,115.818,111.0,108.0993,111.695
2020-02-01,111.2,121.9434,125.1408,171.9285,116.14,111.3,108.8319,112.0651
2020-03-01,111.2,121.8853,125.7697,172.9109,116.251,111.2,109.0761,112.2872
2020-04-01,111.7,120.6497,124.9836,174.3884,116.3398,111.0,108.9947,111.62100000000001
2020-05-01,111.9,121.1141,124.1976,176.7638,116.4175,111.4,108.7505,112.1392
2020-06-01,112.1,121.7769,124.8264,178.767,116.6284,112.1,109.4017,112.5833
2020-07-01,112.9,122.5766,126.5557,179.8108,116.5063,112.6,109.1575,113.8416
2020-08-01,112.5,123.0592,126.713,181.365,116.4508,112.6,109.0761,113.8416
