Date,CPIUSD,CPIEUR,CPIGBP,CPIJPY,CPICHINA,CPICHF,CPIAUD,CPICAD,CPIKRW,CPISEK,CPIINDIA,CPIBRL
01/01/2010,217.488,71.15,88.8,96.61491,85.89341999999999,101.4975,88.41421,90.94022,89.9748842823397,95.36109,65.79535,70.5368
01/02/2010,217.281,71.37,89.0,96.61491,86.92914,101.6453,88.41421,91.33527,90.1562023699609,95.93553,65.03028,71.0869
01/03/2010,217.353,72.16,89.4,96.81853,86.31617,101.7846,88.41421,91.33527,90.3385746325102,96.16531,65.03028,71.45649
01/04/2010,217.403,72.45,89.9,96.81853,86.49231,102.6545,88.97144,91.65131,90.7022649826808,96.17808,65.03028,71.86391
01/05/2010,217.29,72.54,90.1,96.81853,86.40776,102.5486,88.97144,91.88834,90.7939782014194,96.3568,65.79535,72.17294
01/06/2010,217.199,72.54,90.2,96.61491,85.88638,102.1021,88.97144,91.80933,90.7022649826808,96.37275,66.56041,72.17294
01/07/2010,217.605,72.23,90.0,96.10588,86.23161999999999,101.3561,89.62154,92.28338,90.8846372452301,96.07595,68.09053,72.18014000000001
01/08/2010,217.923,72.37,90.4,96.20769,86.74595,101.342,89.62154,92.20437,91.3410949890674,96.08234,68.09053,72.20891
01/09/2010,218.275,72.6,90.4,96.4113,87.26733,101.3185,89.62154,92.36239,92.0684756894084,96.89294,68.47306,72.53372
01/10/2010,219.035,72.81,90.6,96.71672,87.8803,101.8576,89.99303,92.75744,92.0684756894084,97.20251,69.23813,73.0778
01/11/2010,219.59,72.88,90.9,96.4113,88.84555,102.1022,89.99303,92.83645,91.6141262954273,97.52483,69.62066,73.68427
01/12/2010,220.472,73.32,91.7,96.20769,89.28943000000001,102.1384,89.99303,92.83645,91.9778166455978,98.21098,70.76825,74.14853000000001
01/01/2011,221.187,72.8,91.8,96.10588,90.18423,101.7802,91.29324,93.07348,93.0709960459656,97.70355,71.91584,74.76406
01/02/2011,221.898,73.11,92.3,96.10588,91.33717,102.1638,91.29324,93.31051,93.707717702496,98.30033,70.76825,75.36218000000001
01/03/2011,223.046,74.09,92.6,96.30949,91.15383,102.8068,91.29324,94.33763,94.0724622275946,98.96733,70.76825,75.95753
01/04/2011,224.093,74.51,93.3,96.4113,91.2455,102.9202,92.12909,94.65367,94.1641754463333,99.39178,71.15078000000001,76.54243000000001
01/05/2011,224.806,74.52,93.5,96.4113,91.33717,102.927,92.12909,95.28575,94.3454935339546,99.57688,71.53331,76.90228
01/06/2011,224.806,74.51,93.5,96.30949,91.61217,102.6783,92.12909,94.65367,94.5278657965038,99.34072,72.29838000000001,77.01759
01/07/2011,225.395,74.09,93.5,96.30949,92.01405,101.8345,92.68633,94.81169,94.983269365413,99.29285,73.8285,77.14079
01/08/2011,226.106,74.22,93.9,96.4113,92.27545,101.5368,92.68633,95.04872,95.6210451968716,99.32476,74.21103000000001,77.42616
01/09/2011,226.597,74.77,94.5,96.4113,92.71113,101.8107,92.68633,95.28575,95.5293319781329,100.0205,75.35862,77.83659
01/10/2011,226.75,75.03,94.5,96.51311,92.79826,101.743,92.68633,95.44377,95.3480138905116,100.0237,75.74116,78.17139
01/11/2011,227.169,75.09,94.7,95.90227,92.62399,101.5654,92.68633,95.52278,95.4386729343223,100.2598,76.12369,78.57786999999999
01/12/2011,227.223,75.34,95.0,96.00407,92.88539,101.4084,92.68633,94.96971,95.8023632844928,100.4577,75.35862,78.97067
01/01/2012,227.842,74.74,94.7,96.20769,94.27955,100.9767,92.7792,95.36476,96.1850287833679,99.52263,75.74116,79.41289
01/02/2012,228.329,75.11,95.2,96.4113,94.19241,101.2612,92.7792,95.75981,96.5497733084665,100.1832,76.12369,79.77019
01/03/2012,228.807,76.08,95.4,96.81853,94.36668,101.8257,92.7792,96.15486,96.5771818565953,100.4641,76.88875,79.9377
01/04/2012,229.187,76.43,95.9,96.92033,94.27955,101.9018,93.24356,96.54991,96.567694282243,100.6843,78.41887,80.44929
01/05/2012,228.713,76.33,95.9,96.61491,94.01814,101.8837,93.24356,96.4709,96.7405789704401,100.6013,78.8014,80.73884
01/06/2012,228.524,76.27,95.6,96.10588,93.49534,101.5963,93.24356,96.07585,96.6035362297961,100.3524,79.56647,80.80334
