Date,RATEUSD,RATEEUR,RATEGBP,RATEJPY,RATECHF,RATEAUD,RATECAD,RATESEK,RATEKRW,RATEINDIA,RATEBRL,RATECHINA
01/01/2010,0.11,0.67975,0.61265,0.45,0.0903594,4.2,0.1725,0.2,2.88,6.0,15.1684699768,1.85
01/02/2010,0.13,0.6617,0.6331,0.44,0.09874325,4.16,0.165,0.22,2.88,6.0,15.169,1.94
01/03/2010,0.16,0.64495652173913,0.64549,0.43,0.0957777272727273,4.33,0.228,0.23,2.83,6.0,15.169,1.91
01/04/2010,0.2,0.6447,0.65592,0.4,0.0879435,4.55,0.3375,0.29,2.51,6.0,15.2456058441,1.73
01/05/2010,0.2,0.68652380952381,0.69713,0.39,0.08190975,4.81,0.39,0.28,2.45,6.0,15.9534,2.02
01/06/2010,0.18,0.727590909090909,0.72839,0.38,0.11774075,4.89,0.522,0.27,2.45,6.0,16.5328139032,3.69
01/07/2010,0.18,0.848818181818182,0.73603,0.37,0.18285119047619,4.84,0.575,0.39,2.58,6.0,16.9379760884,2.48
01/08/2010,0.19,0.8955,0.73296,0.36,0.20656935,4.74,0.66,0.45,2.63,6.0,17.2996,2.44
01/09/2010,0.19,0.8805,0.72859,0.36,0.213812095238095,4.82,0.85,0.52,2.66,6.0,17.2996,2.56
01/10/2010,0.19,0.997666666666667,0.7384,0.34,0.24791775,4.81,0.895,0.81,2.66,6.0,17.2996,2.75
01/11/2010,0.19,1.04204545454545,0.73901,0.34,0.18600105,5.01,0.9525,1.11,2.73,6.0,17.2996,3.38
01/12/2010,0.18,1.02169565217391,0.74962,0.34,0.191368111111111,5.03,0.994,1.28,2.8,6.0,17.2996,4.94
01/01/2011,0.17,1.0172380952381,0.76866,0.34,0.15081019047619,4.96,0.9625,1.49,2.93,6.0,17.5042499342,4.98
01/02/2011,0.16,1.08675,0.79962,0.34,0.13954275,4.92,0.9525,1.74,3.13,6.0,17.8396699774,4.84
01/03/2011,0.14,1.17552173913043,0.80913,0.33615,0.155124173913043,4.92,0.926,1.74,3.35,6.0,18.3196212771,4.02
01/04/2011,0.1,1.32121052631579,0.82096,0.33286,0.139454111111111,4.9,0.965,1.8,3.4,6.0,18.4398793977,3.94
01/05/2011,0.09,1.42509090909091,0.82344,0.33214,0.119449863636364,5.0,0.9625,1.91,3.46,6.0,18.6352,4.24
01/06/2011,0.09,1.48859090909091,0.82512,0.33214,0.10205965,4.99,0.928,1.85,3.53,6.0,18.8244253699,5.91
