Estados Unidos,Europa,Reino Unido,Japao,China,Suica,Australia,Canada,Coreia do Sul,Noruega,Suecia,Mexico,India,Brasil
0.13,0.6617,0.6331,0.44,1.94,0.09874325,4.16,0.165,2.88,2.27,0.22,5.03,6.0,8.75
0.16,0.64495652173913,0.64549,0.43,1.91,0.0957777272727273,4.3275,0.228,2.83,2.3,0.23,5.03,6.0,8.75
0.2,0.6447,0.65592,0.4,1.73,0.0879435,4.545,0.3375,2.51,2.39,0.29,5.03,6.0,8.8
0.2,0.68652380952381,0.69713,0.39,2.02,0.08190975,4.805,0.39,2.45,2.5,0.28,5.04,6.0,9.5
0.18,0.727590909090909,0.72839,0.38,3.69,0.11774075,4.8875,0.522,2.45,2.67,0.27,5.01,6.0,10.02
0.18,0.848818181818182,0.73603,0.37,2.48,0.18285119047619,4.84,0.575,2.58,2.69,0.39,5.01,6.0,10.41
0.19,0.8955,0.73296,0.36,2.44,0.20656935,4.7425,0.66,2.63,2.65,0.45,4.99,6.0,10.75
0.19,0.8805,0.72859,0.36,2.56,0.213812095238095,4.815,0.85,2.66,2.64,0.52,4.98,6.0,10.75
0.19,0.997666666666667,0.7384,0.34,2.75,0.24791775,4.81,0.895,2.66,2.56,0.81,4.95,6.0,10.75
0.19,1.04204545454545,0.73901,0.34,3.38,0.18600105,5.015,0.9525,2.73,2.51,1.11,4.92,6.0,10.75
0.18,1.02169565217391,0.74962,0.34,4.94,0.191368111111111,5.025,0.994,2.8,2.59,1.28,4.95,6.0,10.75
0.17,1.0172380952381,0.76866,0.34,4.98,0.15081019047619,4.955,0.9625,2.93,2.59,1.49,4.92,6.0,10.94
0.16,1.08675,0.79962,0.34,4.84,0.13954275,4.9175,0.9525,3.13,2.61,1.74,4.88,6.0,11.25
0.14,1.17552173913043,0.80913,0.33615,4.02,0.155124173913043,4.92,0.926,3.35,2.62,1.74,4.87,6.0,11.72
0.1,1.32121052631579,0.82096,0.33286,3.94,0.139454111111111,4.9,0.965,3.4,2.69,1.8,4.88,6.0,11.8
0.09,1.42509090909091,0.82344,0.33214,4.24,0.119449863636364,5.0025,0.9625,3.46,2.72,1.91,4.88,6.0,12.0
0.09,1.48859090909091,0.82512,0.33214,5.91,0.10205965,4.9925,0.928,3.53,2.85,1.85,4.89,6.0,12.18
0.07,1.59761904761905,0.8289,0.33214,5.89,0.0909554761904762,4.955,0.9225,3.59,2.94,1.8,4.86,6.0,12.34
0.1,1.55208695652174,0.85782,0.32857,5.19,-0.0675968,4.8575,0.874,3.59,3.1,1.71,4.85,6.0,12.5
0.08,1.53645454545455,0.9181,0.32929,5.69,-0.0610702727272727,4.81,0.8725,3.58,3.08,1.58,4.8,6.0,12.0
0.07,1.57585714285714,0.96991,0.32929,5.67,-0.0933598947368421,4.725,0.8625,3.58,3.08,1.45,4.81,6.0,11.81
0.08,1.48468181818182,1.01182,0.32929,5.73,-0.0653187,4.6225,0.882,3.56,3.16,1.45,4.81,6.0,11.5
0.07,1.42609523809524,1.06148,0.32929,5.57,0.08,4.5075,0.83,3.55,3.02,1.37,4.81,6.0,11.0
0.08,1.22222727272727,1.08709,0.33077,6.8,0.0402932857142857,4.41,0.825,3.55,2.7,1.56,4.8,9.5,10.79
